
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml_loader.dll

File Type: DLL

  Section contains the following exports for nvml_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

         99   62 0006BFB2 nvmlDeviceGetNvLinkRemotePciInfo_v2
        100   63 0006BFA0 nvmlDeviceGetNvLinkState
        101   64 0006BFD0 nvmlDeviceGetNvLinkUtilizationControl
        102   65 0006BFD6 nvmlDeviceGetNvLinkUtilizationCounter
        103   66 0006BFA6 nvmlDeviceGetNvLinkVersion
        104   67 0006C090 nvmlDeviceGetP2PStatus
        105   68 0006BDAE nvmlDeviceGetPciInfo
        106   69 0006BDB4 nvmlDeviceGetPciInfo_v2
        107   6A 0006BDBA nvmlDeviceGetPciInfo_v3
        108   6B 0006BF7C nvmlDeviceGetPcieReplayCounter
        109   6C 0006BF76 nvmlDeviceGetPcieThroughput
        110   6D 0006BDC0 nvmlDeviceGetPerformanceState
        111   6E 0006BDC6 nvmlDeviceGetPersistenceMode
        112   6F 0006C0CC nvmlDeviceGetPgpuMetadataString
        113   70 0006BDCC nvmlDeviceGetPowerManagementDefaultLimit
        114   71 0006BDD2 nvmlDeviceGetPowerManagementLimit
        115   72 0006BDD8 nvmlDeviceGetPowerManagementLimitConstraints
        116   73 0006BDDE nvmlDeviceGetPowerManagementMode
        117   74 0006BDEA nvmlDeviceGetPowerState
        118   75 0006BDF0 nvmlDeviceGetPowerUsage
        119   76 0006C10E nvmlDeviceGetProcessUtilization
        120   77 0006C20A nvmlDeviceGetRemappedRows
        121   78 0006BC9A nvmlDeviceGetRetiredPages
        122   79 0006BCA6 nvmlDeviceGetRetiredPagesPendingStatus
        123   7A 0006BCA0 nvmlDeviceGetRetiredPages_v2
        124   7B 0006C210 nvmlDeviceGetRowRemapperHistogram
        125   7C 0006BF58 nvmlDeviceGetSamples
        126   7D 0006BDF6 nvmlDeviceGetSerial
        127   7E 0006BE20 nvmlDeviceGetSupportedClocksThrottleReasons
        128   7F 0006BE26 nvmlDeviceGetSupportedEventTypes
        129   80 0006BE2C nvmlDeviceGetSupportedGraphicsClocks
        130   81 0006BE32 nvmlDeviceGetSupportedMemoryClocks
        131   82 0006BFF4 nvmlDeviceGetSupportedVgpus
        132   83 0006BE38 nvmlDeviceGetTemperature
        133   84 0006BE3E nvmlDeviceGetTemperatureThreshold
        134   85 0006BF8E nvmlDeviceGetTopologyCommonAncestor
        135   86 0006BF94 nvmlDeviceGetTopologyNearestGpus
        136   87 0006BE4A nvmlDeviceGetTotalEccErrors
        137   88 0006C0F0 nvmlDeviceGetTotalEnergyConsumption
        138   89 0006BE50 nvmlDeviceGetUUID
        139   8A 0006BE56 nvmlDeviceGetUtilizationRates
        140   8B 0006BE5C nvmlDeviceGetVbiosVersion
        141   8C 0006C0C0 nvmlDeviceGetVgpuMetadata
        142   8D 0006C0EA nvmlDeviceGetVgpuProcessUtilization
        143   8E 0006C08A nvmlDeviceGetVgpuUtilization
        144   8F 0006BD9C nvmlDeviceGetViolationStatus
        145   90 0006BFE8 nvmlDeviceGetVirtualizationMode
        146   91 0006C1DA nvmlDeviceIsMigDeviceHandle
        147   92 0006C09C nvmlDeviceModifyDrainState
        148   93 0006BE68 nvmlDeviceOnSameBoard
        149   94 0006C0A2 nvmlDeviceQueryDrainState
        150   95 0006BE6E nvmlDeviceRegisterEvents
        151   96 0006C0A8 nvmlDeviceRemoveGpu
        152   97 0006C0AE nvmlDeviceRemoveGpu_v2
        153   98 0006BE74 nvmlDeviceResetApplicationsClocks
        154   99 0006BE86 nvmlDeviceResetGpuLockedClocks
        155   9A 0006BFC4 nvmlDeviceResetNvLinkErrorCounters
        156   9B 0006BFE2 nvmlDeviceResetNvLinkUtilizationCounter
        157   9C 0006BEBC nvmlDeviceSetAPIRestriction
        158   9D 0006BE7A nvmlDeviceSetAccountingMode
        159   9E 0006BE8C nvmlDeviceSetApplicationsClocks
        160   9F 0006BD72 nvmlDeviceSetAutoBoostedClocksEnabled
        161   A0 0006BE92 nvmlDeviceSetComputeMode
        162   A1 0006BE14 nvmlDeviceSetCpuAffinity
        163   A2 0006BD78 nvmlDeviceSetDefaultAutoBoostedClocksEnabled
        164   A3 0006BE98 nvmlDeviceSetDriverModel
        165   A4 0006BE9E nvmlDeviceSetEccMode
        166   A5 0006BE80 nvmlDeviceSetGpuLockedClocks
        167   A6 0006BEA4 nvmlDeviceSetGpuOperationMode
        168   A7 0006C16E nvmlDeviceSetMigMode
        169   A8 0006BFCA nvmlDeviceSetNvLinkUtilizationControl
        170   A9 0006BEAA nvmlDeviceSetPersistenceMode
        171   AA 0006BEB0 nvmlDeviceSetPowerManagementLimit
        172   AB 0006BE44 nvmlDeviceSetTemperatureThreshold
        173   AC 0006BFEE nvmlDeviceSetVirtualizationMode
        174   AD 0006BEB6 nvmlDeviceValidateInforom
        175   AE 0006BECE nvmlErrorString
        176   AF 0006BED4 nvmlEventSetCreate
        177   B0 0006BEDA nvmlEventSetFree
        178   B1 0006BEE0 nvmlEventSetWait
        179   B2 0006BEE6 nvmlEventSetWait_v2
        180   B3 0006C132 nvmlGetBlacklistDeviceCount
        181   B4 0006C138 nvmlGetBlacklistDeviceInfoByIndex
        182   B5 0006C0C6 nvmlGetVgpuCompatibility
        183   B6 0006C156 nvmlGetVgpuVersion
        184   B7 0006C1B6 nvmlGpuInstanceCreateComputeInstance
        185   B8 0006C192 nvmlGpuInstanceDestroy
        186   B9 0006C1C8 nvmlGpuInstanceGetComputeInstanceById
