
Dump of file C:\Windows\System32\adsldpc.dll

File Type: DLL

  Section contains the following exports for adsldpc.dll

    00000000 characteristics
    F8A0071B time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

        105   85 00004F10 LdapSearchAbandonPage
        106   86 00005180 LdapSearchExtS
        107   87 00004E40 LdapSearchInitPage
        108   88 00007860 LdapSearchS
        109   89 00004DE0 LdapSearchST
        110   8A 00017670 LdapTypeBinaryToString
        111   8B 0000C860 LdapTypeCopyConstruct
        112   8C 0000CA60 LdapTypeFreeLdapModList
        113   8D 0000CAB0 LdapTypeFreeLdapModObject
        114   8E 0000C9E0 LdapTypeFreeLdapObjects
        171   8F 00003CE0 LdapTypeToAdsTypeCopyConstruct
        115   90 00015610 LdapTypeToAdsTypeDNWithBinary
        116   91 00015620 LdapTypeToAdsTypeDNWithString
        117   92 00015630 LdapTypeToAdsTypeGeneralizedTime
        118   93 00015810 LdapTypeToAdsTypeUTCTime
        119   94 0000CD60 LdapValueFree
        120   95 0000D230 LdapValueFreeLen
        121   96 00018DE0 LdapcKeepHandleAround
        122   97 0000D100 LdapcSetStickyServer
        172   98 00014EE0 MapADSTypeToLDAPType
        173   99 00014F10 MapLDAPTypeToADSType
        123   9A 00002540 PathName
        124   9B 000047F0 ReadPagingSupportedAttr
        125   9C 000058B0 ReadSecurityDescriptorControlType
        126   9D 00017290 ReadServerSupportsIsADAMControl
        127   9E 00005FD0 ReadServerSupportsIsADControl
        174   9F 0000C3C0 ReallocADsMem
        175   A0 000138A0 ReallocADsStr
        128   A1 0001B280 SchemaAddRef
        129   A2 0001B2E0 SchemaClose
        130   A3 0001B320 SchemaGetClassInfo
        131   A4 0001B390 SchemaGetClassInfoByIndex
        132   A5 0001B3C0 SchemaGetObjectCount
        133   A6 0001B3F0 SchemaGetPropertyInfo
        134   A7 0001B4A0 SchemaGetPropertyInfoByIndex
        135   A8 0001B4D0 SchemaGetStringsFromStringTable
        136   A9 0001B640 SchemaGetSyntaxOfAttribute
        137   AA 0001B740 SchemaIsClassAContainer
        138   AB 0001B890 SchemaOpen
        142   AC 00009880 SortAndRemoveDuplicateOIDs
        143   AD 000071F0 UnMarshallLDAPToLDAPSynID
        144   AE 0000C440 intcmp

  Summary

        1000 .data
        1000 .didat
        2000 .pdata
       1C000 .rdata
        1000 .reloc
        1000 .rsrc
       21000 .text
