
Dump of file C:\Windows\System32\mfplat.dll

File Type: DLL

  Section contains the following exports for MFPlat.DLL

        118   6D 000369D0 MFCreateVideoMediaTypeFromVideoInfoHeader
        119   6E 000A1C40 MFCreateVideoMediaTypeFromVideoInfoHeader2
        120   6F 00001D50 MFCreateVideoSampleAllocatorEx
        121   70 000AABD0 MFCreateWICBitmapBuffer
        122   71 000F00D0 MFCreateWICDecoderProxy
        123   72 00037E50 MFCreateWaveFormatExFromMFMediaType
        124   73 0000E0E0 MFDeserializeAttributesFromStream
        125   74 000AABE0 MFDeserializeEvent
        126   75 00021BE0 MFDeserializeMediaTypeFromStream
        127   76 0001B2C0 MFDeserializePresentationDescriptor
        128   77 00021930 MFEndCreateFile
        129   78 00070120 MFEndGetHostByName
        130   79          MFEndRegisterWorkQueueWithMMCSS (forwarded to RTWorkQ.RtwqEndRegisterWorkQueueWithMMCSS)
        131   7A          MFEndUnregisterWorkQueueWithMMCSS (forwarded to RTWorkQ.RtwqEndUnregisterWorkQueueWithMMCSS)
          2   7B 0001F1A0 MFEnumLocalMFTRegistrations
        132   7C 000A1CF0 MFFrameRateToAverageTimePerFrame
        133   7D 000759B0 MFFreeAdaptersAddresses
        134   7E 000759D0 MFGetAdaptersAddresses
        135   7F 0000CB90 MFGetAttributesAsBlob
        136   80 0000CB40 MFGetAttributesAsBlobSize
        137   81 00036730 MFGetCallStackTracingWeakReference
        138   82 00030260 MFGetConfigurationDWORD
        139   83 0006C060 MFGetConfigurationPolicy
        140   84 0006C090 MFGetConfigurationStore
        141   85 000161E0 MFGetConfigurationString
        142   86 0006C0C0 MFGetContentProtectionSystemCLSID
        143   87 00085C10 MFGetMFTMerit
        144   88 000702A0 MFGetNumericNameFromSockaddr
        145   89 000A38D0 MFGetPlaneSize
          3   8A 0006BAB0 MFGetPlatformFlags
          4   8B 000224E0 MFGetPlatformVersion
        146   8C 0003ABE0 MFGetPluginControl
          5   8D 00020DD0 MFGetRandomNumber
        147   8E 000705D0 MFGetSockaddrFromNumericName
        148   8F 00004360 MFGetStrideForBitmapInfoHeader
        149   90 000F71D0 MFGetSupportedMimeTypes
        150   91 000F7670 MFGetSupportedSchemes
        151   92 000295F0 MFGetSystemTime
        152   93 000218A0 MFGetTimerPeriodicity
        153   94 00004B00 MFGetUncompressedVideoFormat
        154   95          MFGetWorkQueueMMCSSClass (forwarded to RTWorkQ.RtwqGetWorkQueueMMCSSClass)
