
Dump of file C:\Windows\System32\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    AFF3315B time date stamp
        0.00 version
           1 ordinal base
         500 number of functions
         195 number of names

    ordinal hint RVA      name

        167   88 00036E70 WahCloseHandleHelper
        168   89 000381D0 WahCloseNotificationHandleHelper
        169   8A 00036ED0 WahCloseSocketHandle
        170   8B 00012490 WahCloseThread
        171   8C 00036F40 WahCompleteRequest
        172   8D 0000F3B0 WahCreateHandleContextTable
        173   8E 00038210 WahCreateNotificationHandle
        174   8F 00037030 WahCreateSocketHandle
        175   90 000133D0 WahDestroyHandleContextTable
        176   91 00037240 WahDisableNonIFSHandleSupport
        177   92 00037360 WahEnableNonIFSHandleSupport
        178   93 000102E0 WahEnumerateHandleContexts
        179   94 00002800 WahInsertHandleContext
        180   95 00038410 WahNotifyAllProcesses
        181   96 0000F2F0 WahOpenApcHelper
        182   97 0000F1C0 WahOpenCurrentThread
        183   98 00037590 WahOpenHandleHelper
        184   99 00038670 WahOpenNotificationHandleHelper
        185   9A 00036530 WahQueueUserApc
        186   9B 00010AA0 WahReferenceContextByHandle
        187   9C 000107E0 WahRemoveHandleContext
        188   9D 000386B0 WahWaitForNotification
        189   9E 00038910 WahWriteLSPEvent
        151   9F 000128E0 __WSAFDIsSet
          1   A0 00011360 accept
          2   A1 000109C0 bind
          3   A2 00005000 closesocket
          4   A3 00011A50 connect
        190   A4 000129F0 freeaddrinfo
        191   A5 00003710 getaddrinfo
         51   A6 000264F0 gethostbyaddr
         52   A7 000266D0 gethostbyname
         57   A8 000268E0 gethostname
        192   A9 000140C0 getnameinfo
          5   AA 00011EF0 getpeername
         53   AB 000252D0 getprotobyname
         54   AC 00025460 getprotobynumber
         55   AD 00026AD0 getservbyname
         56   AE 00026D20 getservbyport
          6   AF 000108E0 getsockname
          7   B0 00011B80 getsockopt
          8   B1 00012520 htonl
          9   B2 00012530 htons
         11   B3 00012670 inet_addr
         12   B4 000130C0 inet_ntoa
        193   B5 00012600 inet_ntop
        194   B6 00021970 inet_pton
         10   B7 000051E0 ioctlsocket
         13   B8 000112A0 listen
         14   B9 00012520 ntohl
         15   BA 00012530 ntohs
         16   BB 00011D90 recv
         17   BC 00013DA0 recvfrom
         18   BD 000115C0 select
         19   BE 00002320 send
         20   BF 00011760 sendto
         21   C0 000110A0 setsockopt
         22   C1 00011CC0 shutdown
         23   C2 000055F0 socket

  Summary

        1000 .data
        1000 .didat
        4000 .pdata
        D000 .rdata
        1000 .reloc
       12000 .rsrc
       41000 .text
        3000 .wpp_sf
