
Dump of file C:\Windows\System32\winsta.dll

File Type: DLL

  Section contains the following exports for WINSTA.dll

    00000000 characteristics
    C09C98C7 time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

        125   7C 00015F60 WinStationSendMessageA
        126   7D 00016100 WinStationSendMessageW
        127   7E 0000AE40 WinStationSendWindowMessage
        128   7F 000275F0 WinStationServerPing
        129   80 00018690 WinStationSetAutologonPassword
        130   81 00027E80 WinStationSetInformationA
        131   82 00016430 WinStationSetInformationW
        132   83 00003C30 WinStationSetLastWinlogonNotification
        133   84 00027EC0 WinStationSetPoolCount
        134   85 0002ABD0 WinStationSetRenderHint
        135   86 000165A0 WinStationShadow
        136   87 00016750 WinStationShadowAccessCheck
        137   88 000168A0 WinStationShadowStop
        138   89 00016A20 WinStationShadowStop2
        139   8A 00016B50 WinStationShutdownSystem
        140   8B 00016B60 WinStationSwitchToServicesSession
        141   8C 0001A0B0 WinStationSystemShutdownStarted
        142   8D 0001A1E0 WinStationSystemShutdownWait
        143   8E 0001A2D0 WinStationTerminateGlassReplacementSession
        144   8F 00016C60 WinStationTerminateProcess
        145   90 00002130 WinStationUnRegisterConsoleNotification
        146   91 000019D0 WinStationUnRegisterNotificationEvent
        147   92 0001A450 WinStationUserLoginAccessCheck
        148   93 00016DF0 WinStationVerify
        149   94 00016F60 WinStationVirtualOpen
        150   95 0000A220 WinStationVirtualOpenEx
        151   96 00017720 WinStationWaitSystemEvent
        152   97 00027F00 _NWLogonQueryAdmin
        153   98 00027F40 _NWLogonSetAdmin
        154   99 00027F80 _WinStationAnnoyancePopup
        155   9A 00017010 _WinStationBeepOpen
        156   9B 00027FC0 _WinStationBreakPoint
        157   9C 00028000 _WinStationCallback
        158   9D 00028040 _WinStationCheckForApplicationName
        159   9E 00028080 _WinStationFUSCanRemoteUserDisconnect
        160   9F 000280C0 _WinStationGetApplicationInfo
        161   A0 00028100 _WinStationNotifyDisconnectPipe
        162   A1 00028140 _WinStationNotifyLogoff
        163   A2 00028180 _WinStationNotifyLogon
        164   A3 000281C0 _WinStationNotifyNewSession
        165   A4 00028200 _WinStationOpenSessionDirectory
        166   A5 00028240 _WinStationReInitializeSecurity
        167   A6 000173E0 _WinStationReadRegistry
        168   A7 000173E0 _WinStationSessionInitialized
        169   A8 00017060 _WinStationShadowTarget
