
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda_loader32.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        118   75 002D5CAA cuDeviceTotalMem_v2
        119   76 002CA9B0 cuDriverGetVersion
        120   77 002D6346 cuEventCreate
        121   78 002D6376 cuEventDestroy
        122   79 002D637C cuEventDestroy_v2
        123   7A 002D6370 cuEventElapsedTime
        124   7B 002D6364 cuEventQuery
        125   7C 002D634C cuEventRecord
        126   7D 002D6358 cuEventRecordWithFlags
        127   7E 002D635E cuEventRecordWithFlags_ptsz
        128   7F 002D6352 cuEventRecord_ptsz
        129   80 002D636A cuEventSynchronize
        130   81 002D65DA cuExternalMemoryGetMappedBuffer
        131   82 002D65E0 cuExternalMemoryGetMappedMipmappedArray
        132   83 002D5F98 cuFuncGetAttribute
        133   84 002D5FB0 cuFuncGetModule
        134   85 002D5F9E cuFuncSetAttribute
        135   86 002D5F8C cuFuncSetBlockShape
        136   87 002D5FA4 cuFuncSetCacheConfig
        137   88 002D5FAA cuFuncSetSharedMemConfig
        138   89 002D5F92 cuFuncSetSharedSize
        139   8A 002D607C cuGLCtxCreate
        140   8B 002D6082 cuGLCtxCreate_v2
        141   8C 002D6088 cuGLGetDevices
        142   8D 002D608E cuGLGetDevices_v2
        143   8E 002D6076 cuGLInit
        144   8F 002D6094 cuGLMapBufferObject
        145   90 002D60B8 cuGLMapBufferObjectAsync
        146   91 002D60BE cuGLMapBufferObjectAsync_v2
        147   92 002D60C4 cuGLMapBufferObjectAsync_v2_ptsz
        148   93 002D609A cuGLMapBufferObject_v2
        149   94 002D60A0 cuGLMapBufferObject_v2_ptds
        150   95 002D60AC cuGLRegisterBufferObject
        151   96 002D60D0 cuGLSetBufferObjectMapFlags
        152   97 002D60A6 cuGLUnmapBufferObject
        153   98 002D60CA cuGLUnmapBufferObjectAsync
        154   99 002D60B2 cuGLUnregisterBufferObject
        155   9A 002D6676 cuGetErrorName
        156   9B 002D6670 cuGetErrorString
        157   9C 002CAA60 cuGetExportTable
        158   9D 002D673C cuGraphAddChildGraphNode
        159   9E 002D6712 cuGraphAddDependencies
        160   9F 002D6742 cuGraphAddEmptyNode
        161   A0 002D6760 cuGraphAddEventRecordNode
        162   A1 002D6772 cuGraphAddEventWaitNode
        163   A2 002D67C0 cuGraphAddExternalSemaphoresSignalNode
        164   A3 002D67D2 cuGraphAddExternalSemaphoresWaitNode
        165   A4 002D674E cuGraphAddHostNode
        166   A5 002D66A0 cuGraphAddKernelNode
        167   A6 002D66AC cuGraphAddMemcpyNode
        168   A7 002D66B8 cuGraphAddMemsetNode
        169   A8 002D6748 cuGraphChildGraphNodeGetGraph
        170   A9 002D6730 cuGraphClone
        171   AA 002D669A cuGraphCreate
        172   AB 002D670C cuGraphDestroy
        173   AC 002D672A cuGraphDestroyNode
        174   AD 002D6766 cuGraphEventRecordNodeGetEvent
        175   AE 002D676C cuGraphEventRecordNodeSetEvent
        176   AF 002D6778 cuGraphEventWaitNodeGetEvent
        177   B0 002D677E cuGraphEventWaitNodeSetEvent
        178   B1 002D67AE cuGraphExecChildGraphNodeSetParams
        179   B2 002D6706 cuGraphExecDestroy
        180   B3 002D67B4 cuGraphExecEventRecordNodeSetEvent
        181   B4 002D67BA cuGraphExecEventWaitNodeSetEvent
        182   B5 002D67E4 cuGraphExecExternalSemaphoresSignalNodeSetParams
        183   B6 002D67EA cuGraphExecExternalSemaphoresWaitNodeSetParams
        184   B7 002D67A8 cuGraphExecHostNodeSetParams
        185   B8 002D6790 cuGraphExecKernelNodeSetParams
        186   B9 002D679C cuGraphExecMemcpyNodeSetParams
        187   BA 002D67A2 cuGraphExecMemsetNodeSetParams
        188   BB 002D6796 cuGraphExecUpdate
        189   BC 002D67C6 cuGraphExternalSemaphoresSignalNodeGetParams
        190   BD 002D67CC cuGraphExternalSemaphoresSignalNodeSetParams
        191   BE 002D67D8 cuGraphExternalSemaphoresWaitNodeGetParams
        192   BF 002D67DE cuGraphExternalSemaphoresWaitNodeSetParams
        193   C0 002D678A cuGraphGetEdges
        194   C1 002D6784 cuGraphGetNodes
