
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igvk32.dll

File Type: DLL

  Section contains the following exports for igvk32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         271 number of functions
         271 number of names

    ordinal hint RVA      name

        121   78 0037E9F0 vkDestroyDescriptorUpdateTemplateKHR
        122   79 0037EA20 vkDestroyDevice
        123   7A 0037EA50 vkDestroyEvent
        124   7B 0037EA80 vkDestroyFence
        125   7C 0037EAB0 vkDestroyFramebuffer
        126   7D 0037EAE0 vkDestroyImage
        127   7E 0037EB10 vkDestroyImageView
        128   7F 0037C970 vkDestroyInstance
        129   80 0037EB40 vkDestroyPipeline
        130   81 0037EB70 vkDestroyPipelineCache
        131   82 0037EBA0 vkDestroyPipelineLayout
        132   83 0037EBD0 vkDestroyQueryPool
        133   84 0037EC00 vkDestroyRenderPass
        134   85 0037EC30 vkDestroySampler
        135   86 0037EC60 vkDestroySamplerYcbcrConversion
        136   87 0037EC90 vkDestroySamplerYcbcrConversionKHR
        137   88 0037ECC0 vkDestroySemaphore
        138   89 0037ECF0 vkDestroyShaderModule
        139   8A 0037C990 vkDestroySurfaceKHR
        140   8B 0037ED20 vkDestroySwapchainKHR
        141   8C 0037ED50 vkDeviceWaitIdle
        142   8D 0037ED70 vkEndCommandBuffer
        143   8E 0037CA40 vkEnumerateDeviceExtensionProperties
        144   8F 0037CA70 vkEnumerateDeviceLayerProperties
        145   90 0037C8B0 vkEnumerateInstanceExtensionProperties
        146   91 0037C8D0 vkEnumerateInstanceLayerProperties
        147   92 0037C8F0 vkEnumerateInstanceVersion
        148   93 0037C9B0 vkEnumeratePhysicalDeviceGroups
        149   94 0037C9B0 vkEnumeratePhysicalDeviceGroupsKHR
        150   95 0037CAA0 vkEnumeratePhysicalDeviceQueueFamilyPerformanceQueryCountersKHR
        151   96 0037C9D0 vkEnumeratePhysicalDevices
        152   97 0037ED90 vkFlushMappedMemoryRanges
        153   98 0037EDC0 vkFreeCommandBuffers
        154   99 0037EDF0 vkFreeDescriptorSets
        155   9A 0037EE20 vkFreeMemory
        156   9B 0037EE50 vkGetBufferDeviceAddress
        157   9C 0037EE80 vkGetBufferDeviceAddressEXT
        160   9D 0037EEB0 vkGetBufferMemoryRequirements
        158   9E 0037EEE0 vkGetBufferMemoryRequirements2
        159   9F 0037EF10 vkGetBufferMemoryRequirements2KHR
        161   A0 0037EF40 vkGetBufferOpaqueCaptureAddress
        162   A1 0037EF70 vkGetDescriptorSetLayoutSupport
        163   A2 0037EFA0 vkGetDescriptorSetLayoutSupportKHR
        164   A3 0037EFD0 vkGetDeviceGroupPeerMemoryFeatures
        165   A4 0037F000 vkGetDeviceGroupPeerMemoryFeaturesKHR
        166   A5 0037F030 vkGetDeviceGroupPresentCapabilitiesKHR
        167   A6 0037F060 vkGetDeviceGroupSurfacePresentModes2EXT
        168   A7 0037F090 vkGetDeviceGroupSurfacePresentModesKHR
        169   A8 0037F0C0 vkGetDeviceMemoryCommitment
        170   A9 0037F0F0 vkGetDeviceMemoryOpaqueCaptureAddress
        171   AA 0037F120 vkGetDeviceProcAddr
        173   AB 0037F150 vkGetDeviceQueue
        172   AC 0037F180 vkGetDeviceQueue2
        174   AD 0037F1B0 vkGetEventStatus
        175   AE 0037F1E0 vkGetFenceStatus
        176   AF 0037F210 vkGetFenceWin32HandleKHR
        179   B0 0037F240 vkGetImageMemoryRequirements
        177   B1 0037F270 vkGetImageMemoryRequirements2
        178   B2 0037F2A0 vkGetImageMemoryRequirements2KHR
        182   B3 0037F2D0 vkGetImageSparseMemoryRequirements
        180   B4 0037F300 vkGetImageSparseMemoryRequirements2
        181   B5 0037F330 vkGetImageSparseMemoryRequirements2KHR
        183   B6 0037F360 vkGetImageSubresourceLayout
        184   B7 0037C900 vkGetInstanceProcAddr
        185   B8 0037F390 vkGetMemoryHostPointerPropertiesEXT
        186   B9 0037F3C0 vkGetMemoryWin32HandleKHR
        187   BA 0037F3F0 vkGetMemoryWin32HandlePropertiesKHR
        188   BB 0037F420 vkGetPerformanceParameterINTEL
        189   BC 0037CAD0 vkGetPhysicalDeviceExternalBufferProperties
        190   BD 0037CB00 vkGetPhysicalDeviceExternalBufferPropertiesKHR
        191   BE 0037CB30 vkGetPhysicalDeviceExternalFenceProperties
        192   BF 0037CB60 vkGetPhysicalDeviceExternalFencePropertiesKHR
        193   C0 0037CB90 vkGetPhysicalDeviceExternalSemaphoreProperties
        194   C1 0037CBC0 vkGetPhysicalDeviceExternalSemaphorePropertiesKHR
        197   C2 0037CBF0 vkGetPhysicalDeviceFeatures
        195   C3 0037CC20 vkGetPhysicalDeviceFeatures2
        196   C4 0037CC50 vkGetPhysicalDeviceFeatures2KHR
        200   C5 0037CC80 vkGetPhysicalDeviceFormatProperties
        198   C6 0037CCB0 vkGetPhysicalDeviceFormatProperties2
        199   C7 0037CCE0 vkGetPhysicalDeviceFormatProperties2KHR
        203   C8 0037CD10 vkGetPhysicalDeviceImageFormatProperties
        201   C9 0037CD50 vkGetPhysicalDeviceImageFormatProperties2
        202   CA 0037CD80 vkGetPhysicalDeviceImageFormatProperties2KHR
        206   CB 0037CDB0 vkGetPhysicalDeviceMemoryProperties
        204   CC 0037CDE0 vkGetPhysicalDeviceMemoryProperties2
        205   CD 0037CE10 vkGetPhysicalDeviceMemoryProperties2KHR
        207   CE 0037CE40 vkGetPhysicalDeviceMultisamplePropertiesEXT
        208   CF 0037CE70 vkGetPhysicalDevicePresentRectanglesKHR
        211   D0 0037CEA0 vkGetPhysicalDeviceProperties
        209   D1 0037CED0 vkGetPhysicalDeviceProperties2
        210   D2 0037CF00 vkGetPhysicalDeviceProperties2KHR
        212   D3 0037CF30 vkGetPhysicalDeviceQueueFamilyPerformanceQueryPassesKHR
        215   D4 0037CF60 vkGetPhysicalDeviceQueueFamilyProperties
        213   D5 0037CF90 vkGetPhysicalDeviceQueueFamilyProperties2
        214   D6 0037CFC0 vkGetPhysicalDeviceQueueFamilyProperties2KHR
        218   D7 0037CFF0 vkGetPhysicalDeviceSparseImageFormatProperties
        216   D8 0037D030 vkGetPhysicalDeviceSparseImageFormatProperties2
        217   D9 0037D060 vkGetPhysicalDeviceSparseImageFormatProperties2KHR
        219   DA 0037D090 vkGetPhysicalDeviceSurfaceCapabilities2KHR
        220   DB 0037D0C0 vkGetPhysicalDeviceSurfaceCapabilitiesKHR
        221   DC 0037D0F0 vkGetPhysicalDeviceSurfaceFormats2KHR
        222   DD 0037D120 vkGetPhysicalDeviceSurfaceFormatsKHR
        223   DE 0037D150 vkGetPhysicalDeviceSurfacePresentModes2EXT
        224   DF 0037D180 vkGetPhysicalDeviceSurfacePresentModesKHR
        225   E0 0037D1B0 vkGetPhysicalDeviceSurfaceSupportKHR
        226   E1 0037D1E0 vkGetPhysicalDeviceWin32PresentationSupportKHR
        227   E2 0037F450 vkGetPipelineCacheData
