
Dump of file C:\Windows\System32\FirewallAPI.dll

File Type: DLL

  Section contains the following exports for FirewallAPI.dll

    00000000 characteristics
    554B8967 time date stamp
        0.00 version
           1 ordinal base
         204 number of functions
         204 number of names

    ordinal hint RVA      name

          3   84 00023150 FwGetCurrentProfile
          4   85 00020210 FwGetVersionField
        138   86 00028B40 FwIcmpSettingsEnum
        139   87 00028CD0 FwIcmpSettingsSet
          5   88 00020870 FwInterfaceTypesToBstr
        140   89 00002290 FwIsGroupPolicyEnforced
        141   8A 00024990 FwIsRemoteManagementEnabled
        142   8B 00028E50 FwLogSettingsSet
        143   8C 0004CAF0 FwMergeAddresses
        144   8D 00029090 FwMulticastBroadcastResponsesEnum
        145   8E 00029210 FwMulticastBroadcastResponsesSet
        146   8F 00029380 FwNotificationsEnum
        147   90 00029500 FwNotificationsSet
        148   91 00029670 FwOpModesEnum
        149   92 000297F0 FwOpModesSet
        150   93 00029950 FwPortOpeningsAdd
        151   94 00029B60 FwPortOpeningsDelete
        152   95 00029CE0 FwProfileTypeCurrentGet
        153   96 00029D90 FwProfileTypeGet
        154   97 00029E40 FwRestoreDefaults
        155   98 00029ED0 FwServicesEnum
        156   99 0002A0B0 FwServicesSet
        157   9A 0004CB10 FwStringToAddresses
        158   9B 0004CBD0 FwStringToPorts
          6   9C 00023220 GetDisabledInterfaces
        159   9D 00004510 IcfAddrChangeNotificationCreate
        160   9E 00004430 IcfChangeNotificationCreate
        161   9F 00024B90 IcfChangeNotificationDestroy
        162   A0 00024C20 IcfConnect
        163   A1 00008C40 IcfDisconnect
        164   A2 00024C40 IcfFreeDynamicFwPorts
        165   A3 00024D10 IcfFreeProfile
        166   A4 00025030 IcfFreeTickets
        167   A5 000250D0 IcfGetCurrentProfileType
        168   A6 00025180 IcfGetDynamicFwPorts
        169   A7 000254C0 IcfGetOperationalMode
        170   A8 00025660 IcfGetProfile
        171   A9 000259C0 IcfGetTickets
        172   AA 0002AEA0 IcfIsPortAllowed
        173   AB 00008C40 IcfOpenDynamicFwPortWithoutSocket
        174   AC 00025CC0 IcfSubNetsGetScope
        175   AD 000048E0 IsFirewallInCoExistanceMode
        176   AE 0002AFC0 IsPortOrICMPAllowed
        177   AF 0004CCB0 NetworkIsolationAddAllowEnterpriseIdRule
        178   B0 0004CE50 NetworkIsolationCreateAllInterfacesContainer
        179   B1 00008C90 NetworkIsolationCreateAppContainer
        180   B2 0004D180 NetworkIsolationCreateAppContainerLoopbackRules
        181   B3 0004D530 NetworkIsolationCreateContainer
        182   B4 0004D940 NetworkIsolationCreateInterfaceContainer
        183   B5 0004DC80 NetworkIsolationDeleteAllInterfacesContainer
        184   B6 0004DE10 NetworkIsolationDeleteAllowEnterpriseIdRule
        185   B7 00008EF0 NetworkIsolationDeleteAppContainer
        186   B8 0004DF20 NetworkIsolationDeleteAppContainerLoopbackRules
        187   B9 0004E2A0 NetworkIsolationDeleteContainer
        188   BA 0004E630 NetworkIsolationDeleteInterfaceContainer
        189   BB 0004E770 NetworkIsolationDeleteUserAppContainers
        190   BC 00005BD0 NetworkIsolationDiagnoseConnectFailure
        191   BD 000025C0 NetworkIsolationDiagnoseConnectFailureAndGetInfo
        192   BE 0004EA00 NetworkIsolationDiagnoseListen
        193   BF 0004EB80 NetworkIsolationDiagnoseSocketCreation
        194   C0 0004ECF0 NetworkIsolationEnumAppContainers
        195   C1 0004EEE0 NetworkIsolationEnumerateAppContainerRules
          7   C2 00009130 NetworkIsolationFreeAppContainers
        196   C3 0004EFB0 NetworkIsolationGetAppContainer
        197   C4 00004640 NetworkIsolationGetAppContainerConfig
        198   C5 0004F170 NetworkIsolationGetEnterpriseId
        199   C6 000026F0 NetworkIsolationGetEnterpriseIdAsync
        200   C7 00001E20 NetworkIsolationGetEnterpriseIdClose
        201   C8 0004F1F0 NetworkIsolationRegisterForAppContainerChanges
        202   C9 0004F6B0 NetworkIsolationSetAppContainerConfig
        203   CA 0004F800 NetworkIsolationSetupAppContainerBinaries
        204   CB 0004FB90 NetworkIsolationUnregisterForAppContainerChanges

  Summary

        2000 .data
        1000 .didat
        5000 .pdata
       34000 .rdata
        3000 .reloc
        7000 .rsrc
       58000 .text
