
Dump of file C:\Windows\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    E1C9E1A1 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1005 number of names

    ordinal hint RVA      name

       1649   8C 0006B8B0 DdeFreeStringHandle
       1650   8D 0006B060 DdeGetData
       1651   8E 000579F0 DdeGetLastError
       1652   8F 0002CEE0 DdeGetQualityOfService
       1653   90 00057A50 DdeImpersonateClient
       1654   91 00057AF0 DdeInitializeA
       1655   92 0001CFD0 DdeInitializeW
       1656   93 0006B990 DdeKeepStringHandle
       1657   94 0002A7A0 DdeNameService
       1658   95 00083FA0 DdePostAdvise
       1659   96 00084270 DdeQueryConvInfo
       1660   97 000565D0 DdeQueryNextServer
       1661   98 0006BA60 DdeQueryStringA
       1662   99 0006BA80 DdeQueryStringW
       1663   9A 00056730 DdeReconnect
       1664   9B 0002CEE0 DdeSetQualityOfService
       1665   9C 000844A0 DdeSetUserHandle
       1666   9D 0006B1D0 DdeUnaccessData
       1667   9E 00057B10 DdeUninitialize
       1668   9F          DefDlgProcA (forwarded to NTDLL.NtdllDialogWndProc_A)
       1669   A0          DefDlgProcW (forwarded to NTDLL.NtdllDialogWndProc_W)
       1670   A1 00077B10 DefFrameProcA
       1671   A2 0002FAD0 DefFrameProcW
       1672   A3 00077B40 DefMDIChildProcA
       1673   A4 0002E020 DefMDIChildProcW
       1674   A5 00089130 DefRawInputProc
       1675   A6          DefWindowProcA (forwarded to NTDLL.NtdllDefWindowProc_A)
       1676   A7          DefWindowProcW (forwarded to NTDLL.NtdllDefWindowProc_W)
       1677   A8 00027CF0 DeferWindowPos
       1678   A9 00087F30 DeferWindowPosAndBand
       2503   AA 00033B90 DelegateInput
       1679   AB 00033BA0 DeleteMenu
       1680   AC 0002CC90 DeregisterShellHookWindow
       1681   AD 000278E0 DestroyAcceleratorTable
       1682   AE 0002C730 DestroyCaret
       1683   AF 00028EC0 DestroyCursor
       1684   B0 00033BE0 DestroyDCompositionHwndTarget
       1685   B1 00028EC0 DestroyIcon
       1686   B2 00033BF0 DestroyMenu
       1687   B3 00032670 DestroyReasons
       1688   B4 00033C00 DestroySyntheticPointerDevice
       1689   B5 00033C10 DestroyWindow
       1690   B6 00050E80 DialogBoxIndirectParamA
       1691   B7 0002D2A0 DialogBoxIndirectParamAorW
       1692   B8 0002D270 DialogBoxIndirectParamW
       1693   B9 00050EB0 DialogBoxParamA
       1694   BA 0002D1E0 DialogBoxParamW
       1695   BB 0002CB40 DisableProcessWindowsGhosting
       1696   BC 0002B5D0 DispatchMessageA
       1697   BD 0000E040 DispatchMessageW
       1698   BE 000297C0 DisplayConfigGetDeviceInfo
       1699   BF 0008D0F0 DisplayConfigSetDeviceInfo
       1700   C0 00056B10 DisplayExitWindowsWarnings
       1701   C1 000752F0 DlgDirListA
       1702   C2 000544E0 DlgDirListComboBoxA
       1703   C3 000545D0 DlgDirListComboBoxW
       1704   C4 000753F0 DlgDirListW
       1705   C5 00054630 DlgDirSelectComboBoxExA
       1706   C6 000546E0 DlgDirSelectComboBoxExW
       1707   C7 00075450 DlgDirSelectExA
       1708   C8 00075510 DlgDirSelectExW
       1709   C9 00033C30 DoSoundConnect
       1710   CA 00033C40 DoSoundDisconnect
       1711   CB 00033C60 DragDetect
       1712   CC 00033C70 DragObject
       1713   CD 00033C80 DrawAnimatedRects
       1714   CE 0007C5A0 DrawCaption
       1715   CF 000846F0 DrawCaptionTempA
       1716   D0 0008AA00 DrawCaptionTempW
       1717   D1 00022FA0 DrawEdge
       1718   D2 000302A0 DrawFocusRect
       1719   D3 0008E880 DrawFrame
       1720   D4 0008E9C0 DrawFrameControl
       1721   D5 00087F90 DrawIcon
       1722   D6 00026280 DrawIconEx
       1723   D7 00032410 DrawMenuBar
       1724   D8 00077E30 DrawMenuBarTemp
       1725   D9 00078640 DrawStateA
       1726   DA 000281E0 DrawStateW
       1727   DB 00056FC0 DrawTextA
       1728   DC 00057040 DrawTextExA
       1729   DD 0001E710 DrawTextExW
       1730   DE 0001E740 DrawTextW
       1553   DF 0002CEC0 DwmGetDxRgn
       1731   E0 0002DAD0 DwmGetDxSharedSurface
       1732   E1 00033C90 DwmGetRemoteSessionOcclusionEvent
       1733   E2 00033CA0 DwmGetRemoteSessionOcclusionState
       1734   E3 00033CB0 DwmKernelShutdown
       1735   E4 00033CC0 DwmKernelStartup
       1736   E5 0002CCB0 DwmLockScreenUpdates
       1737   E6 00033CD0 DwmValidateWindow
       1738   E7 000607A0 EditWndProc
       1739   E8 000324B0 EmptyClipboard
       1740   E9 0001F830 EnableMenuItem
       1741   EA 00033CF0 EnableMouseInPointer
       1742   EB 00033D20 EnableNonClientDpiScaling
       1743   EC 00033D30 EnableOneCoreTransformMode
       1744   ED 000132C0 EnableScrollBar
       1745   EE 00032010 EnableSessionForMMCSS
       1746   EF 0002B210 EnableWindow
