
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        123   7A 00206190 cuEventElapsedTime
        124   7B 00206184 cuEventQuery
        125   7C 0020616C cuEventRecord
        126   7D 00206178 cuEventRecordWithFlags
        127   7E 0020617E cuEventRecordWithFlags_ptsz
        128   7F 00206172 cuEventRecord_ptsz
        129   80 0020618A cuEventSynchronize
        130   81 002063FA cuExternalMemoryGetMappedBuffer
        131   82 00206400 cuExternalMemoryGetMappedMipmappedArray
        132   83 00205DB8 cuFuncGetAttribute
        133   84 00205DD0 cuFuncGetModule
        134   85 00205DBE cuFuncSetAttribute
        135   86 00205DAC cuFuncSetBlockShape
        136   87 00205DC4 cuFuncSetCacheConfig
        137   88 00205DCA cuFuncSetSharedMemConfig
        138   89 00205DB2 cuFuncSetSharedSize
        139   8A 00205E9C cuGLCtxCreate
        140   8B 00205EA2 cuGLCtxCreate_v2
        141   8C 00205EA8 cuGLGetDevices
        142   8D 00205EAE cuGLGetDevices_v2
        143   8E 00205E96 cuGLInit
        144   8F 00205EB4 cuGLMapBufferObject
        145   90 00205ED8 cuGLMapBufferObjectAsync
        146   91 00205EDE cuGLMapBufferObjectAsync_v2
        147   92 00205EE4 cuGLMapBufferObjectAsync_v2_ptsz
        148   93 00205EBA cuGLMapBufferObject_v2
        149   94 00205EC0 cuGLMapBufferObject_v2_ptds
        150   95 00205ECC cuGLRegisterBufferObject
        151   96 00205EF0 cuGLSetBufferObjectMapFlags
        152   97 00205EC6 cuGLUnmapBufferObject
        153   98 00205EEA cuGLUnmapBufferObjectAsync
        154   99 00205ED2 cuGLUnregisterBufferObject
        155   9A 00206496 cuGetErrorName
        156   9B 00206490 cuGetErrorString
        157   9C 001F8A10 cuGetExportTable
        158   9D 0020655C cuGraphAddChildGraphNode
        159   9E 00206532 cuGraphAddDependencies
