
Dump of file C:\Windows\System32\rasman.dll

File Type: DLL

  Section contains the following exports for rasman.dll

    00000000 characteristics
    CB8A4B20 time date stamp
        0.00 version
           1 ordinal base
         186 number of functions
         186 number of names

    ordinal hint RVA      name

        142   8D 00019690 RasRpcRemoteRasDeleteEntry
        143   8E 000197C0 RasRpcRemoteSetUserPreferences
        144   8F 0001A1C0 RasRpcSetUserPreferences
        145   90 00019830 RasRpcUnloadDll
        146   91 00014900 RasSecurityDialogGetInfo
        147   92 00014A80 RasSecurityDialogReceive
        148   93 00014CA0 RasSecurityDialogSend
        149   94 00014E50 RasSendCreds
        150   95 00014F40 RasSendNotification
        151   96 00015010 RasSendProtocolResultToRasman
        152   97 000150F0 RasServerPortClose
        153   98 00015280 RasSetAddressDisable
        154   99 00015360 RasSetAdvConnectionParams
        155   9A 00015430 RasSetCachedCredentials
        156   9B 00015520 RasSetCalledIdInfo
        157   9C 00015690 RasSetCommSettings
        158   9D 00015830 RasSetConnectionParams
        159   9E 00015910 RasSetConnectionUserData
        160   9F 00015A10 RasSetDevConfig
        161   A0 00015B80 RasSetDeviceConfigInfo
        162   A1 00015CC0 RasSetDialMachineEventHandle
        163   A2 00015DE0 RasSetDialParams
        164   A3 00015EE0 RasSetEapInfo
        165   A4 00016060 RasSetEapUIData
        166   A5 00016160 RasSetEapUserInfo
        167   A6 00016280 RasSetEncPassword
        168   A7 000163E0 RasSetIPAddresses
        169   A8 000165D0 RasSetKey
        170   A9 000166D0 RasSetPortUserData
        171   AA 000167D0 RasSetRouterUsage
        172   AB 000168B0 RasSetTriggerAuthData
        173   AC 000169C0 RasSetTunnelEndPoints
        174   AD 00016AF0 RasSetVpnClientConnectionType
        175   AE 00016C00 RasSignalActionRequired
        176   AF 00018C00 RasSignalMonitorThreadExit
        177   B0 00016D10 RasSignalNewConnection
        178   B1 00016DE0 RasStartProtocolRenegotiation
        179   B2 00016EB0 RasStartRasAutoIfRequired
        180   B3 00017380 RasUpdateAutoTriggerRegKeys
        181   B4 00017500 RasUpdateAutoTriggerRegKeysEx
        182   B5 000176B0 RasUpdateDefaultRouteSettings
        183   B6 000177B0 RasUpdateQoSPolicies
        184   B7 00017880 RasVpnIkeGetNewTunnelId
        185   B8 000024B0 RasVpnIkeGetPCscf
        186   B9 000179B0 RasmanUninitialize

  Summary

        1000 .data
        1000 .didat
        2000 .pdata
        7000 .rdata
        1000 .reloc
        1000 .rsrc
       27000 .text
