
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml.dll

File Type: DLL

  Section contains the following exports for nvml.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

        101   64 000247E0 nvmlDeviceGetNvLinkUtilizationControl
        102   65 000249B0 nvmlDeviceGetNvLinkUtilizationCounter
        103   66 00024B90 nvmlDeviceGetNvLinkVersion
        104   67 00024F40 nvmlDeviceGetP2PStatus
        105   68 00025150 nvmlDeviceGetPciInfo
        106   69 00025350 nvmlDeviceGetPciInfo_v2
        107   6A 00025570 nvmlDeviceGetPciInfo_v3
        108   6B 00025760 nvmlDeviceGetPcieReplayCounter
        109   6C 00025900 nvmlDeviceGetPcieThroughput
        110   6D 00025AA0 nvmlDeviceGetPerformanceState
        111   6E 00025EE0 nvmlDeviceGetPersistenceMode
        112   6F 00026080 nvmlDeviceGetPgpuMetadataString
        113   70 0000C8A0 nvmlDeviceGetPowerManagementDefaultLimit
        114   71 000262B0 nvmlDeviceGetPowerManagementLimit
        115   72 0000C3D0 nvmlDeviceGetPowerManagementLimitConstraints
        116   73 00026500 nvmlDeviceGetPowerManagementMode
        117   74 00026750 nvmlDeviceGetPowerState
        118   75 00026B90 nvmlDeviceGetPowerUsage
        119   76 00026DE0 nvmlDeviceGetProcessUtilization
        120   77 00026F80 nvmlDeviceGetRemappedRows
        121   78 00027160 nvmlDeviceGetRetiredPages
        122   79 000277A0 nvmlDeviceGetRetiredPagesPendingStatus
        123   7A 00027DA0 nvmlDeviceGetRetiredPages_v2
        124   7B 000283E0 nvmlDeviceGetRowRemapperHistogram
        125   7C 00028570 nvmlDeviceGetSamples
        126   7D 000288B0 nvmlDeviceGetSerial
        127   7E 0000C180 nvmlDeviceGetSupportedClocksThrottleReasons
        128   7F 00028B30 nvmlDeviceGetSupportedEventTypes
        129   80 00028CD0 nvmlDeviceGetSupportedGraphicsClocks
        130   81 00028E70 nvmlDeviceGetSupportedMemoryClocks
        131   82 00029010 nvmlDeviceGetSupportedVgpus
        132   83 000293B0 nvmlDeviceGetTemperature
        133   84 00029570 nvmlDeviceGetTemperatureThreshold
        134   85 000297E0 nvmlDeviceGetTopologyCommonAncestor
        135   86 000299A0 nvmlDeviceGetTopologyNearestGpus
        136   87 00029B70 nvmlDeviceGetTotalEccErrors
        137   88 00029E80 nvmlDeviceGetTotalEnergyConsumption
        138   89 0002A0D0 nvmlDeviceGetUUID
        139   8A 0002A290 nvmlDeviceGetUtilizationRates
        140   8B 0002A4E0 nvmlDeviceGetVbiosVersion
        141   8C 0002A750 nvmlDeviceGetVgpuMetadata
        142   8D 0002AA10 nvmlDeviceGetVgpuProcessUtilization
        143   8E 0002ABB0 nvmlDeviceGetVgpuUtilization
        144   8F 0002AD80 nvmlDeviceGetViolationStatus
        145   90 0002AF20 nvmlDeviceGetVirtualizationMode
        146   91 0002B190 nvmlDeviceIsMigDeviceHandle
        147   92 0002B340 nvmlDeviceModifyDrainState
        148   93 0002B4E0 nvmlDeviceOnSameBoard
        149   94 0002B680 nvmlDeviceQueryDrainState
        150   95 0002B820 nvmlDeviceRegisterEvents
        151   96 0002B9F0 nvmlDeviceRemoveGpu
        152   97 0002BB90 nvmlDeviceRemoveGpu_v2
        153   98 0002BD40 nvmlDeviceResetApplicationsClocks
        154   99 0002BEE0 nvmlDeviceResetGpuLockedClocks
        155   9A 0002C270 nvmlDeviceResetNvLinkErrorCounters
        156   9B 0002C600 nvmlDeviceResetNvLinkUtilizationCounter
        157   9C 0002C7B0 nvmlDeviceSetAPIRestriction
        158   9D 0002CBE0 nvmlDeviceSetAccountingMode
        159   9E 0002CE20 nvmlDeviceSetApplicationsClocks
        160   9F 0002CFC0 nvmlDeviceSetAutoBoostedClocksEnabled
        161   A0 0002D690 nvmlDeviceSetComputeMode
        162   A1 0002D890 nvmlDeviceSetCpuAffinity
        163   A2 0002DA30 nvmlDeviceSetDefaultAutoBoostedClocksEnabled
        164   A3 0002E110 nvmlDeviceSetDriverModel
        165   A4 0002E2B0 nvmlDeviceSetEccMode
        166   A5 0002E430 nvmlDeviceSetGpuLockedClocks
        167   A6 0000F290 nvmlDeviceSetGpuOperationMode
        168   A7 0002E7F0 nvmlDeviceSetMigMode
        169   A8 0002EB30 nvmlDeviceSetNvLinkUtilizationControl
        170   A9 0002ED10 nvmlDeviceSetPersistenceMode
        171   AA 0000F040 nvmlDeviceSetPowerManagementLimit
        172   AB 0002EEB0 nvmlDeviceSetTemperatureThreshold
        173   AC 0002F190 nvmlDeviceSetVirtualizationMode
        174   AD 0002F3F0 nvmlDeviceValidateInforom
        175   AE 000019F0 nvmlErrorString
        176   AF 0002F640 nvmlEventSetCreate
        177   B0 0002F7C0 nvmlEventSetFree
        178   B1 0002F940 nvmlEventSetWait
        179   B2 0002FB00 nvmlEventSetWait_v2
        180   B3 0002FCC0 nvmlGetBlacklistDeviceCount
        181   B4 0002FE40 nvmlGetBlacklistDeviceInfoByIndex
        182   B5 00030040 nvmlGetVgpuCompatibility
        183   B6 000302A0 nvmlGetVgpuVersion
        184   B7 00030430 nvmlGpuInstanceCreateComputeInstance
        185   B8 000305E0 nvmlGpuInstanceDestroy
        186   B9 00030760 nvmlGpuInstanceGetComputeInstanceById
        187   BA 00030910 nvmlGpuInstanceGetComputeInstanceProfileInfo
        188   BB 00030AD0 nvmlGpuInstanceGetComputeInstanceRemainingCapacity
        189   BC 00030C80 nvmlGpuInstanceGetComputeInstances
        190   BD 00030E40 nvmlGpuInstanceGetInfo
        191   BE 00001B40 nvmlInit
        192   BF 00001C30 nvmlInitWithFlags
        193   C0 00002240 nvmlInit_v2
        194   C1 00002660 nvmlInternalGetExportTable
        195   C2 00030FE0 nvmlSetVgpuVersion
        196   C3 00002250 nvmlShutdown
        197   C4 00031250 nvmlSystemGetCudaDriverVersion
        198   C5 000313D0 nvmlSystemGetCudaDriverVersion_v2
        199   C6 00031540 nvmlSystemGetDriverVersion
        200   C7 000316C0 nvmlSystemGetHicVersion
        201   C8 00031840 nvmlSystemGetNVMLVersion
        202   C9 00031A40 nvmlSystemGetProcessName
        203   CA 00031BF0 nvmlSystemGetTopologyGpuSet
        204   CB 00031DB0 nvmlUnitGetCount
        205   CC 00031F20 nvmlUnitGetDevices
        206   CD 000320E0 nvmlUnitGetFanSpeedInfo
        207   CE 00032280 nvmlUnitGetHandleByIndex
        208   CF 00032420 nvmlUnitGetLedState
        209   D0 000325C0 nvmlUnitGetPsuInfo
        210   D1 00032760 nvmlUnitGetTemperature
        211   D2 00032920 nvmlUnitGetUnitInfo
        212   D3 00032AC0 nvmlUnitSetLedState
        213   D4 00032C60 nvmlVgpuInstanceClearAccountingPids
        214   D5 00032E00 nvmlVgpuInstanceGetAccountingMode
        215   D6 00032FD0 nvmlVgpuInstanceGetAccountingPids
        216   D7 000331B0 nvmlVgpuInstanceGetAccountingStats
        217   D8 00033380 nvmlVgpuInstanceGetEccMode
        218   D9 00033560 nvmlVgpuInstanceGetEncoderCapacity
        219   DA 00033710 nvmlVgpuInstanceGetEncoderSessions
        220   DB 000338B0 nvmlVgpuInstanceGetEncoderStats
        221   DC 00033B60 nvmlVgpuInstanceGetFBCSessions
        222   DD 00033D00 nvmlVgpuInstanceGetFBCStats
        223   DE 00033FB0 nvmlVgpuInstanceGetFbUsage
        224   DF 000341B0 nvmlVgpuInstanceGetFrameRateLimit
        225   E0 00034390 nvmlVgpuInstanceGetGpuInstanceId
        226   E1 00034540 nvmlVgpuInstanceGetLicenseStatus
        227   E2 00034700 nvmlVgpuInstanceGetMdevUUID
        228   E3 00034900 nvmlVgpuInstanceGetMetadata
        229   E4 00034AA0 nvmlVgpuInstanceGetType
        230   E5 00034C50 nvmlVgpuInstanceGetUUID
        231   E6 00034E10 nvmlVgpuInstanceGetVmDriverVersion
        232   E7 00034FB0 nvmlVgpuInstanceGetVmID
        233   E8 000351C0 nvmlVgpuInstanceSetEncoderCapacity
        234   E9 00035420 nvmlVgpuTypeGetClass
        235   EA 00035630 nvmlVgpuTypeGetDeviceID
        236   EB 00035820 nvmlVgpuTypeGetFrameRateLimit
        237   EC 00035A00 nvmlVgpuTypeGetFramebufferSize
        238   ED 00035BE0 nvmlVgpuTypeGetGpuInstanceProfileId
        239   EE 00035DB0 nvmlVgpuTypeGetLicense
        240   EF 00035FA0 nvmlVgpuTypeGetMaxInstances
        241   F0 000362E0 nvmlVgpuTypeGetMaxInstancesPerVm
        242   F1 000364C0 nvmlVgpuTypeGetName
        243   F2 000366D0 nvmlVgpuTypeGetNumDisplayHeads
        244   F3 000368A0 nvmlVgpuTypeGetResolution

  Summary

      2DA000 .data
        8000 .pdata
       35000 .rdata
        2000 .reloc
        1000 .rsrc
       C3000 .text
        1000 _RDATA
