
Dump of file C:\Windows\System32\mscms.dll

File Type: DLL

  Section contains the following exports for mscms.dll

    00000000 characteristics
    61C7F732 time date stamp
        0.00 version
           1 ordinal base
         235 number of functions
         131 number of names

    ordinal hint RVA      name

         98   7A 000218D0 WcsGetUsePerUserProfiles
         99   7B 0002E350 WcsGpCanInstallOrUninstallProfiles
        100   7C 000160A0 WcsOpenColorProfileA
        101   7D 000161E0 WcsOpenColorProfileW
        102   7E 00035460 WcsSetCalibrationManagementState
        103   7F 00021920 WcsSetDefaultColorProfile
        104   80 00021930 WcsSetDefaultRenderingIntent
        105   81 00021A30 WcsSetUsePerUserProfiles
        106   82 000187A0 WcsTranslateColors

  Summary

        2000 .data
        1000 .didat
        5000 .pdata
       17000 .rdata
        1000 .reloc
       11000 .rsrc
       7C000 .text
