
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm32.dll

File Type: DLL

  Section contains the following exports for igdgmm32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

         46   2D 0010F2F0 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z
         47   2E 0010FC30 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPAU_GmmClientAllocationCallbacks_@@@Z
         48   2F 0010F240 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAU_GMM_DEVICE_CALLBACKS_INT@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z
         49   30 0010FB40 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAU_GMM_DEVICE_CALLBACKS_INT@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPAU_GmmClientAllocationCallbacks_@@@Z
         50   31 0010EFA0 ?CreateResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_PARAMS_REC@@@Z
         51   32 0010F360 ?CreateResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_PARAMS_REC@@PAU_GmmClientAllocationCallbacks_@@@Z
         52   33 001119B0 ?CreateTiledResource@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z
         53   34 0010F330 ?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UAGXPAVGmmPageTableMgr@2@@Z
         54   35 0010FC70 ?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UAGXPAVGmmPageTableMgr@2@PAU_GmmClientAllocationCallbacks_@@@Z
         55   36 0010F180 ?DestroyResInfoObject@GmmClientContext@GmmLib@@UAGXPAVGmmResourceInfoWin@2@@Z
         56   37 0010F460 ?DestroyResInfoObject@GmmClientContext@GmmLib@@UAGXPAVGmmResourceInfoWin@2@PAU_GmmClientAllocationCallbacks_@@@Z
         57   38 001119E0 ?DestroyTiledResource@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z
         58   39 00110E90 ?EnhancedBufferMap@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@IQAPAUGMM_ENHANCED_BUFFER_INFO_REC@@@Z
         59   3A 00109AE0 ?EvictPageTablePool@GmmPageTableMgr@GmmLib@@UAEXPAIH@Z
         60   3B 00110BD0 ?FreeGSCBuffer@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAXTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
         61   3C 001114F0 ?FreeHeapVA@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAUGMM_HEAP_REC@@_K1@Z
         62   3D 00108E20 ?FreeTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAUGMM_UMD_SYNCCONTEXT_REC@@PBTGMM_DDI_FREEGPUVIRTUALADDRSS_INT@@E@Z
         63   3E 00001D50 ?GetArraySize@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         64   3F 00001D60 ?GetAuxHAlign@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         65   40 00108A90 ?GetAuxL3TableAddr@GmmPageTableMgr@GmmLib@@UAE_KXZ
         66   41 00001D90 ?GetAuxQPitch@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         67   42 00001E20 ?GetAuxTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         68   43 00001E40 ?GetAuxTilePoolArray@GmmResourceInfoWin@GmmLib@@UAGPAXXZ
         69   44 00001E50 ?GetAuxTilePoolArraySize@GmmResourceInfoWin@GmmLib@@UAGIXZ
         70   45 00001E60 ?GetAuxVAlign@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         71   46 00001E90 ?GetBaseAlignment@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         72   47 00001EA0 ?GetBaseDepth@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         73   48 00001EB0 ?GetBaseHeight@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         74   49 00001EC0 ?GetBaseWidth@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
         75   4A 00001ED0 ?GetBitsPerPixel@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         76   4B 0010ED80 ?GetCachePolicyElement@GmmClientContext@GmmLib@@UAG?AUGMM_CACHE_POLICY_ELEMENT_REC@@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
         77   4C 0010EDC0 ?GetCachePolicyTlbElement@GmmClientContext@GmmLib@@UAG?AUGMM_CACHE_POLICY_TBL_ELEMENT_REC@@I@Z
         78   4D 0010ED30 ?GetCachePolicyUsage@GmmClientContext@GmmLib@@UAGPAUGMM_CACHE_POLICY_ELEMENT_REC@@XZ
         79   4E 00001EE0 ?GetCachePolicyUsage@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_RESOURCE_USAGE_TYPE_ENUM@@XZ
         80   4F 0010ED40 ?GetCacheSizes@GmmClientContext@GmmLib@@UAGXPAUGMM_CACHE_SIZES_REC@@@Z
         81   50 00001EF0 ?GetClientContext@GmmPageTableMgr@GmmLib@@UAEPAVGmmClientContext@2@XZ
