
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm32.dll

File Type: DLL

  Section contains the following exports for igdgmm32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

        194   C1 0010ED60 ?GetUseGlobalGtt@GmmClientContext@GmmLib@@UAGEW4GMM_HW_COMMAND_STREAMER_ENUM@@W4GMM_HW_COMMAND_ENUM@@PAT__D3DDDI_PATCHLOCATIONLIST_DRIVERID@@@Z
        195   C2 000030E0 ?GetVAlign@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        196   C3 00003180 ?GetVAlignSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        197   C4 00003250 ?GetVidSourceId@GmmResourceInfoWin@GmmLib@@UAGIXZ
        198   C5 00003260 ?GmmGetTileMode@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_TILE_MODE_ENUM@@XZ
        199   C6 00109B60 ?GmmSetCsrHandle@GmmPageTableMgr@GmmLib@@UAEXPAX@Z
        200   C7 0010FCE0 ?GmmSetDeviceInfo@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAU_GMM_DEVICE_INFO_REC@@@Z
        201   C8 00108AC0 ?InitContextAuxTableRegister@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PAXW4_GMM_ENGINE_TYPE@@@Z
        202   C9 00108B50 ?InitContextTRTableRegister@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PAXW4_GMM_ENGINE_TYPE@@@Z
        203   CA 00108A10 ?InitGpuBBQueueCallbacks@GmmPageTableMgr@GmmLib@@UAEXPAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@@Z
        204   CB 000E84A0 ?Is64KBPageSuitable@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        205   CC 000E89B0 ?IsASTC@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        206   CD 000E89A0 ?IsArraySpacingSingleLod@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        207   CE 00003270 ?IsColorSeparation@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        208   CF 0010EEA0 ?IsCompressed@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        209   D0 00003280 ?IsLockDiscardCompatible@GmmResourceInfoWin@GmmLib@@UAGEXZ
        210   D1 000032B0 ?IsMediaMemoryCompressed@GmmResourceInfoCommon@GmmLib@@UAGEI@Z
        211   D2 000E8840 ?IsMipRCCAligned@GmmResourceInfoCommon@GmmLib@@UAG_NAAE@Z
        212   D3 000032E0 ?IsMsaaFormatDepthStencil@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        213   D4 0010EE80 ?IsP0xx@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        214   D5 0010EE70 ?IsPlanar@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        215   D6 000EB3E0 ?IsPredictedGlobalAliasingParticipant@GmmResourceInfoWin@GmmLib@@UAGEXZ
        216   D7 000EB0F0 ?IsPresentableformat@GmmResourceInfoCommon@GmmLib@@MAE_NXZ
        217   D8 00003300 ?IsSurfaceFaultable@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        218   D9 000EB450 ?IsSurfaceFaultable@GmmResourceInfoWin@GmmLib@@UAGEXZ
        219   DA 00003310 ?IsSvm@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        220   DB 0010EE90 ?IsUVPacked@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        221   DC 0010EED0 ?IsYUVPacked@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        222   DD 000EBA90 ?KmdGetSetCpSurfTag@GmmResourceInfoWin@GmmLib@@UAGITGMM_ESCAPE_HANDLE_REC@@0IEITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        223   DE 000EB840 ?KmdGetSetHardwareProtection@GmmResourceInfoWin@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0IEPAETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        224   DF 000EB980 ?KmdSetPavpStoutOrIsolatedEncryptionForDisplay@GmmResourceInfoWin@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0IEITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        225   E0 00108D70 ?MapTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAU_GMM_MAP_TR_GPUVIRTUALADDRESS@@E@Z
        226   E1 0010F520 ?MapTileInstancedGpuVirtualAddress@GmmClientContext@GmmLib@@UAEJPAU_GMM_MAP_GPUVA_TILE_INSTANCED_RESOURCE@@@Z
        227   E2 00003320 ?OverrideAllocationFlags@GmmResourceInfoCommon@GmmLib@@UAGXAAUGMM_RESOURCE_FLAG_REC@@@Z
        228   E3 00003340 ?OverrideArraySize@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        229   E4 00003350 ?OverrideAuxTilePoolArray@GmmResourceInfoWin@GmmLib@@UAGXPAX@Z
        230   E5 00003370 ?OverrideAuxTilePoolArraySize@GmmResourceInfoWin@GmmLib@@UAGXI@Z
        231   E6 00003390 ?OverrideBaseAlignment@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        232   E7 000033A0 ?OverrideBaseHeight@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        233   E8 000033B0 ?OverrideBaseWidth@GmmResourceInfoCommon@GmmLib@@UAGX_K@Z
        234   E9 000033D0 ?OverrideCachePolicyUsage@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
        235   EA 000033E0 ?OverrideDepth@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        236   EB 00110E60 ?OverrideGfxPartition@GmmClientContext@GmmLib@@UAG?AU__GMM_GFX_PARTITIONING@@PAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        237   EC 00110E20 ?OverrideGfxPartition@GmmClientContext@GmmLib@@UAG?AU__GMM_GFX_PARTITIONING@@XZ
        238   ED 000033F0 ?OverrideGmmLibContext@GmmResourceInfoCommon@GmmLib@@UAGXPBVContext@2@@Z
        239   EE 00003410 ?OverrideHAlign@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        240   EF 00003420 ?OverrideMaxLod@GmmResourceInfoCommon@GmmLib@@UAGXI@Z
        241   F0 00003430 ?OverridePitch@GmmResourceInfoCommon@GmmLib@@UAGX_K@Z
        242   F1 00003450 ?OverridePlanarXOffset@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_YUV_PLANE_ENUM@@_K@Z
        243   F2 00003480 ?OverridePlanarYOffset@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_YUV_PLANE_ENUM@@_K@Z
        244   F3 000034B0 ?OverrideSize@GmmResourceInfoCommon@GmmLib@@UAGX_K@Z
        245   F4 000034D0 ?OverrideSurfaceFormat@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        246   F5 000034E0 ?OverrideSurfaceType@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_RESOURCE_TYPE_ENUM@@@Z
        247   F6 000034F0 ?OverrideSvmGfxAddress@GmmResourceInfoCommon@GmmLib@@UAGX_K@Z
        248   F7 00003510 ?OverrideTextureInfo@GmmResourceInfoWin@GmmLib@@UAGXW4GMM_CLIENT_ENUM@@ABUGMM_TEXTURE_INFO_REC@@@Z
        249   F8 00003540 ?OverrideTileMode@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_TILE_MODE_ENUM@@@Z
        250   F9 00003560 ?OverrideTiledResourceGfxAddress@GmmResourceInfoWin@GmmLib@@UAGX_K@Z
        251   FA 00003580 ?OverrideUnifiedAuxPitch@GmmResourceInfoCommon@GmmLib@@UAGX_K@Z
        252   FB 000035A0 ?OverrideUnifiedAuxTileMode@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_TILE_MODE_ENUM@@@Z
        253   FC 00111990 ?PigmsFreeGpuVa@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0_K1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        254   FD 00111980 ?PigmsMapGpuVA@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0_KIPAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        255   FE 00111970 ?PigmsReserveGpuVA@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        256   FF 000E55E0 ?ReAdjustPlaneProperties@GmmResourceInfoCommon@GmmLib@@MAE_N_N@Z
        257  100 000E52F0 ?RedescribePlanes@GmmResourceInfoCommon@GmmLib@@MAE_NXZ
        258  101 00111530 ?ResDestroySvmAllocation@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        259  102 0010F110 ?ResMemcpy@GmmClientContext@GmmLib@@UAGXPAX0@Z
        260  103 001119A0 ?ResUpdateAfterSharedOpen@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAX0IPAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        261  104 001102D0 ?ReserveSVMGPUVA@GmmClientContext@GmmLib@@AAE?AW4GMM_STATUS_ENUM@@PAU_GMM_DEVICE_CALLBACKS_INT@@PAU__GMM_GFX_PARTITIONING@@@Z
        262  105 00108D10 ?ReserveTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAUGMM_UMD_SYNCCONTEXT_REC@@PAUD3DDDI_RESERVEGPUVIRTUALADDRESS@@E@Z
        263  106 000035C0 ?SetClientType@GmmResourceInfoCommon@GmmLib@@UAEXW4GMM_CLIENT_ENUM@@@Z
        264  107 000035D0 ?SetGmmClientContext@GmmResourceInfoCommon@GmmLib@@UAEXPAVGmmClientContext@2@@Z
        265  108 00003610 ?SetGmmLibContext@GmmResourceInfoCommon@GmmLib@@UAEXPAX@Z
        266  109 00003630 ?SetMmcHint@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_RESOURCE_MMC_HINT_REC@@I@Z
        267  10A 00003650 ?SetMmcMode@GmmResourceInfoCommon@GmmLib@@UAGXW4GMM_RESOURCE_MMC_INFO_REC@@I@Z
        268  10B 00003670 ?SetPrivateData@GmmResourceInfoCommon@GmmLib@@UAGXPAX@Z
        269  10C 00003690 ?TranslateColorSeparationX@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        270  10D 001113B0 ?UmDestroypHeap@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAPAUGMM_HEAP_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        271  10E 00111210 ?UmSetupHeap@GmmClientContext@GmmLib@@UAGPAUGMM_HEAP_REC@@TGMM_ESCAPE_HANDLE_REC@@0_K1ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        272  10F 00108E80 ?UpdateAuxTable@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PBU__GMM_DDI_UPDATEAUXTABLE@@@Z
        273  110 000EB4E0 ?UpdateCacheability@GmmResourceInfoWin@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0IAAUGMM_GPU_CACHE_SETTINGS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        274  111 00111A70 ?UpdateSparseResourceOpaqueMapping@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@EIPAUGMM_UPDATE_SPARSE_RESOURCE_OPAQUE_MAPPINGS_REC@@@Z
        275  112 00108DC0 ?UpdateTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAPAUGMM_UMD_SYNCCONTEXT_REC@@PBU_GMM_UPADTE_TR_GPUVIRTUALADDRESS_INT@@E@Z
        276  113 00111A10 ?UpdateTiledResourceMapping@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0UGMM_UPDATE_TILE_MAPPINGS_REC_INT@@EPAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@PAU_GMM_DEVICE_CALLBACKS_INT@@IE@Z
        277  114 000E9560 ?ValidateParams@GmmResourceInfoCommon@GmmLib@@UAGEXZ
        278  115 00109E80 ?__AllocateNodePool@GmmPageTableMgr@GmmLib@@AAEPAVGmmPageTablePool@2@IW4POOL_TYPE_REC@2@@Z
        279  116 00109960 ?__GetFreePoolNode@GmmPageTableMgr@GmmLib@@UAEPAVGmmPageTablePool@2@PAIW4POOL_TYPE_REC@2@@Z
        280  117 00110160 ?__GetSetSharedHeapObjectProcessSingleton@GmmClientContext@GmmLib@@AAEPAXTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        281  118 0010FDE0 ?__GetSharedHeapObject@GmmClientContext@GmmLib@@AAEPAXTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        282  119 0010A130 ?__NotifyAuxTChange@GmmPageTableMgr@GmmLib@@AAEX_KAA_K1AAE@Z
        283  11A 00109720 ?__ReleaseUnusedPool@GmmPageTableMgr@GmmLib@@UAEXPAUGMM_UMD_SYNCCONTEXT_REC@@@Z
        284  11B 0010FED0 ?__SetSharedHeapObject@GmmClientContext@GmmLib@@AAEITGMM_ESCAPE_HANDLE_REC@@0PAPAXTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        285  11C 00111D20 _GmmDestroy@4
        286  11D 00111CC0 _InitializeGmm@8
        287  11E 00111C90 _OpenGmm@4

  Summary

        4000 .data
        F000 .rdata
        3000 .reloc
        1000 .rsrc
      11E000 .text
