
Dump of file C:\Windows\System32\clusapi.dll

File Type: DLL

  Section contains the following exports for CLUSAPI.dll

    00000000 characteristics
    F7024D7C time date stamp
        0.00 version
           1 ordinal base
         290 number of functions
         290 number of names

    ordinal hint RVA      name

        123   7A 0004CC10 ClusterRegDeleteKeyForceSync
        124   7B 0004D100 ClusterRegDeleteValue
        125   7C 0004D160 ClusterRegDeleteValueForceSync
        126   7D 0004CF10 ClusterRegEnumKey
        127   7E 0004D330 ClusterRegEnumValue
        128   7F 00055FC0 ClusterRegGetBatchNotification
        129   80 0004D5B0 ClusterRegGetKeySecurity
        130   81 0004C8F0 ClusterRegOpenKey
        131   82 0004D2A0 ClusterRegQueryAllValues
        132   83 0004D490 ClusterRegQueryInfoKey
        133   84 0004D1C0 ClusterRegQueryValue
        134   85 0007FFF0 ClusterRegReadBatchAddCommand
        135   86 00080100 ClusterRegReadBatchReplyNextCommand
        136   87 0004D650 ClusterRegSetKeySecurity
        137   88 0004D000 ClusterRegSetValue
        138   89 0004D090 ClusterRegSetValueForceSync
        139   8A 0004D710 ClusterRegSyncDatabase
        140   8B 00068D20 ClusterRemoveAffinityRule
        141   8C 0005EE80 ClusterRemoveClusterStorageEnclosure
        142   8D 000628A0 ClusterRemoveFaultDomain
        143   8E 00068FC0 ClusterRemoveGroupFromAffinityRule
        144   8F 00066870 ClusterRemoveGroupFromGroupSet
        145   90 00050F70 ClusterResourceCloseEnum
        146   91 0000C4E0 ClusterResourceCloseEnumEx
        147   92 0003A000 ClusterResourceControl
        148   93 0003A050 ClusterResourceControlAsUser
        149   94 00050E80 ClusterResourceEnum
        150   95 0000C270 ClusterResourceEnumEx
        151   96 00050E40 ClusterResourceGetEnumCount
        152   97 0000C240 ClusterResourceGetEnumCountEx
        153   98 00050D70 ClusterResourceOpenEnum
        154   99 0000C130 ClusterResourceOpenEnumEx
        155   9A 000513E0 ClusterResourceTypeCloseEnum
        156   9B 0003A0B0 ClusterResourceTypeControl
        157   9C 0003A110 ClusterResourceTypeControlAsUser
        158   9D 000512D0 ClusterResourceTypeEnum
        159   9E 00051290 ClusterResourceTypeGetEnumCount
        160   9F 000511B0 ClusterResourceTypeOpenEnum
        161   A0 00057EF0 ClusterSendReceiveMrr
        162   A1 00057FF0 ClusterSendReceiveMrrAsUser
        163   A2 00010540 ClusterSetAccountAccess
        164   A3 0005EFE0 ClusterSetClusterStorageEnclosure
        165   A4 00062A00 ClusterSetFaultDomain
        166   A5 000647B0 ClusterSetNodeFaultDomain
        167   A6 0000D780 ClusterSharedVolumeClearBackupState
        168   A7 0000DCB0 ClusterSharedVolumeSetSnapshotState
        169   A8 00058180 ClusterStmFindDisk
