
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvwgf2umx_cfg.dll

File Type: DLL

  Section contains the following exports for nvwgf2umx_cfg.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         268 number of functions
         268 number of names

    ordinal hint RVA      name

         52   33 0104E1F0 ??4?$SafeEnum@UTraits_ENUMCLASS_SCOPEWRAPPER@GemmImpl@cask@@@cask@@QEAAAEAV01@AEBV01@@Z
         53   34 0066B770 ??4?$ShaderList@UConvolutionShader@cask@@VConvolution@2@@cask@@QEAAAEAV01@AEBV01@@Z
         54   35 0066B770 ??4?$ShaderList@UGemmShader@cask@@VGemm@2@@cask@@QEAAAEAV01@AEBV01@@Z
         55   36 0066B770 ??4?$ShaderList@VLinkableConvShader@cask@@VConvolution@2@@cask@@QEAAAEAV01@AEBV01@@Z
         56   37 0066B770 ??4?$ShaderList@VLinkableGemmShader@cask@@VGemm@2@@cask@@QEAAAEAV01@AEBV01@@Z
         57   38 0066B770 ??4?$ShaderList@VPoolingShader@cask@@VPoolingOperation@2@@cask@@QEAAAEAV01@AEBV01@@Z
         58   39 0066B770 ??4?$ShaderList@VSoftmaxShader@cask@@VSoftmaxOperation@2@@cask@@QEAAAEAV01@AEBV01@@Z
         59   3A 0066EE50 ??4Convolution@cask@@QEAAAEAV01@AEBV01@@Z
         60   3B 0066EE50 ??4ConvolutionWeightGradient@cask@@QEAAAEAV01@AEBV01@@Z
         61   3C 0066EE50 ??4Gemm@cask@@QEAAAEAV01@AEBV01@@Z
         62   3D 0066EF60 ??4Operation@cask@@QEAAAEAV01@AEBV01@@Z
         63   3E 010508D0 ??4PoolingOperation@cask@@QEAAAEAV01@AEBV01@@Z
         64   3F 01050D20 ??4SoftmaxOperation@cask@@QEAAAEAV01@AEBV01@@Z
         65   40 0104E660 ??4TensorDesc@cask@@QEAAAEAU01@$$QEAU01@@Z
         66   41 0104E600 ??4TensorDesc@cask@@QEAAAEAU01@AEBU01@@Z
         67   42 006695C0 ??8TensorDesc@cask@@QEBA_NAEBU01@@Z
         68   43 00286000 ??B?$SafeEnum@UGemmChip_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEBA?AW4Label@GemmChip_ENUMCLASS_SCOPEWRAPPER@1@XZ
         69   44 00286000 ??B?$SafeEnum@UGemmLayout_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEBA?AW4Label@GemmLayout_ENUMCLASS_SCOPEWRAPPER@1@XZ
         70   45 00286000 ??B?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEBA?AW4Label@ScalarType_ENUMCLASS_SCOPEWRAPPER@1@XZ
         71   46 00286000 ??B?$SafeEnum@USplitKMode_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEBA?AW4Label@SplitKMode_ENUMCLASS_SCOPEWRAPPER@1@XZ
         72   47 01E31E58 ??_7Convolution@cask@@6B@
         73   48 01E70220 ??_7ConvolutionShader@cask@@6B@
         74   49 01E705A0 ??_7ConvolutionWeightGradient@cask@@6B@
         75   4A 01E31E48 ??_7Gemm@cask@@6B@
         76   4B 01E70350 ??_7GemmShader@cask@@6B@
         77   4C 01E31E68 ??_7Operation@cask@@6B@
         78   4D 01E70460 ??_7PoolingOperation@cask@@6B@
         79   4E 01E705B0 ??_7PoolingShader@cask@@6B@
         80   4F 01E70210 ??_7Shader@cask@@6B@
         81   50 01E70450 ??_7SoftmaxOperation@cask@@6B@
         82   51 01E70478 ??_7WeightGradientShader@cask@@6B@
         83   52 01E70470 ?MAX_DIMS@TensorDesc@cask@@2HB
         86   53 00AD4430 ?QueryOccupancyProvider@Shader@cask@@UEAAAEBUOccupancyProvider@2@XZ
         87   54 0104FF40 ?accumScalarType@WeightGradientShader@cask@@UEBA?AV?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@2@XZ
         88   55 00676E10 ?availableShaders@?$ShaderList@UConvolutionShader@cask@@VConvolution@2@@cask@@SAPEBV12@XZ
         89   56 00676DC0 ?availableShaders@?$ShaderList@UGemmShader@cask@@VGemm@2@@cask@@SAPEBV12@XZ
         90   57 0104DB50 ?availableShaders@?$ShaderList@VLinkableConvShader@cask@@VConvolution@2@@cask@@SAPEBV12@XZ
         91   58 0104DBA0 ?availableShaders@?$ShaderList@VLinkableGemmShader@cask@@VGemm@2@@cask@@SAPEBV12@XZ
         92   59 0104DBF0 ?availableShaders@?$ShaderList@VPoolingShader@cask@@VPoolingOperation@2@@cask@@SAPEBV12@XZ
         93   5A 0106C4E0 ?availableShaders@?$ShaderList@VSoftmaxShader@cask@@VSoftmaxOperation@2@@cask@@SAPEBV12@XZ
