
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

         67   42 0001F3F0 ??_7?$UIThreadCore@UIRouterUI@@@@6B@
         68   43 0001F1D0 ??_7GeoCoordinates@core@@6B@
         69   44 0001F1C0 ??_7GeoRect@core@@6B@
         70   45 0001F3A8 ??_7OperationAdapterCore@@6B@
         71   46 0001F378 ??_7QueryAdapterCore@@6B@
         72   47 0001F118 ??_7Route@core@@6B@
         73   48 0001F168 ??_7RouteLeg@core@@6B@
         74   49 0001F1B8 ??_7RouteManeuver@core@@6B@
         75   4A 0001F430 ??_7RouterAdapterCore@@6B?$UIThreadCore@UIRouterUI@@@@@
         76   4B 0001F448 ??_7RouterAdapterCore@@6BIRouterUI@@@
         77   4C 0001F458 ??_7RouterAdapterCore@@6BQueryAdapterCore@@@
         78   4D 00014770 ??_FDoublePoint@core@@QEAAXXZ
         79   4E 00014790 ?CalculateGeoRect@GeoRect@core@@SAJAEAV?$vector@PEAVGeoCoordinates@core@@V?$allocator@PEAVGeoCoordinates@core@@@std@@@std@@PEAV12@@Z
         80   4F 0000B790 ?CalculateRoute@RouterAdapterCore@@QEAAJ$$QEAV?$vector@URoutePoint@engine@@V?$allocator@URoutePoint@engine@@@std@@@std@@W4TravelMode@engine@@W4RouteOptimization@5@KIPEAURouteOptions@5@@Z
         81   50 0000B7D0 ?CalculateRoute@RouterAdapterCore@@QEAAJ$$QEAV?$vector@URoutePoint@engine@@V?$allocator@URoutePoint@engine@@@std@@@std@@W4TravelMode@engine@@W4RouteOptimization@5@KI_JPEAURouteOptions@5@@Z
         82   51 00017300 ?CalculateRoute@RouterAdapterCore@@QEAAJAEBV?$vector@VGeoCoordinates@core@@V?$allocator@VGeoCoordinates@core@@@std@@@std@@W4TravelMode@engine@@W4RouteOptimization@5@KPEAURouteOptions@5@@Z
         83   52 0000BBC0 ?CalculateRoute@RouterAdapterCore@@QEAAJAEBV?$vector@VGeoCoordinates@core@@V?$allocator@VGeoCoordinates@core@@@std@@@std@@W4TravelMode@engine@@W4RouteOptimization@5@K_JPEAURouteOptions@5@@Z
         84   53 00017330 ?Cancel@RouterAdapterCore@@QEAAXXZ
         85   54 00014A00 ?Contains@GeoRect@core@@QEAA_NPEBVGeoCoordinates@2@@Z
         86   55 00014A40 ?CopyFrom@GeoRect@core@@QEAAXAEBV12@@Z
         87   56 00017B40 ?Deserialize@Route@core@@SAJAEAV?$basic_istream@DU?$char_traits@D@std@@@std@@PEAV12@@Z
         88   57 00017DB0 ?FormatString@RouteManeuver@core@@SAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@KZZ
         89   58 00017480 ?GetAlternateRoute@RouterAdapterCore@@QEAAJIPEAVRoute@core@@@Z
         90   59 00017530 ?GetAlternateRouteCount@RouterAdapterCore@@QEAAJPEAI@Z
         91   5A 00017550 ?GetAlternateRouteViolatedOption@RouterAdapterCore@@QEAAJIPEAH@Z
         92   5B 00014A60 ?GetAltitude@GeoCoordinates@core@@UEBANXZ
         93   5C 0000D160 ?GetBackingObject@?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEBA?AV?$shared_ptr@VIManeuver@msnma@@@std@@XZ
         94   5D 0000D160 ?GetBackingObject@?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEBA?AV?$shared_ptr@VIRoute@msnma@@@std@@XZ
         95   5E 000096A0 ?GetBackingObjectRef@?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@IEAAAEAVGeoCoordinates@ngeo@Microsoft@@XZ
