
Dump of file C:\Windows\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

        168   83 00054AC0 VarAbs
        141   84 000558C0 VarAdd
        142   85 000581C0 VarAnd
        124   86 0005BB40 VarBoolFromCy
        123   87 0005BB60 VarBoolFromDate
        236   88 00066070 VarBoolFromDec
        126   89 0005BB70 VarBoolFromDisp
        233   8A 0005BBC0 VarBoolFromI1
        119   8B 0005BBE0 VarBoolFromI2
        120   8C 0005BC00 VarBoolFromI4
        370   8D 0005BC20 VarBoolFromI8
        121   8E 0005BC40 VarBoolFromR4
        122   8F 0005BC60 VarBoolFromR8
        125   90 00019220 VarBoolFromStr
        118   91 0005BBC0 VarBoolFromUI1
        234   92 0005BBE0 VarBoolFromUI2
        235   93 0005BC00 VarBoolFromUI4
        371   94 0005BC20 VarBoolFromUI8
        313   95 00007110 VarBstrCat
        314   96 00003D60 VarBstrCmp
        116   97 000191B0 VarBstrFromBool
        113   98 0005BC80 VarBstrFromCy
        114   99 0001C620 VarBstrFromDate
        232   9A 000013E0 VarBstrFromDec
        115   9B 0005C050 VarBstrFromDisp
        229   9C 0005C0A0 VarBstrFromI1
        109   9D 0005C0B0 VarBstrFromI2
        110   9E 000159D0 VarBstrFromI4
        368   9F 000024D0 VarBstrFromI8
        111   A0 0005C160 VarBstrFromR4
        112   A1 00018F30 VarBstrFromR8
        108   A2 0005C290 VarBstrFromUI1
        230   A3 0005C2A0 VarBstrFromUI2
        231   A4 00018FE0 VarBstrFromUI4
        369   A5 0001B940 VarBstrFromUI8
        318   A6 000562C0 VarCat
        176   A7 00006820 VarCmp
        306   A8 00058E20 VarCyAbs
        299   A9 00058E50 VarCyAdd
        311   AA 00058E80 VarCyCmp
        312   AB 00058EA0 VarCyCmpR8
        307   AC 00058F00 VarCyFix
        106   AD 0006A220 VarCyFromBool
        103   AE 0006A270 VarCyFromDate
        228   AF 000660A0 VarCyFromDec
        105   B0 0005C2B0 VarCyFromDisp
        225   B1 0005C300 VarCyFromI1
         99   B2 0006A220 VarCyFromI2
        100   B3 0006A240 VarCyFromI4
        366   B4 0006A4B0 VarCyFromI8
        101   B5 0006A260 VarCyFromR4
        102   B6 0006A270 VarCyFromR8
        104   B7 0005C320 VarCyFromStr
         98   B8 0005C3B0 VarCyFromUI1
        226   B9 0005C3D0 VarCyFromUI2
        227   BA 0005C3F0 VarCyFromUI4
        367   BB 0005C410 VarCyFromUI8
        308   BC 00058F40 VarCyInt
        303   BD 00058FB0 VarCyMul
        304   BE 00059100 VarCyMulI4
        329   BF 000563A0 VarCyMulI8
        309   C0 00059170 VarCyNeg
        310   C1 00054D20 VarCyRound
        305   C2 000591A0 VarCySub
         96   C3 0005C440 VarDateFromBool
         93   C4 0005C460 VarDateFromCy
        224   C5 000663E0 VarDateFromDec
         95   C6 0005C4A0 VarDateFromDisp
        221   C7 0005C500 VarDateFromI1
         89   C8 0005C440 VarDateFromI2
         90   C9 0005C540 VarDateFromI4
        364   CA 0005C580 VarDateFromI8
         91   CB 0005C5C0 VarDateFromR4
         92   CC 0005C5F0 VarDateFromR8
         94   CD 00069950 VarDateFromStr
         88   CE 0005C620 VarDateFromUI1
        222   CF 0005C640 VarDateFromUI2
        223   D0 0005C680 VarDateFromUI4
        365   D1 0005C6C0 VarDateFromUI8
        330   D2 00003640 VarDateFromUdate
        319   D3 0001A980 VarDateFromUdateEx
        182   D4 00059730 VarDecAbs
        177   D5 00059760 VarDecAdd
        204   D6 00005B20 VarDecCmp
        298   D7 00058D60 VarDecCmpR8
        178   D8 00059770 VarDecDiv
        187   D9 00002460 VarDecFix
        199   DA 00066440 VarDecFromBool
        196   DB 00066470 VarDecFromCy
        195   DC 000664A0 VarDecFromDate
        198   DD 000664B0 VarDecFromDisp
        241   DE 00066510 VarDecFromI1
        191   DF 00066540 VarDecFromI2
        192   E0 00003660 VarDecFromI4
        374   E1 00066580 VarDecFromI8
        193   E2 00001970 VarDecFromR4
        194   E3 00001680 VarDecFromR8
        197   E4 000665D0 VarDecFromStr
        190   E5 00066670 VarDecFromUI1
        242   E6 00066690 VarDecFromUI2
        243   E7 000666B0 VarDecFromUI4
        375   E8 000666D0 VarDecFromUI8
        188   E9 00059DE0 VarDecInt
        179   EA 00059E20 VarDecMul
        189   EB 0005A090 VarDecNeg
        203   EC 00001810 VarDecRound
        181   ED 0005A0C0 VarDecSub
        143   EE 00056430 VarDiv
        152   EF 00058350 VarEqv
        169   F0 00054DA0 VarFix
         87   F1 0006BBA0 VarFormat
        127   F2 0006BC90 VarFormatCurrency
         97   F3 0006BDB0 VarFormatDateTime
        139   F4 0006BE40 VarFormatFromTokens
        107   F5 0006DE80 VarFormatNumber
        117   F6 0006DF90 VarFormatPercent
        253   F7 0005C720 VarI1FromBool
        250   F8 0005C730 VarI1FromCy
        249   F9 0005C770 VarI1FromDate
        256   FA 000666F0 VarI1FromDec
        252   FB 0005C780 VarI1FromDisp
        245   FC 0005C7D0 VarI1FromI2
        246   FD 0005C800 VarI1FromI4
        376   FE 0005C820 VarI1FromI8
        247   FF 0005C850 VarI1FromR4
        248  100 0005C860 VarI1FromR8
        251  101 0005C8A0 VarI1FromStr
        244  102 0005C8E0 VarI1FromUI1
        254  103 0005C900 VarI1FromUI2
        255  104 0005C920 VarI1FromUI4
        377  105 0005C940 VarI1FromUI8
         56  106 0005C960 VarI2FromBool
         52  107 0006A380 VarI2FromCy
         53  108 0005C970 VarI2FromDate
        208  109 00066770 VarI2FromDec
         55  10A 0005C980 VarI2FromDisp
        205  10B 0005C9D0 VarI2FromI1
         49  10C 0005C9E0 VarI2FromI4
        346  10D 0005CA10 VarI2FromI8
         50  10E 0005CA40 VarI2FromR4
         51  10F 0005CA50 VarI2FromR8
         54  110 0005CA90 VarI2FromStr
         48  111 0005CB20 VarI2FromUI1
        206  112 0005CB30 VarI2FromUI2
        207  113 0005CB50 VarI2FromUI4
        347  114 0005CB70 VarI2FromUI8
         66  115 0005CB90 VarI4FromBool
         62  116 0006A3D0 VarI4FromCy
         63  117 0005CBA0 VarI4FromDate
        212  118 00066800 VarI4FromDec
         65  119 0005CBB0 VarI4FromDisp
        209  11A 0005CC00 VarI4FromI1
