
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

         59   3A 00012660 ?FindRegionPtrOnDiskFromRegionId@CDataCache@@QEAAHPEAVCDMNodeObj@@_JPEAPEAV2@AEAPEAU__POSITION@@@Z
         60   3B 00027500 ?GetAssignedDriveLetter@CTaskData@@QEAAH_JAEAG@Z
         61   3C 000127E0 ?GetBootPort@CDataCache@@QEAAHXZ
         62   3D 00027530 ?GetBootPort@CTaskData@@QEAAHXZ
         63   3E 0001D160 ?GetColorRef@CDMNodeObj@@QEAAKXZ
         64   3F 00012860 ?GetComponentData@CDataCache@@QEAAPEAVCDMComponentData@@XZ
         65   40 00027550 ?GetDMDataObjPtrFromId@CTaskData@@QEAAPEAVCDMNodeObj@@_J@Z
         66   41 0001D330 ?GetDeviceAttributes@CDMNodeObj@@QEAAKXZ
         67   42 0001D350 ?GetDeviceState@CDMNodeObj@@QEAAKXZ
         68   43 0001D370 ?GetDeviceType@CDMNodeObj@@QEAAKXZ
         69   44 00012880 ?GetDiskCookies@CDataCache@@IEAAXAEAKPEAPEA_J@Z
         70   45 000275A0 ?GetDiskCookies@CTaskData@@QEAAXAEAKPEAPEA_JHKH@Z
         71   46 000276A0 ?GetDiskCookiesForAddMirror@CTaskData@@QEAAX_JAEAKPEAPEA_J@Z
         72   47 000278D0 ?GetDiskCookiesForCreateVolume@CTaskData@@QEAAXAEAKPEAPEA_J@Z
         73   48 000279F0 ?GetDiskCookiesForExtendVolume@CTaskData@@QEAAX_JAEAKPEAPEA_J@Z
         74   49 00027AA0 ?GetDiskCookiesForSig@CTaskData@@QEAAXAEAKPEAPEA_J@Z
         75   4A 00027BA0 ?GetDiskCookiesForUpgrade@CTaskData@@QEAAXAEAKPEAPEA_J@Z
         76   4B 00027D00 ?GetDiskCookiesToEncap@CTaskData@@QEAAXAEAKPEAPEA_J@Z
