
Dump of file C:\Windows\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    C3D8BFF1 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        249   83 00177C30 HttpWebSocketClose
        250   84 00178210 HttpWebSocketCompleteUpgrade
        251   85 00177DA0 HttpWebSocketQueryCloseStatus
        252   86 00178700 HttpWebSocketReceive
        253   87 00178CB0 HttpWebSocketSend
        254   88 00178FA0 HttpWebSocketShutdown
        255   89 000211B0 IncrementUrlCacheHeaderData
        256   8A 00184530 InternetAlgIdToStringA
        257   8B 00184710 InternetAlgIdToStringW
        258   8C 00137A00 InternetAttemptConnect
        259   8D 0013C630 InternetAutodial
        260   8E 00133C40 InternetAutodialCallback
        261   8F 0013C6F0 InternetAutodialHangup
        262   90 00137A60 InternetCanonicalizeUrlA
        263   91 000D47E0 InternetCanonicalizeUrlW
        264   92 00137B80 InternetCheckConnectionA
        265   93 00139090 InternetCheckConnectionW
        266   94 00168D60 InternetClearAllPerSiteCookieDecisions
        267   95 0005C900 InternetCloseHandle
        268   96 00138070 InternetCombineUrlA
        269   97 000362F0 InternetCombineUrlW
        270   98 00185770 InternetConfirmZoneCrossing
        271   99 00185770 InternetConfirmZoneCrossingA
        272   9A 000281F0 InternetConfirmZoneCrossingW
        273   9B 001381A0 InternetConnectA
        274   9C 000C5D60 InternetConnectW
        275   9D 000146D0 InternetConvertUrlFromWireToWideChar
        276   9E 0002DE90 InternetCrackUrlA
        277   9F 0002DF10 InternetCrackUrlW
        278   A0 00138380 InternetCreateUrlA
        279   A1 00060390 InternetCreateUrlW
        280   A2 0013C7A0 InternetDial
        281   A3 0013C7A0 InternetDialA
        282   A4 0013C870 InternetDialW
        283   A5 00168D70 InternetEnumPerSiteCookieDecisionA
        284   A6 00168DE0 InternetEnumPerSiteCookieDecisionW
        285   A7 00185830 InternetErrorDlg
        286   A8 001547B0 InternetFindNextFileA
        287   A9 00156CE0 InternetFindNextFileW
        288   AA 0014A4E0 InternetFortezzaCommand
        289   AB 000C2AD0 InternetFreeCookies
        290   AC 00166570 InternetFreeProxyInfoList
        291   AD 000DAB30 InternetGetCertByURL
        292   AE 000DAB30 InternetGetCertByURLA
        293   AF 000D8220 InternetGetConnectedState
        294   B0 00028F60 InternetGetConnectedStateEx
        295   B1 00028F60 InternetGetConnectedStateExA
        296   B2 000D8280 InternetGetConnectedStateExW
        297   B3 0016A510 InternetGetCookieA
        298   B4 000C2C20 InternetGetCookieEx2
        299   B5 0016A540 InternetGetCookieExA
        300   B6 000C27F0 InternetGetCookieExW
        301   B7 0016A890 InternetGetCookieW
        302   B8 00138420 InternetGetLastResponseInfoA
        303   B9 00139190 InternetGetLastResponseInfoW
        304   BA 00168EE0 InternetGetPerSiteCookieDecisionA
        305   BB 00168F40 InternetGetPerSiteCookieDecisionW
        306   BC 00166650 InternetGetProxyForUrl
        307   BD 00037390 InternetGetSecurityInfoByURL
        308   BE 00037390 InternetGetSecurityInfoByURLA
        309   BF 000372B0 InternetGetSecurityInfoByURLW
        310   C0 0013C940 InternetGoOnline
        311   C1 0013C940 InternetGoOnlineA
        312   C2 0013CA00 InternetGoOnlineW
        313   C3 0013CAC0 InternetHangUp
        314   C4 0005BB20 InternetInitializeAutoProxyDll
        315   C5 0001C690 InternetLockRequestFile
        316   C6 000A66D0 InternetOpenA
        317   C7 001385E0 InternetOpenUrlA
        318   C8 00139360 InternetOpenUrlW
        319   C9 00051140 InternetOpenW
        320   CA 00076920 InternetQueryDataAvailable
        321   CB 0014A550 InternetQueryFortezzaStatus
        322   CC 000592D0 InternetQueryOptionA
        323   CD 000C6040 InternetQueryOptionW
        324   CE 000C7260 InternetReadFile
        325   CF 000A2C30 InternetReadFileExA
        326   D0 000A2BA0 InternetReadFileExW
        327   D1 001848F0 InternetSecurityProtocolToStringA
        328   D2 00184A70 InternetSecurityProtocolToStringW
        329   D3 0016A8B0 InternetSetCookieA
        330   D4 000CCA10 InternetSetCookieEx2
        331   D5 0016A8E0 InternetSetCookieExA
        332   D6 000342A0 InternetSetCookieExW
        333   D7 0016A990 InternetSetCookieW
        334   D8 0013CB60 InternetSetDialState
        335   D9 0013CB60 InternetSetDialStateA
        336   DA 0013CBC0 InternetSetDialStateW
        337   DB 00138680 InternetSetFilePointer
        338   DC 00054D50 InternetSetOptionA
        339   DD 00139CD0 InternetSetOptionExA
        340   DE 00139DD0 InternetSetOptionExW
        341   DF 000539B0 InternetSetOptionW
        342   E0 00168FF0 InternetSetPerSiteCookieDecisionA
        343   E1 00169090 InternetSetPerSiteCookieDecisionW
        344   E2 000CEDA0 InternetSetStatusCallback
        345   E3 000CEDA0 InternetSetStatusCallbackA
        347   E4 000CEE20 InternetSetStatusCallbackW
        348   E5 00138850 InternetShowSecurityInfoByURL
        349   E6 00138850 InternetShowSecurityInfoByURLA
        350   E7 00139540 InternetShowSecurityInfoByURLW
        351   E8 0019D0D0 InternetTimeFromSystemTime
        352   E9 0019D0D0 InternetTimeFromSystemTimeA
        353   EA 0019D230 InternetTimeFromSystemTimeW
        354   EB 0019D370 InternetTimeToSystemTime
        355   EC 0019D370 InternetTimeToSystemTimeA
        356   ED 0019D3C0 InternetTimeToSystemTimeW
        357   EE 0000BFE0 InternetUnlockRequestFile
        358   EF 00039D90 InternetWriteFile
        359   F0 00138940 InternetWriteFileExA
        360   F1 00138940 InternetWriteFileExW
        361   F2 0005EA40 IsHostInProxyBypassList
        362   F3 001A1900 IsUrlCacheEntryExpiredA
        363   F4 001A1A60 IsUrlCacheEntryExpiredW
        364   F5 00138940 LoadUrlCacheContent
        365   F6 00184BF0 ParseX509EncodedCertificateForListBoxEntry
        366   F7 000691D0 PrivacyGetZonePreferenceW
        367   F8 0004F990 PrivacySetZonePreferenceW
        368   F9 001A1BD0 ReadUrlCacheEntryStream
        369   FA 001A1D00 ReadUrlCacheEntryStreamEx
        370   FB 000DB020 RegisterUrlCacheNotification
        371   FC 0013C520 ResumeSuspendedDownload
        372   FD 001A1E20 RetrieveUrlCacheEntryFileA
        373   FE 001A2040 RetrieveUrlCacheEntryFileW
        374   FF 001A2270 RetrieveUrlCacheEntryStreamA
        375  100 001A24B0 RetrieveUrlCacheEntryStreamW
        376  101 000DAB30 RunOnceUrlCache
        377  102 001A2700 SetUrlCacheConfigInfoA
        378  103 001A2860 SetUrlCacheConfigInfoW
        379  104 001A2980 SetUrlCacheEntryGroup
        380  105 001A2980 SetUrlCacheEntryGroupA
        381  106 001A2B70 SetUrlCacheEntryGroupW
        382  107 0000D3F0 SetUrlCacheEntryInfoA
        383  108 001A2D70 SetUrlCacheEntryInfoW
        384  109 001A2F80 SetUrlCacheGroupAttributeA
        385  10A 001A31A0 SetUrlCacheGroupAttributeW
        386  10B 001A3390 SetUrlCacheHeaderData
        387  10C 00184BF0 ShowCertificate
        388  10D 00184BF0 ShowClientAuthCerts
        389  10E 00184C20 ShowSecurityInfo
        390  10F 00184D90 ShowX509EncodedCertificate
        391  110 001A34D0 UnlockUrlCacheEntryFile
        392  111 001A34D0 UnlockUrlCacheEntryFileA
        393  112 001A3610 UnlockUrlCacheEntryFileW
        394  113 0006F3B0 UnlockUrlCacheEntryStream
        395  114 001A3760 UpdateUrlCacheContentPath
        396  115 001A38C0 UrlCacheCheckEntriesExist
        397  116 001A3950 UrlCacheCloseEntryHandle
        398  117 001A39D0 UrlCacheContainerSetEntryMaximumAge
        399  118 00030920 UrlCacheCreateContainer
        400  119 00008A10 UrlCacheFindFirstEntry
        404  11A 00009150 UrlCacheFindNextEntry
        405  11B 00020460 UrlCacheFreeEntryInfo
        406  11C 001A3A60 UrlCacheFreeGlobalSpace
        407  11D 001A3B50 UrlCacheGetContentPaths
        408  11E 00008880 UrlCacheGetEntryInfo
        409  11F 001A3BE0 UrlCacheGetGlobalCacheSize
        412  120 001A3CF0 UrlCacheGetGlobalLimit
        414  121 001A3D80 UrlCacheReadEntryStream
        415  122 001A3E20 UrlCacheReloadSettings
        416  123 001A3EB0 UrlCacheRetrieveEntryFile
        417  124 001A3F40 UrlCacheRetrieveEntryStream
        418  125 000DB020 UrlCacheServer
        419  126 001A3FE0 UrlCacheSetGlobalLimit
        424  127 00037C30 UrlCacheUpdateEntryExtraData
        425  128 0017FAC0 UrlZonesDetach
        426  129 00147570 _GetFileExtensionFromUrl
        101      0013D430 [NONAME]
        102      001A7730 [NONAME]
        103      001A7820 [NONAME]
        104      00167630 [NONAME]
        105      001676F0 [NONAME]
        108      00135090 [NONAME]
        109      00135770 [NONAME]
        110      00135120 [NONAME]
        111      00135810 [NONAME]
        112      000DB020 [NONAME]
        116      0001F280 [NONAME]
        117      0016AB70 [NONAME]
        118      00167610 [NONAME]
        120      0013C600 [NONAME]
        121      0013C600 [NONAME]
        122      0013C600 [NONAME]
        123      0013C600 [NONAME]
        346      001A7810 [NONAME]
        401      001656C0 [NONAME]
        402      00166390 [NONAME]
        403      001663C0 [NONAME]
        410      001A6DE0 [NONAME]
        411      001A6DC0 [NONAME]
        413      001A7670 [NONAME]
        420      000D00B0 [NONAME]
        421      000CFA90 [NONAME]
        422      00028D00 [NONAME]
        423      00143AE0 [NONAME]

  Summary

        5000 .data
        1000 .didat
       19000 .pdata
      2A6000 .rdata
        2000 .reloc
       20000 .rsrc
      1D6000 .text
       1A000 .wpp_sf
