
Dump of file C:\Windows\System32\ucrtbased.dll

File Type: DLL

  Section contains the following exports for ucrtbased.dll

    00000000 characteristics
    B8B20920 time date stamp
        0.00 version
           1 ordinal base
        2547 number of functions
        2547 number of names

    ordinal hint RVA      name

        144   8F 000B1C20 __stdio_common_vfwprintf
        145   90 000B1C70 __stdio_common_vfwprintf_p
        146   91 000B1CC0 __stdio_common_vfwprintf_s
        147   92 0008DCE0 __stdio_common_vfwscanf
        148   93 000B1D10 __stdio_common_vsnprintf_s
        149   94 000B1D70 __stdio_common_vsnwprintf_s
        150   95 000B1DD0 __stdio_common_vsprintf
        151   96 000B1E20 __stdio_common_vsprintf_p
        152   97 000B1E70 __stdio_common_vsprintf_s
        153   98 0008DD30 __stdio_common_vsscanf
        154   99 000B1EC0 __stdio_common_vswprintf
        155   9A 000B1F10 __stdio_common_vswprintf_p
        156   9B 000B1F60 __stdio_common_vswprintf_s
        157   9C 0008DD80 __stdio_common_vswscanf
        158   9D 000C0920 __strncnt
        159   9E 0006C790 __sys_errlist
        160   9F 0006C7A0 __sys_nerr
        161   A0 000573F0 __threadhandle
        162   A1 00057410 __threadid
        163   A2 00119A50 __timezone
        164   A3 0004F110 __toascii
        165   A4 00119A70 __tzname
        166   A5 00151CD0 __unDName
        167   A6 00151D30 __unDNameEx
        168   A7 00151E00 __uncaught_exception
        169   A8 00151E60 __uncaught_exceptions
        170   A9 0006D740 __wcserror
        171   AA 0006D760 __wcserror_s
        172   AB 000C9770 __wcsncnt
        173   AC 000B9810 _abs64
        174   AD 000F8550 _access
        175   AE 000F8590 _access_s
        176   AF 00050700 _aligned_free
        177   B0 00053B10 _aligned_free_dbg
        178   B1 00050720 _aligned_malloc
        179   B2 00053C00 _aligned_malloc_dbg
        180   B3 00050760 _aligned_msize
        181   B4 00053C50 _aligned_msize_dbg
        182   B5 000507A0 _aligned_offset_malloc
        183   B6 00053E20 _aligned_offset_malloc_dbg
        184   B7 000507E0 _aligned_offset_realloc
        185   B8 00054110 _aligned_offset_realloc_dbg
        186   B9 00050830 _aligned_offset_recalloc
        187   BA 000545C0 _aligned_offset_recalloc_dbg
        188   BB 00050890 _aligned_realloc
        189   BC 000546E0 _aligned_realloc_dbg
        190   BD 000508E0 _aligned_recalloc
        191   BE 00054730 _aligned_recalloc_dbg
        192   BF 00073890 _assert
        193   C0 0003D970 _atodbl
        194   C1 0003D9A0 _atodbl_l
        195   C2 0003D9E0 _atof_l
        196   C3 0003DA10 _atoflt
        197   C4 0003DA40 _atoflt_l
        198   C5 00040C20 _atoi64
        199   C6 00040C50 _atoi64_l
        200   C7 00040C80 _atoi_l
        201   C8 00040C80 _atol_l
        202   C9 0003F550 _atoldbl
        203   CA 0003F580 _atoldbl_l
        204   CB 00040C50 _atoll_l
        205   CC 00029AA0 _beep
        206   CD 000750B0 _beginthread
        207   CE 000752B0 _beginthreadex
        208   CF 000BA170 _byteswap_uint64
        209   D0 000BA280 _byteswap_ulong
        210   D1 000BA2E0 _byteswap_ushort
        211   D2 00074140 _c_exit
        212   D3 00124E70 _cabs
        213   D4 000556F0 _callnewh
        214   D5 00050980 _calloc_base
        215   D6 00054790 _calloc_dbg
        216   D7 00074170 _cexit
        217   D8 00001250 _cgets
        218   D9 00001010 _cgets_s
        219   DA 00001670 _cgetws
        220   DB 00001330 _cgetws_s
        221   DC 00027D30 _chdir
        222   DD 000285A0 _chdrive
        223   DE 001292C0 _chgsign
        224   DF 00129320 _chgsignf
        225   E0 000F8630 _chmod
        226   E1 00104150 _chsize
        227   E2 00104430 _chsize_s
        228   E3 00045490 _chvalidator
        229   E4 00045510 _chvalidator_l
        230   E5 0012FF20 _clearfp
        231   E6 00104940 _close
        232   E7 00104D40 _commit
        233   E8 000628D0 _configthreadlocale
        234   E9 0006F060 _configure_narrow_argv
        235   EA 0006F080 _configure_wide_argv
        236   EB 0012FF50 _control87
        237   EC 0012FF80 _controlfp
        238   ED 000D6CF0 _controlfp_s
        239   EE 00129370 _copysign
        240   EF 00129410 _copysignf
        241   F0 0000A4F0 _cputs
        242   F1 0000A5D0 _cputws
        243   F2 00105010 _creat
        244   F3 00062AA0 _create_locale
        245   F4 00074A70 _crt_at_quick_exit
        246   F5 00074AA0 _crt_atexit
        247   F6 00113B90 _ctime32
        248   F7 00113BB0 _ctime32_s
        249   F8 00113BF0 _ctime64
        250   F9 00113C10 _ctime64_s
        251   FA 00020580 _cwait
