
Dump of file C:\Windows\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

        739   8F 00007950 PathRemoveFileSpecW
        740   90 0000F030 PathRenameExtensionA
        741   91 0000F050 PathRenameExtensionW
        742   92 0000F070 PathSearchAndQualifyA
        743   93 0000F090 PathSearchAndQualifyW
        744   94 000142C0 PathSetDlgItemPathA
        745   95 00018130 PathSetDlgItemPathW
        746   96 0000F0B0 PathSkipRootA
        747   97 000096A0 PathSkipRootW
        748   98 0000F0D0 PathStripPathA
        749   99 000019F0 PathStripPathW
        750   9A 0000F0F0 PathStripToRootA
        751   9B 000095B0 PathStripToRootW
        752   9C 0000F110 PathUnExpandEnvStringsA
        753   9D 0000F130 PathUnExpandEnvStringsW
        754   9E 00014450 PathUndecorateA
        755   9F 00008E80 PathUndecorateW
        756   A0 00014540 PathUnmakeSystemFolderA
        757   A1 000182D0 PathUnmakeSystemFolderW
        758   A2 0000F150 PathUnquoteSpacesA
        759   A3 00009B20 PathUnquoteSpacesW
        219   A4 00006260 QISearch
          7   A5 00020600 SHAllocShared
        345   A6 00012180 SHAnsiToAnsi
        215   A7 000121A0 SHAnsiToUnicode
        760   A8 0001C760 SHAutoComplete
        761   A9 000121C0 SHCopyKeyA
        762   AA 000121E0 SHCopyKeyW
         12   AB 00007DD0 SHCreateMemStream
        763   AC 00007C40 SHCreateShellPalette
        764   AD 00012200 SHCreateStreamOnFileA
        765   AE 00012220 SHCreateStreamOnFileEx
        766   AF 00012240 SHCreateStreamOnFileW
        767   B0          SHCreateStreamWrapper (forwarded to SHUNIMPL.#471)
         16   B1 000080F0 SHCreateThread
        768   B2 00012260 SHCreateThreadRef
        615   B3 00009E70 SHCreateThreadWithHandle
        278   B4 00009A70 SHCreateWorkerWindowW
        769   B5 00012280 SHDeleteEmptyKeyA
        770   B6 000122A0 SHDeleteEmptyKeyW
        771   B7 000122C0 SHDeleteKeyA
        772   B8 000122E0 SHDeleteKeyW
        773   B9          SHDeleteOrphanKeyA (forwarded to SHUNIMPL.#446)
        774   BA          SHDeleteOrphanKeyW (forwarded to SHUNIMPL.#447)
        775   BB 00012300 SHDeleteValueA
        776   BC 00012320 SHDeleteValueW
        777   BD 00012340 SHEnumKeyExA
        778   BE 00012360 SHEnumKeyExW
        779   BF 00012380 SHEnumValueA
        780   C0 000123A0 SHEnumValueW
        353   C1 00018A70 SHFormatDateTimeA
        354   C2 00018AF0 SHFormatDateTimeW
         10   C3 00020620 SHFreeShared
        781   C4 00019EA0 SHGetInverseCMAP
        782   C5 000123C0 SHGetThreadRef
        783   C6 000123E0 SHGetValueA
        784   C7 00007E10 SHGetValueW
        515   C8 00004590 SHGetViewStatePropertyBag
        204   C9 000065A0 SHIsChildOrSelf
        785   CA 00008330 SHIsLowMemoryMachine
        487   CB 000080D0 SHLoadIndirectString
          8   CC 00020680 SHLockShared
        185   CD 0001CF60 SHMessageBoxCheckA
        191   CE 0001D300 SHMessageBoxCheckW
        786   CF 00012400 SHOpenRegStream2A
        787   D0 00012420 SHOpenRegStream2W
        788   D1 00012440 SHOpenRegStreamA
        789   D2 00012460 SHOpenRegStreamW
        281   D3 00008D80 SHPackDispParamsV
        236   D4 000022D0 SHPinDllOfCLSID
        567   D5 00021D30 SHPropertyBag_ReadStrAlloc
        570   D6 00021DF0 SHPropertyBag_WriteBSTR
        790   D7 00012480 SHQueryInfoKeyA
        791   D8 000124A0 SHQueryInfoKeyW
        792   D9 000124C0 SHQueryValueExA
        793   DA 000124E0 SHQueryValueExW
        794   DB 0000F190 SHRegCloseUSKey
        795   DC 0000F1B0 SHRegCreateUSKeyA
        796   DD 0000F1D0 SHRegCreateUSKeyW
        797   DE 0000F1F0 SHRegDeleteEmptyUSKeyA
        798   DF 0000F210 SHRegDeleteEmptyUSKeyW
        799   E0 0000F230 SHRegDeleteUSValueA
        800   E1 0000F250 SHRegDeleteUSValueW
        801   E2 00012500 SHRegDuplicateHKey
        802   E3 0000F270 SHRegEnumUSKeyA
        803   E4 0000F290 SHRegEnumUSKeyW
        804   E5 0000F2B0 SHRegEnumUSValueA
        805   E6 0000F2D0 SHRegEnumUSValueW
        806   E7 0000F2F0 SHRegGetBoolUSValueA
        807   E8 000095D0 SHRegGetBoolUSValueW
        630   E9 0000B960 SHRegGetBoolValueFromHKCUHKLM
        280   EA 00012520 SHRegGetIntW
        808   EB 00012540 SHRegGetPathA
        809   EC 00012560 SHRegGetPathW
        810   ED 0000F310 SHRegGetUSValueA
        811   EE 0000F330 SHRegGetUSValueW
        812   EF 00012580 SHRegGetValueA
        629   F0 0000B060 SHRegGetValueFromHKCUHKLM
        813   F1 00007FD0 SHRegGetValueW
        814   F2 0000F350 SHRegOpenUSKeyA
        815   F3 0000F370 SHRegOpenUSKeyW
        816   F4 0000F390 SHRegQueryInfoUSKeyA
        817   F5 0000F3B0 SHRegQueryInfoUSKeyW
        818   F6 0000F3D0 SHRegQueryUSValueA
        819   F7 0000F3F0 SHRegQueryUSValueW
        820   F8 000125A0 SHRegSetPathA
        821   F9 000125C0 SHRegSetPathW
        822   FA 0000F410 SHRegSetUSValueA
        823   FB 0000F430 SHRegSetUSValueW
        824   FC 0000F450 SHRegWriteUSValueA
        825   FD 0000F470 SHRegWriteUSValueW
        826   FE 0002B260 SHRegisterValidateTemplate
        827   FF 000125E0 SHReleaseThreadRef
        467  100 00017570 SHRunIndirectRegClientCommand
        432  101 0001D670 SHSendMessageBroadcastA
        433  102 0001D6A0 SHSendMessageBroadcastW
        828  103 00009EB0 SHSetThreadRef
        829  104 00012600 SHSetValueA
        830  105 00009DA0 SHSetValueW
        831  106 00005FF0 SHSkipJunction
        832  107 00012620 SHStrDupA
        833  108 00009E90 SHStrDupW
        203  109 0001D8E0 SHStripMneumonicA
        225  10A 00006A90 SHStripMneumonicW
        217  10B 00012640 SHUnicodeToAnsi
        218  10C          SHUnicodeToAnsiCP (forwarded to SHCORE.#151)
        346  10D 00012660 SHUnicodeToUnicode
          9  10E 000206C0 SHUnlockShared
        834  10F 00014F80 ShellMessageBoxA
        388  110 00019410 ShellMessageBoxW
        835  111 0000F4B0 StrCSpnA
        836  112 0000F4D0 StrCSpnIA
        837  113 0000F4F0 StrCSpnIW
        838  114 0000F510 StrCSpnW
        839  115 0000F530 StrCatBuffA
        840  116 0000F550 StrCatBuffW
        841  117 0000F570 StrCatChainW
        842  118 00019880 StrCatW
        843  119 0000F590 StrChrA
        844  11A 0000F5B0 StrChrIA
        845  11B 00007FB0 StrChrIW
        846  11C 0000F5D0 StrChrNIW
        847  11D 0000F5F0 StrChrNW
        848  11E 000062A0 StrChrW
        155  11F 0000F610 StrCmpCA
        156  120 00006FC0 StrCmpCW
        157  121 00007870 StrCmpICA
        158  122 00006E30 StrCmpICW
        849  123 000019B0 StrCmpIW
        850  124 0000F630 StrCmpLogicalW
        851  125 0000F650 StrCmpNA
        151  126 0000F670 StrCmpNCA
        152  127 0000F690 StrCmpNCW
        852  128 0000F6B0 StrCmpNIA
        153  129 0000F6D0 StrCmpNICA
        154  12A 00008030 StrCmpNICW
        853  12B 00009570 StrCmpNIW
        854  12C 000066A0 StrCmpNW
        855  12D 00005860 StrCmpW
        856  12E 0000F6F0 StrCpyNW
        857  12F 000198C0 StrCpyW
        858  130 0000F750 StrDupA
        859  131 000070F0 StrDupW
        860  132 00019990 StrFormatByteSize64A
        861  133 00019A10 StrFormatByteSizeA
        862  134 00001870 StrFormatByteSizeEx
        863  135 00019A20 StrFormatByteSizeW
        864  136 00019A40 StrFormatKBSizeA
        865  137 00019AC0 StrFormatKBSizeW
        866  138 00019EF0 StrFromTimeIntervalA
        867  139 00019F80 StrFromTimeIntervalW
        868  13A 0000F770 StrIsIntlEqualA
        869  13B 0000F790 StrIsIntlEqualW
        870  13C 000198F0 StrNCatA
        871  13D 00019940 StrNCatW
        872  13E 0000F7B0 StrPBrkA
        873  13F 00009700 StrPBrkW
        874  140 0000F7D0 StrRChrA
        875  141 0000F7F0 StrRChrIA
        876  142 000090C0 StrRChrIW
        877  143 00009370 StrRChrW
        878  144 0000F810 StrRStrIA
        879  145 0000F830 StrRStrIW
        880  146 00019AE0 StrRetToBSTR
        881  147 00019B00 StrRetToBufA
        882  148 00007F60 StrRetToBufW
        883  149 00019BC0 StrRetToStrA
        884  14A 00019C50 StrRetToStrW
        885  14B 0000F850 StrSpnA
        886  14C 0000F870 StrSpnW
        887  14D 0000F890 StrStrA
        888  14E 0000F8B0 StrStrIA
        889  14F 00006A50 StrStrIW
        890  150 0000F8D0 StrStrNIW
        891  151 0000F8F0 StrStrNW
        892  152 0000F910 StrStrW
        893  153 0000F930 StrToInt64ExA
        894  154 0000F950 StrToInt64ExW
        895  155 0000F970 StrToIntA
        896  156 0000F990 StrToIntExA
        897  157 000096E0 StrToIntExW
        898  158 00006280 StrToIntW
        899  159 0000F9B0 StrTrimA
        900  15A 000099B0 StrTrimW
        901  15B 0000F9D0 UrlApplySchemeA
        902  15C 0000F9F0 UrlApplySchemeW
        903  15D 0000FA10 UrlCanonicalizeA
        904  15E 00007600 UrlCanonicalizeW
        905  15F 0000FA30 UrlCombineA
        906  160 00007A60 UrlCombineW
        907  161 0000FA50 UrlCompareA
        908  162 0000FA70 UrlCompareW
        909  163 0000FA90 UrlCreateFromPathA
        910  164 0000FAB0 UrlCreateFromPathW
        911  165 0000FAD0 UrlEscapeA
        912  166 00007970 UrlEscapeW
        462  167 0000FAF0 UrlFixupW
        913  168 0000FB10 UrlGetLocationA
        914  169 0000FB30 UrlGetLocationW
        915  16A 0000FB50 UrlGetPartA
        916  16B 00006A70 UrlGetPartW
        917  16C 0000FB70 UrlHashA
        918  16D 0000FB90 UrlHashW
        919  16E 0000FBB0 UrlIsA
        920  16F 0000FBD0 UrlIsNoHistoryA
        921  170 00008130 UrlIsNoHistoryW
        922  171 0000FBF0 UrlIsOpaqueA
        923  172 0000FC10 UrlIsOpaqueW
        924  173 00006C30 UrlIsW
        925  174 0000FC30 UrlUnescapeA
        926  175 00007280 UrlUnescapeW
        276  176 0001DA20 WhichPlatform
        927  177 0001A900 wnsprintfA
        928  178 0001A950 wnsprintfW
        929  179 0001A9B0 wvnsprintfA
        930  17A 0001A9F0 wvnsprintfW
          3      000137D0 [NONAME]
          4      000021B0 [NONAME]
          5      000138D0 [NONAME]
          6      00001C80 [NONAME]
         11      000206A0 [NONAME]
         13               [NONAME] (forwarded to SHUNIMPL.#429)
         17      00007050 [NONAME]
         18      000054D0 [NONAME]
         19      000079C0 [NONAME]
         20      00005600 [NONAME]
         21      00006B40 [NONAME]
         22      000065E0 [NONAME]
         23      00019CF0 [NONAME]
         24      000028B0 [NONAME]
         25               [NONAME] (forwarded to user32.IsCharAlphaW)
         26               [NONAME] (forwarded to user32.IsCharUpperW)
         27               [NONAME] (forwarded to user32.IsCharLowerW)
         28               [NONAME] (forwarded to user32.IsCharAlphaNumericW)
         30      0000E9B0 [NONAME]
         31      0000EA10 [NONAME]
