
Dump of file C:\Windows\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    F033F114 time date stamp
        0.00 version
           1 ordinal base
         289 number of functions
         289 number of names

    ordinal hint RVA      name

        119   76 00029120 DnsQueryConfigDword
        120   77 0000B390 DnsQueryEx
        121   78 00055390 DnsQueryExA
        122   79 000553E0 DnsQueryExUTF8
        123   7A 00055430 DnsQueryExW
        124   7B 000554A0 DnsQuery_A
        125   7C 000252B0 DnsQuery_UTF8
        126   7D 00007C40 DnsQuery_W
        127   7E 0004F210 DnsRecordBuild_UTF8
        128   7F 0004F220 DnsRecordBuild_W
        129   80 0004F230 DnsRecordCompare
        130   81 0004F240 DnsRecordCopyEx
        131   82 0004F250 DnsRecordListFree
        132   83 0002B0E0 DnsRecordListUnmapV4MappedAAAAInPlace
        133   84 0004F2C0 DnsRecordSetCompare
        134   85 0004F2E0 DnsRecordSetCopyEx
        135   86 0004F300 DnsRecordSetDetach
        136   87 0004F310 DnsRecordStringForType
        137   88 0004F340 DnsRecordStringForWritableType
        138   89 0004F380 DnsRecordTypeForName
        139   8A 0006AC60 DnsRegisterLocal
        140   8B 0005C370 DnsReleaseContextHandle
        141   8C 00060AD0 DnsRemoveNrptRule
        142   8D 0004F390 DnsRemoveRegistrations
        143   8E 0005C3C0 DnsReplaceRecordSetA
        144   8F 0005C3F0 DnsReplaceRecordSetUTF8
        145   90 0005C420 DnsReplaceRecordSetW
        146   91 0004E810 DnsResetQueryRetryTimeouts
        147   92 0002A4F0 DnsResolverOp
        148   93 00055500 DnsResolverQueryHvsi
        149   94 000512C0 DnsScreenLocalAddrsForRegistration
        150   95 00069890 DnsServiceBrowse
        151   96 00069B40 DnsServiceBrowseCancel
        152   97 00069BF0 DnsServiceConstructInstance
        153   98 0006A040 DnsServiceCopyInstance
        154   99 0006A0A0 DnsServiceDeRegister
        155   9A 0006A1C0 DnsServiceFreeInstance
        156   9B 0006A260 DnsServiceRegister
        157   9C 0006A440 DnsServiceRegisterCancel
        158   9D 0006A4F0 DnsServiceResolve
        159   9E 0006A5C0 DnsServiceResolveCancel
        160   9F 0004B5E0 DnsSetConfigDword
        161   A0 0004B630 DnsSetConfigValue
        162   A1 0004E8B0 DnsSetInterfaceSettings
        163   A2 00060E00 DnsSetNrptRule
        164   A3 00060E50 DnsSetNrptRules
        165   A4 0004EC30 DnsSetQueryRetryTimeouts
        166   A5 0004ED90 DnsSetSettings
        167   A6 00006260 DnsStartMulticastQuery
        168   A7 0004F3A0 DnsStatusString
        169   A8 000068A0 DnsStopMulticastQuery
        170   A9 0004F3E0 DnsStringCopyAllocateEx
