
Dump of file C:\Windows\System32\odbc32.dll

File Type: DLL

  Section contains the following exports for ODBC32.dll

    00000000 characteristics
    AD33D426 time date stamp
        0.00 version
           1 ordinal base
         301 number of functions
         176 number of names

    ordinal hint RVA      name

         73   92 0003D3C0 SQLSetDescField
        273   93 0003D3C0 SQLSetDescFieldA
        173   94 0003DB90 SQLSetDescFieldW
         74   95 0003DD20 SQLSetDescRec
         75   96 0000A910 SQLSetEnvAttr
         22   97 0004CC60 SQLSetParam
         68   98 00030660 SQLSetPos
         69   99 00039D40 SQLSetScrollOptions
         76   9A 000480B0 SQLSetStmtAttr
        276   9B 000480B0 SQLSetStmtAttrA
        176   9C 000482A0 SQLSetStmtAttrW
         51   9D 000483F0 SQLSetStmtOption
         52   9E 00063890 SQLSpecialColumns
        252   9F 00063890 SQLSpecialColumnsA
        152   A0 00064240 SQLSpecialColumnsW
         53   A1 00064540 SQLStatistics
        253   A2 00064540 SQLStatisticsA
        153   A3 00064E30 SQLStatisticsW
         70   A4 00065100 SQLTablePrivileges
        270   A5 00065100 SQLTablePrivilegesA
        170   A6 000658D0 SQLTablePrivilegesW
         54   A7 00065B50 SQLTables
        254   A8 00065B50 SQLTablesA
        154   A9 00066470 SQLTablesW
         23   AA 0004EF70 SQLTransact
         97   AB 00041D30 SearchStatusCode
         98   AC 00042390 VFreeErrors
         99   AD 0000C280 VRetrieveDriverErrorsRowCol
        100   AE 00042460 ValidateErrorQueue
        101   AF 000ABAE0 g_hHeapMalloc

  Summary

        3000 .data
        1000 .didat
        3000 .pdata
       36000 .rdata
        2000 .reloc
        1000 .rsrc
        4000 .sdbid
       74000 .text
