
Dump of file C:\Windows\System32\libomp140.x86_64.dll

File Type: DLL

  Section contains the following exports for libomp140.x86_64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
         100 ordinal base
        2408 number of functions
         690 number of names

    ordinal hint RVA      name

        161   6D 000031E3 __kmp_reap_worker
        162   6E 00003193 __kmp_release_64
        163   6F 000023C9 __kmp_wait_4
        164   70 000046E2 __kmp_wait_64
        165   71 00003C29 __kmpc_alloc
       2247   72 00003931 __kmpc_atomic_1
       2251   73 00001A69 __kmpc_atomic_10
       2252   74 00001F28 __kmpc_atomic_16
       2248   75 000037AB __kmpc_atomic_2
       2253   76 000050B0 __kmpc_atomic_20
       2254   77 00003E18 __kmpc_atomic_32
        100   78 00005844 __kmpc_atomic_4
        101   79 000030FD __kmpc_atomic_8
       2093   7A 00002B35 __kmpc_atomic_cmplx10_add
       2391   7B 00003DAF __kmpc_atomic_cmplx10_add_cpt
       2096   7C 000045D4 __kmpc_atomic_cmplx10_div
       2394   7D 00002E91 __kmpc_atomic_cmplx10_div_cpt
       2463   7E 00003BD9 __kmpc_atomic_cmplx10_div_cpt_rev
       2507   7F 000015D2 __kmpc_atomic_cmplx10_div_rev
       2095   80 000030F3 __kmpc_atomic_cmplx10_mul
       2393   81 00003A71 __kmpc_atomic_cmplx10_mul_cpt
       2275   82 00003C65 __kmpc_atomic_cmplx10_rd
       2094   83 00004A52 __kmpc_atomic_cmplx10_sub
       2392   84 00002E0A __kmpc_atomic_cmplx10_sub_cpt
       2462   85 000043A4 __kmpc_atomic_cmplx10_sub_cpt_rev
       2506   86 000013B1 __kmpc_atomic_cmplx10_sub_rev
       2422   87 00004CAA __kmpc_atomic_cmplx10_swp
       2289   88 00005B64 __kmpc_atomic_cmplx10_wr
       2085   89 00005BF0 __kmpc_atomic_cmplx4_add
       2231   8A 0000188E __kmpc_atomic_cmplx4_add_cmplx8
       2383   8B 000049D5 __kmpc_atomic_cmplx4_add_cpt
       2088   8C 00004D86 __kmpc_atomic_cmplx4_div
       2234   8D 00005BA0 __kmpc_atomic_cmplx4_div_cmplx8
       2386   8E 000026F8 __kmpc_atomic_cmplx4_div_cpt
       2459   8F 00003E6D __kmpc_atomic_cmplx4_div_cpt_rev
       2503   90 00001253 __kmpc_atomic_cmplx4_div_rev
       2087   91 00005939 __kmpc_atomic_cmplx4_mul
       2233   92 000027B6 __kmpc_atomic_cmplx4_mul_cmplx8
       2385   93 000051E1 __kmpc_atomic_cmplx4_mul_cpt
       2273   94 00005B55 __kmpc_atomic_cmplx4_rd
       2086   95 00003AB2 __kmpc_atomic_cmplx4_sub
       2232   96 00003AFD __kmpc_atomic_cmplx4_sub_cmplx8
       2384   97 00005AA1 __kmpc_atomic_cmplx4_sub_cpt
       2458   98 00002121 __kmpc_atomic_cmplx4_sub_cpt_rev
       2502   99 0000374C __kmpc_atomic_cmplx4_sub_rev
       2420   9A 00005E11 __kmpc_atomic_cmplx4_swp
       2287   9B 00002C16 __kmpc_atomic_cmplx4_wr
       2089   9C 000036AC __kmpc_atomic_cmplx8_add
       2387   9D 00002D10 __kmpc_atomic_cmplx8_add_cpt
       2092   9E 000044DF __kmpc_atomic_cmplx8_div
       2390   9F 00003FDA __kmpc_atomic_cmplx8_div_cpt
       2461   A0 000018F7 __kmpc_atomic_cmplx8_div_cpt_rev
       2505   A1 000012E9 __kmpc_atomic_cmplx8_div_rev
       2091   A2 00002F59 __kmpc_atomic_cmplx8_mul
       2389   A3 00003409 __kmpc_atomic_cmplx8_mul_cpt
       2274   A4 00005D5D __kmpc_atomic_cmplx8_rd
       2090   A5 0000439F __kmpc_atomic_cmplx8_sub
       2388   A6 00003EEF __kmpc_atomic_cmplx8_sub_cpt
       2460   A7 000029A0 __kmpc_atomic_cmplx8_sub_cpt_rev
       2504   A8 00005957 __kmpc_atomic_cmplx8_sub_rev
       2421   A9 00005DC6 __kmpc_atomic_cmplx8_swp
       2288   AA 00001519 __kmpc_atomic_cmplx8_wr
       2411   AB 000019F1 __kmpc_atomic_end
       2001   AC 00002031 __kmpc_atomic_fixed1_add
       2293   AD 000049DF __kmpc_atomic_fixed1_add_cpt
       2002   AE 00005952 __kmpc_atomic_fixed1_andb
       2294   AF 00002770 __kmpc_atomic_fixed1_andb_cpt
       2053   B0 0000490D __kmpc_atomic_fixed1_andl
       2345   B1 00001947 __kmpc_atomic_fixed1_andl_cpt
       2003   B2 0000395E __kmpc_atomic_fixed1_div
       2295   B3 00001910 __kmpc_atomic_fixed1_div_cpt
       2427   B4 00004075 __kmpc_atomic_fixed1_div_cpt_rev
       2170   B5 000051C8 __kmpc_atomic_fixed1_div_float8
       2471   B6 00003AD5 __kmpc_atomic_fixed1_div_rev
       2077   B7 000041B5 __kmpc_atomic_fixed1_eqv
       2371   B8 0000227F __kmpc_atomic_fixed1_eqv_cpt
       2061   B9 000029F0 __kmpc_atomic_fixed1_max
       2353   BA 00001F41 __kmpc_atomic_fixed1_max_cpt
       2062   BB 00003F49 __kmpc_atomic_fixed1_min
       2354   BC 000055E2 __kmpc_atomic_fixed1_min_cpt
       2005   BD 00004552 __kmpc_atomic_fixed1_mul
       2297   BE 000057EA __kmpc_atomic_fixed1_mul_cpt
       2169   BF 000047A0 __kmpc_atomic_fixed1_mul_float8
       2073   C0 000035E4 __kmpc_atomic_fixed1_neqv
       2367   C1 000045BB __kmpc_atomic_fixed1_neqv_cpt
       2006   C2 00003E5E __kmpc_atomic_fixed1_orb
       2298   C3 00002E55 __kmpc_atomic_fixed1_orb_cpt
       2054   C4 000055E7 __kmpc_atomic_fixed1_orl
       2346   C5 00004A25 __kmpc_atomic_fixed1_orl_cpt
       2265   C6 0000528B __kmpc_atomic_fixed1_rd
       2007   C7 00005BD7 __kmpc_atomic_fixed1_shl
       2299   C8 000010A5 __kmpc_atomic_fixed1_shl_cpt
       2429   C9 00002F18 __kmpc_atomic_fixed1_shl_cpt_rev
       2473   CA 00005FA6 __kmpc_atomic_fixed1_shl_rev
       2008   CB 0000510F __kmpc_atomic_fixed1_shr
       2300   CC 00001E38 __kmpc_atomic_fixed1_shr_cpt
       2430   CD 000028B0 __kmpc_atomic_fixed1_shr_cpt_rev
       2474   CE 00001FDC __kmpc_atomic_fixed1_shr_rev
       2010   CF 0000474B __kmpc_atomic_fixed1_sub
       2302   D0 00003A49 __kmpc_atomic_fixed1_sub_cpt
       2426   D1 00001555 __kmpc_atomic_fixed1_sub_cpt_rev
       2470   D2 00004B83 __kmpc_atomic_fixed1_sub_rev
       2412   D3 00002577 __kmpc_atomic_fixed1_swp
       2279   D4 000053F8 __kmpc_atomic_fixed1_wr
       2011   D5 000051D7 __kmpc_atomic_fixed1_xor
       2303   D6 00004458 __kmpc_atomic_fixed1_xor_cpt
       2004   D7 0000247D __kmpc_atomic_fixed1u_div
       2296   D8 00004A98 __kmpc_atomic_fixed1u_div_cpt
       2428   D9 0000419C __kmpc_atomic_fixed1u_div_cpt_rev
       2472   DA 00002B7B __kmpc_atomic_fixed1u_div_rev
       2009   DB 00001307 __kmpc_atomic_fixed1u_shr
       2301   DC 00001FCD __kmpc_atomic_fixed1u_shr_cpt
       2431   DD 00002379 __kmpc_atomic_fixed1u_shr_cpt_rev
       2475   DE 00002C66 __kmpc_atomic_fixed1u_shr_rev
       2012   DF 0000516E __kmpc_atomic_fixed2_add
       2304   E0 00002C6B __kmpc_atomic_fixed2_add_cpt
       2013   E1 00001852 __kmpc_atomic_fixed2_andb
       2305   E2 00001622 __kmpc_atomic_fixed2_andb_cpt
       2055   E3 000062DA __kmpc_atomic_fixed2_andl
       2347   E4 00003620 __kmpc_atomic_fixed2_andl_cpt
       2014   E5 00006226 __kmpc_atomic_fixed2_div
       2306   E6 00004462 __kmpc_atomic_fixed2_div_cpt
       2433   E7 00001C85 __kmpc_atomic_fixed2_div_cpt_rev
       2175   E8 00002DA6 __kmpc_atomic_fixed2_div_float8
       2477   E9 0000398B __kmpc_atomic_fixed2_div_rev
       2078   EA 000047FF __kmpc_atomic_fixed2_eqv
       2372   EB 0000494E __kmpc_atomic_fixed2_eqv_cpt
       2063   EC 00005925 __kmpc_atomic_fixed2_max
       2355   ED 00003B52 __kmpc_atomic_fixed2_max_cpt
       2064   EE 000052A4 __kmpc_atomic_fixed2_min
       2356   EF 00002BAD __kmpc_atomic_fixed2_min_cpt
       2016   F0 0000289C __kmpc_atomic_fixed2_mul
       2308   F1 000011EF __kmpc_atomic_fixed2_mul_cpt
       2174   F2 000047C8 __kmpc_atomic_fixed2_mul_float8
       2074   F3 000010C8 __kmpc_atomic_fixed2_neqv
       2368   F4 0000631B __kmpc_atomic_fixed2_neqv_cpt
       2017   F5 00001E5B __kmpc_atomic_fixed2_orb
       2309   F6 000052FE __kmpc_atomic_fixed2_orb_cpt
       2056   F7 00002F90 __kmpc_atomic_fixed2_orl
       2348   F8 00005D44 __kmpc_atomic_fixed2_orl_cpt
       2266   F9 00003F44 __kmpc_atomic_fixed2_rd
       2018   FA 00005290 __kmpc_atomic_fixed2_shl
       2310   FB 000051FF __kmpc_atomic_fixed2_shl_cpt
       2435   FC 000034AE __kmpc_atomic_fixed2_shl_cpt_rev
       2479   FD 00002A68 __kmpc_atomic_fixed2_shl_rev
       2019   FE 00005CF4 __kmpc_atomic_fixed2_shr
       2311   FF 000031E8 __kmpc_atomic_fixed2_shr_cpt
       2436  100 00001E10 __kmpc_atomic_fixed2_shr_cpt_rev
       2480  101 0000349A __kmpc_atomic_fixed2_shr_rev
       2021  102 0000597A __kmpc_atomic_fixed2_sub
       2313  103 00004C7D __kmpc_atomic_fixed2_sub_cpt
       2432  104 000019C9 __kmpc_atomic_fixed2_sub_cpt_rev
       2476  105 00004A8E __kmpc_atomic_fixed2_sub_rev
       2413  106 00003AF8 __kmpc_atomic_fixed2_swp
       2280  107 0000531C __kmpc_atomic_fixed2_wr
       2022  108 00004EB7 __kmpc_atomic_fixed2_xor
       2314  109 00003440 __kmpc_atomic_fixed2_xor_cpt
       2015  10A 00004E58 __kmpc_atomic_fixed2u_div
       2307  10B 00002545 __kmpc_atomic_fixed2u_div_cpt
       2434  10C 00002FF9 __kmpc_atomic_fixed2u_div_cpt_rev
       2478  10D 00003210 __kmpc_atomic_fixed2u_div_rev
       2020  10E 00005646 __kmpc_atomic_fixed2u_shr
       2312  10F 00004444 __kmpc_atomic_fixed2u_shr_cpt
       2437  110 000043D6 __kmpc_atomic_fixed2u_shr_cpt_rev
       2481  111 00001703 __kmpc_atomic_fixed2u_shr_rev
        102  112 00003481 __kmpc_atomic_fixed4_add
       2315  113 000022D9 __kmpc_atomic_fixed4_add_cpt
       2031  114 0000457F __kmpc_atomic_fixed4_andb
       2323  115 00003B70 __kmpc_atomic_fixed4_andb_cpt
       2057  116 000049F8 __kmpc_atomic_fixed4_andl
       2349  117 00003A5D __kmpc_atomic_fixed4_andl_cpt
       2032  118 00003FEE __kmpc_atomic_fixed4_div
       2324  119 00001BEF __kmpc_atomic_fixed4_div_cpt
       2439  11A 00003ACB __kmpc_atomic_fixed4_div_cpt_rev
       2180  11B 00001E2E __kmpc_atomic_fixed4_div_float8
       2483  11C 00004624 __kmpc_atomic_fixed4_div_rev
       2079  11D 00002ABD __kmpc_atomic_fixed4_eqv
       2373  11E 00002BC6 __kmpc_atomic_fixed4_eqv_cpt
       2065  11F 00002A1D __kmpc_atomic_fixed4_max
       2357  120 00005F10 __kmpc_atomic_fixed4_max_cpt
       2066  121 00001AFF __kmpc_atomic_fixed4_min
       2358  122 00001B9F __kmpc_atomic_fixed4_min_cpt
       2034  123 00004106 __kmpc_atomic_fixed4_mul
       2326  124 00002F13 __kmpc_atomic_fixed4_mul_cpt
       2179  125 00002FBD __kmpc_atomic_fixed4_mul_float8
       2075  126 00001DC0 __kmpc_atomic_fixed4_neqv
       2369  127 000037A1 __kmpc_atomic_fixed4_neqv_cpt
       2035  128 00001F32 __kmpc_atomic_fixed4_orb
       2327  129 00004BB0 __kmpc_atomic_fixed4_orb_cpt
       2058  12A 00001037 __kmpc_atomic_fixed4_orl
       2350  12B 00004818 __kmpc_atomic_fixed4_orl_cpt
       2267  12C 0000583F __kmpc_atomic_fixed4_rd
       2036  12D 00001E6F __kmpc_atomic_fixed4_shl
       2328  12E 00004AA2 __kmpc_atomic_fixed4_shl_cpt
       2441  12F 00003C83 __kmpc_atomic_fixed4_shl_cpt_rev
       2485  130 00005BE1 __kmpc_atomic_fixed4_shl_rev
       2037  131 00005119 __kmpc_atomic_fixed4_shr
