
Dump of file C:\Windows\System32\libomp140.x86_64.dll

File Type: DLL

  Section contains the following exports for libomp140.x86_64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
         100 ordinal base
        2408 number of functions
         690 number of names

    ordinal hint RVA      name

        166  1BF 00004F07 __kmpc_destroy_allocator
        176  1C0 00002900 __kmpc_destroy_lock
        181  1C1 00001771 __kmpc_destroy_nest_lock
        114  1C2 00001AEB __kmpc_dispatch_fini_4
        232  1C3 0000379C __kmpc_dispatch_fini_4u
        115  1C4 00002225 __kmpc_dispatch_fini_8
        228  1C5 00002CD4 __kmpc_dispatch_fini_8u
        116  1C6 000033CD __kmpc_dispatch_init_4
        230  1C7 00003C5B __kmpc_dispatch_init_4u
        117  1C8 0000428C __kmpc_dispatch_init_8
        226  1C9 00003CEC __kmpc_dispatch_init_8u
        118  1CA 000012B7 __kmpc_dispatch_next_4
        231  1CB 00005781 __kmpc_dispatch_next_4u
        119  1CC 0000493F __kmpc_dispatch_next_8
        227  1CD 00004B47 __kmpc_dispatch_next_8u
        251  1CE 00002F9F __kmpc_dist_dispatch_init_4
        252  1CF 00004A7A __kmpc_dist_dispatch_init_4u
        253  1D0 00005529 __kmpc_dist_dispatch_init_8
        254  1D1 00002851 __kmpc_dist_dispatch_init_8u
        247  1D2 000052F9 __kmpc_dist_for_static_init_4
        248  1D3 000034F9 __kmpc_dist_for_static_init_4u
        249  1D4 0000504C __kmpc_dist_for_static_init_8
        250  1D5 0000482C __kmpc_dist_for_static_init_8u
        264  1D6 00005281 __kmpc_doacross_fini
        261  1D7 00005DB2 __kmpc_doacross_init
        263  1D8 00002739 __kmpc_doacross_post
        262  1D9 00005DFD __kmpc_doacross_wait
        120  1DA 00005EBB __kmpc_end
        121  1DB 000056AF __kmpc_end_barrier_master
        123  1DC 000039EF __kmpc_end_critical
        124  1DD 000021F8 __kmpc_end_master
        125  1DE 00001AAA __kmpc_end_ordered
        190  1DF 000022A7 __kmpc_end_reduce
        188  1E0 00002F81 __kmpc_end_reduce_nowait
        282  1E1 000049E9 __kmpc_end_sections
        126  1E2 00001A28 __kmpc_end_serialized_parallel
        127  1E3 00005263 __kmpc_end_single
        239  1E4 00002608 __kmpc_end_taskgroup
        130  1E5 00001E29 __kmpc_flush
        135  1E6 00006136 __kmpc_for_static_fini
        136  1E7 00002C11 __kmpc_for_static_init_4
        229  1E8 00001249 __kmpc_for_static_init_4u
        137  1E9 00005FB0 __kmpc_for_static_init_8
        225  1EA 00003CF6 __kmpc_for_static_init_8u
        138  1EB 000060EB __kmpc_fork_call
        241  1EC 00001EBF __kmpc_fork_teams
        167  1ED 00003A3F __kmpc_free
        168  1EE 000013ED __kmpc_get_default_allocator
        234  1EF 0000191A __kmpc_get_parent_taskid
        271  1F0 0000266C __kmpc_get_target_offload
        233  1F1 00003652 __kmpc_get_taskid
        140  1F2 00002ECD __kmpc_global_num_threads
        141  1F3 00001F0A __kmpc_global_thread_num
        142  1F4 00005029 __kmpc_in_parallel
        169  1F5 00004C46 __kmpc_init_allocator
        175  1F6 000041B0 __kmpc_init_lock
        180  1F7 00002437 __kmpc_init_nest_lock
        143  1F8 000041D8 __kmpc_invoke_task_func
        144  1F9 00001DC5 __kmpc_master
        281  1FA 0000140B __kmpc_next_section
        145  1FB 00001163 __kmpc_ok_to_fork
        272  1FC 00001A32 __kmpc_omp_reg_task_with_affinity
        192  1FD 00001CCB __kmpc_omp_task
        191  1FE 0000327E __kmpc_omp_task_alloc
        196  1FF 0000595C __kmpc_omp_task_begin_if0
        197  200 00004007 __kmpc_omp_task_complete_if0
        198  201 00002E4B __kmpc_omp_task_parts
        242  202 000014AB __kmpc_omp_task_with_deps
        193  203 00003BA7 __kmpc_omp_taskwait
        235  204 00002D7E __kmpc_omp_taskyield
        243  205 0000275C __kmpc_omp_wait_deps
        146  206 0000458E __kmpc_ordered
        273  207 000015E1 __kmpc_pause_resource
        147  208 00002518 __kmpc_pop_num_threads
        259  209 00002C20 __kmpc_proxy_task_completed
        260  20A 00001640 __kmpc_proxy_task_completed_ooo
        240  20B 000050E7 __kmpc_push_num_teams
        148  20C 00004EE4 __kmpc_push_num_threads
        237  20D 00002CDE __kmpc_push_proc_bind
        189  20E 000033A0 __kmpc_reduce
        187  20F 0000300D __kmpc_reduce_nowait
        280  210 00002EDC __kmpc_sections_init
        150  211 000024D7 __kmpc_serialized_parallel
        170  212 000020AE __kmpc_set_default_allocator
        177  213 00004F57 __kmpc_set_lock
        182  214 000036A2 __kmpc_set_nest_lock
        151  215 0000339B __kmpc_single
        276  216 00005A15 __kmpc_task_allow_completion_event
        269  217 00005F74 __kmpc_task_reduction_get_th_data
        268  218 0000589E __kmpc_task_reduction_init
        275  219 00005498 __kmpc_task_reduction_modifier_fini
        274  21A 000040AC __kmpc_task_reduction_modifier_init
        238  21B 00003C6F __kmpc_taskgroup
        266  21C 00003751 __kmpc_taskloop
        277  21D 0000367A __kmpc_taskred_init
        278  21E 000014DD __kmpc_taskred_modifier_init
        255  21F 00002018 __kmpc_team_static_init_4
        256  220 0000628A __kmpc_team_static_init_4u
        257  221 00005164 __kmpc_team_static_init_8
        258  222 000037B5 __kmpc_team_static_init_8u
        179  223 000043CC __kmpc_test_lock
        184  224 00001D20 __kmpc_test_nest_lock
        156  225 00004390 __kmpc_threadprivate
        157  226 0000484A __kmpc_threadprivate_cached
        158  227 000054DE __kmpc_threadprivate_register
        159  228 00004A1B __kmpc_threadprivate_register_vec
        178  229 00005D3A __kmpc_unset_lock
        183  22A 000038F5 __kmpc_unset_nest_lock
        747  22B 0000225C kmp_aligned_malloc
        725  22C 00002E05 kmp_calloc
        853  22D 00001857 kmp_create_affinity_mask
        854  22E 00002F7C kmp_destroy_affinity_mask
        726  22F 00002AD6 kmp_free
        851  230 00003D6E kmp_get_affinity
        859  231 00002801 kmp_get_affinity_mask_proc
        852  232 000039CC kmp_get_affinity_max_proc
        727  233 000049A3 kmp_get_blocktime
        868  234 000013CA kmp_get_cancellation_status
        728  235 0000602D kmp_get_library
        743  236 00004E03 kmp_get_num_known_threads
        729  237 00003369 kmp_get_stacksize
        745  238 00004A0C kmp_get_stacksize_s
        730  239 00003922 kmp_malloc
        732  23A 00001618 kmp_realloc
        850  23B 00005533 kmp_set_affinity
        855  23C 00001893 kmp_set_affinity_mask_proc
        734  23D 000061B3 kmp_set_blocktime
        746  23E 00001D70 kmp_set_defaults
        890  23F 00003CB5 kmp_set_disp_num_buffers
        735  240 0000623F kmp_set_library
        737  241 000029F5 kmp_set_library_serial
        738  242 00003927 kmp_set_library_throughput
        739  243 000011C7 kmp_set_library_turnaround
        741  244 00004EF8 kmp_set_stacksize
        744  245 00001DCF kmp_set_stacksize_s
        780  246 00005A97 kmp_set_warnings_off
        779  247 00003BD4 kmp_set_warnings_on
        857  248 00003DF0 kmp_unset_affinity_mask_proc
        265  249 00005691 kmpc_aligned_malloc
        200  24A 00001744 kmpc_calloc
        201  24B 00004BDD kmpc_free
        860  24C 00001410 kmpc_get_affinity_mask_proc
        206  24D 00002ACC kmpc_malloc
        209  24E 00002923 kmpc_realloc
        856  24F 00002D2E kmpc_set_affinity_mask_proc
        211  250 000045F7 kmpc_set_blocktime
        224  251 00001EF6 kmpc_set_defaults
        267  252 00004F7A kmpc_set_disp_num_buffers
        212  253 00004782 kmpc_set_library
        216  254 00003DA0 kmpc_set_stacksize
        222  255 0000509C kmpc_set_stacksize_s
        858  256 000041F1 kmpc_unset_affinity_mask_proc
        894  257 000022E3 omp_alloc
        751  258 000033AA omp_capture_affinity
        171  259 00138438 omp_cgroup_mem_alloc
        173  25A 00138420 omp_const_mem_alloc
        174  25B 001383F0 omp_const_mem_space
        891  25C 00002086 omp_control_tool
        185  25D 00138410 omp_default_mem_alloc
        186  25E 001383E0 omp_default_mem_space
        898  25F 0000178F omp_destroy_allocator
        700  260 000036D4 omp_destroy_lock
        701  261 00002B53 omp_destroy_nest_lock
        750  262 000040C0 omp_display_affinity
        895  263 00001014 omp_free
        759  264 00005F1F omp_fulfill_event
        789  265 000011A4 omp_get_active_level
        749  266 000038D2 omp_get_affinity_format
        791  267 0000291E omp_get_ancestor_thread_num
        867  268 00004F98 omp_get_cancellation
        893  269 0000155A omp_get_default_allocator
        880  26A 00005E5C omp_get_default_device
        896  26B 000048A4 omp_get_device_num
        702  26C 0000205E omp_get_dynamic
        882  26D 00005272 omp_get_initial_device
        790  26E 0000124E omp_get_level
        794  26F 000032EC omp_get_max_active_levels
        872  270 000047CD omp_get_max_task_priority
        703  271 00005B8C omp_get_max_threads
        704  272 00003D19 omp_get_nested
        881  273 0000114A omp_get_num_devices
        873  274 00004E85 omp_get_num_places
        705  275 00001B31 omp_get_num_procs
        865  276 00001E1F omp_get_num_teams
        706  277 0000233D omp_get_num_threads
        877  278 00002027 omp_get_partition_num_places
        878  279 00002BB2 omp_get_partition_place_nums
        876  27A 00006159 omp_get_place_num
        874  27B 000024BE omp_get_place_num_procs
        875  27C 000057A9 omp_get_place_proc_ids
        862  27D 000039DB omp_get_proc_bind
        796  27E 000011E0 omp_get_schedule
        758  27F 000038C3 omp_get_supported_active_levels
        866  280 00001D93 omp_get_team_num
        792  281 000052F4 omp_get_team_size
        793  282 000030F8 omp_get_thread_limit
        707  283 000012E4 omp_get_thread_num
        708  284 00004CF5 omp_get_wtick
        709  285 00005D71 omp_get_wtime
        194  286 00138428 omp_high_bw_mem_alloc
        195  287 001383F8 omp_high_bw_mem_space
        861  288 00006131 omp_in_final
        710  289 00001695 omp_in_parallel
        897  28A 000045E8 omp_init_allocator
        711  28B 0000493A omp_init_lock
        870  28C 00004ACA omp_init_lock_with_hint
        712  28D 00005C5E omp_init_nest_lock
        871  28E 000019A1 omp_init_nest_lock_with_hint
        869  28F 000058DA omp_is_initial_device
        199  290 00138418 omp_large_cap_mem_alloc
        202  291 001383E8 omp_large_cap_mem_space
        203  292 00138430 omp_low_lat_mem_alloc
        204  293 00138400 omp_low_lat_mem_space
        205  294 00138408 omp_null_allocator
        756  295 00002117 omp_pause_resource
        757  296 000054E8 omp_pause_resource_all
        207  297 00138440 omp_pteam_mem_alloc
        748  298 00004791 omp_set_affinity_format
        892  299 00003F80 omp_set_default_allocator
        879  29A 0000568C omp_set_default_device
        713  29B 00001280 omp_set_dynamic
        714  29C 000041A6 omp_set_lock
        795  29D 00001636 omp_set_max_active_levels
        715  29E 00003170 omp_set_nest_lock
        716  29F 00003C88 omp_set_nested
        717  2A0 000021C6 omp_set_num_threads
        797  2A1 000010B4 omp_set_schedule
        718  2A2 00003D14 omp_test_lock
        719  2A3 00005088 omp_test_nest_lock
        208  2A4 00138448 omp_thread_mem_alloc
        720  2A5 00004F20 omp_unset_lock
        721  2A6 000021DA omp_unset_nest_lock
        755  2A7 0000481D ompc_capture_affinity
        754  2A8 00001D0C ompc_display_affinity
        753  2A9 00002301 ompc_get_affinity_format
        800  2AA 000026D0 ompc_get_ancestor_thread_num
        801  2AB 000062D5 ompc_get_team_size
        752  2AC 00003F7B ompc_set_affinity_format
        722  2AD 00001DB1 ompc_set_dynamic
        798  2AE 00001901 ompc_set_max_active_levels
        723  2AF 00002DD3 ompc_set_nested
        724  2B0 0000302B ompc_set_num_threads
        799  2B1 00004313 ompc_set_schedule

  Summary

        1000 .00cfg
       11000 .data
        2000 .idata
        E000 .pdata
       4A000 .rdata
        3000 .reloc
        1000 .rsrc
      132000 .text
        1000 _RDATA
