
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

         91      0021B660 [NONAME]
         93               [NONAME] (forwarded to shcore.Win32CreateDirectory)
         94      001B4EC0 [NONAME]
         95      0006CE00 [NONAME]
         96               [NONAME] (forwarded to SHUNIMPL.#43)
         97      0010EB40 [NONAME]
         99      0005F360 [NONAME]
        101               [NONAME] (forwarded to SHUNIMPL.#1)
        104               [NONAME] (forwarded to SHUNIMPL.#2)
        105               [NONAME] (forwarded to SHUNIMPL.#3)
        106               [NONAME] (forwarded to SHUNIMPL.#4)
        107               [NONAME] (forwarded to SHUNIMPL.#5)
        108               [NONAME] (forwarded to SHUNIMPL.#6)
        109               [NONAME] (forwarded to SHUNIMPL.#7)
        110               [NONAME] (forwarded to SHUNIMPL.#8)
        111               [NONAME] (forwarded to SHUNIMPL.#9)
        112               [NONAME] (forwarded to SHUNIMPL.#10)
        113               [NONAME] (forwarded to SHUNIMPL.#11)
        114               [NONAME] (forwarded to SHUNIMPL.#12)
        115               [NONAME] (forwarded to SHUNIMPL.#13)
        116               [NONAME] (forwarded to SHUNIMPL.#14)
        117               [NONAME] (forwarded to SHUNIMPL.#15)
        118               [NONAME] (forwarded to SHUNIMPL.#16)
        120               [NONAME] (forwarded to SHUNIMPL.#17)
        121               [NONAME] (forwarded to SHUNIMPL.#44)
        122               [NONAME] (forwarded to SHUNIMPL.#45)
        123               [NONAME] (forwarded to SHUNIMPL.#46)
        124               [NONAME] (forwarded to SHUNIMPL.#18)
        126               [NONAME] (forwarded to SHUNIMPL.#47)
        127               [NONAME] (forwarded to SHUNIMPL.#371)
        128      00070ED0 [NONAME]
        130               [NONAME] (forwarded to SHUNIMPL.#48)
        140               [NONAME] (forwarded to SHUNIMPL.#19)
        141               [NONAME] (forwarded to SHUNIMPL.#20)
        142               [NONAME] (forwarded to SHUNIMPL.#21)
        143               [NONAME] (forwarded to SHUNIMPL.#22)
        144               [NONAME] (forwarded to SHUNIMPL.#23)
        145               [NONAME] (forwarded to shlwapi.PathFindOnPathW)
        146               [NONAME] (forwarded to SHUNIMPL.#49)
        148               [NONAME] (forwarded to SHUNIMPL.#50)
        151               [NONAME] (forwarded to SHUNIMPL.#51)
        156      000A7910 [NONAME]
        158               [NONAME] (forwarded to SHUNIMPL.#389)
        159               [NONAME] (forwarded to shlwapi.PathIsDirectoryW)
        160      00275460 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#214)
        163               [NONAME] (forwarded to SHUNIMPL.#52)
        166               [NONAME] (forwarded to SHUNIMPL.#53)
        172      0022D1F0 [NONAME]
        175      000C2760 [NONAME]
        177               [NONAME] (forwarded to SHUNIMPL.#54)
        181      000C2310 [NONAME]
        184      0010EB40 [NONAME]
        185               [NONAME] (forwarded to SHUNIMPL.#390)
        186      00274140 [NONAME]
        187               [NONAME] (forwarded to SHUNIMPL.#235)
        188      000B81C0 [NONAME]
        194      0010BC70 [NONAME]
        197               [NONAME] (forwarded to SHUNIMPL.#55)
        198               [NONAME] (forwarded to SHUNIMPL.#56)
        200      000D3D00 [NONAME]
        201      000D43E0 [NONAME]
        202               [NONAME] (forwarded to SHUNIMPL.#57)
        203      00217F30 [NONAME]
        204      0021C980 [NONAME]
        205      001DACF0 [NONAME]
        206      000D59B0 [NONAME]
        209      00219D40 [NONAME]
        210      0021A580 [NONAME]
        211      000DDC20 [NONAME]
        212      001DA9C0 [NONAME]
        213      001DAE30 [NONAME]
        214      001DAF50 [NONAME]
        215      002A9E00 [NONAME]
        216               [NONAME] (forwarded to SHUNIMPL.#24)
        217               [NONAME] (forwarded to SHUNIMPL.#25)
        218               [NONAME] (forwarded to SHUNIMPL.#26)
        219               [NONAME] (forwarded to SHUNIMPL.#27)
        220               [NONAME] (forwarded to SHUNIMPL.#28)
        221               [NONAME] (forwarded to SHUNIMPL.#29)
        222               [NONAME] (forwarded to SHUNIMPL.#30)
        223               [NONAME] (forwarded to SHUNIMPL.#31)
        224               [NONAME] (forwarded to SHUNIMPL.#32)
        225               [NONAME] (forwarded to SHUNIMPL.#33)
        227               [NONAME] (forwarded to SHUNIMPL.#34)
        230               [NONAME] (forwarded to SHUNIMPL.#372)
        233               [NONAME] (forwarded to SHUNIMPL.#58)
        234               [NONAME] (forwarded to SHUNIMPL.#59)
        235               [NONAME] (forwarded to SHUNIMPL.#212)
        236      00274C20 [NONAME]
        237      000C13C0 [NONAME]
        241      000E24B0 [NONAME]
        242               [NONAME] (forwarded to SHUNIMPL.#373)
        243               [NONAME] (forwarded to SHUNIMPL.#374)
        244      0008CAE0 [NONAME]
        246               [NONAME] (forwarded to SHUNIMPL.#375)
        247               [NONAME] (forwarded to SHUNIMPL.#376)
        248               [NONAME] (forwarded to SHUNIMPL.#377)
        249               [NONAME] (forwarded to shlwapi.PathParseIconLocationW)
        250               [NONAME] (forwarded to shlwapi.PathRemoveExtensionW)
        251               [NONAME] (forwarded to shlwapi.PathRemoveArgsW)
        252               [NONAME] (forwarded to api-ms-win-core-url-l1.PathIsURLW)
        253               [NONAME] (forwarded to SHUNIMPL.#378)
        254      00255840 [NONAME]
        257      0010EB40 [NONAME]
        258      0010C160 [NONAME]
        259      000C13C0 [NONAME]
        260      00245670 [NONAME]
        261      002B0440 [NONAME]
        262      002B0780 [NONAME]
        264      002456A0 [NONAME]
        265      00268F60 [NONAME]
        266      002691C0 [NONAME]
        270      002AF580 [NONAME]
        271      002BA8F0 [NONAME]
        520               [NONAME] (forwarded to SHUNIMPL.#60)
        521               [NONAME] (forwarded to SHUNIMPL.#61)
        522               [NONAME] (forwarded to SHUNIMPL.#62)
        523               [NONAME] (forwarded to SHUNIMPL.#63)
        525               [NONAME] (forwarded to SHUNIMPL.#234)
        640               [NONAME] (forwarded to SHUNIMPL.#64)
        641               [NONAME] (forwarded to SHUNIMPL.#65)
        643               [NONAME] (forwarded to SHUNIMPL.#66)
        646               [NONAME] (forwarded to SHUNIMPL.#67)
        648               [NONAME] (forwarded to SHUNIMPL.#379)
        650               [NONAME] (forwarded to shlwapi.PathIsSameRootW)
        651      001B1D10 [NONAME]
        653               [NONAME] (forwarded to SHUNIMPL.#68)
        660      0008EBE0 [NONAME]
        681               [NONAME] (forwarded to SHUNIMPL.#428)
        683      000DBF40 [NONAME]
        684      000DBF40 [NONAME]
        690      00259E00 [NONAME]
        691               [NONAME] (forwarded to SHUNIMPL.#216)
        700               [NONAME] (forwarded to SHUNIMPL.#380)
        702      00231ED0 [NONAME]
        703               [NONAME] (forwarded to SHLWAPI.#269)
        704               [NONAME] (forwarded to SHLWAPI.#270)
        707               [NONAME] (forwarded to SHUNIMPL.#69)
        708               [NONAME] (forwarded to SHUNIMPL.#70)
        711      00218200 [NONAME]
        712               [NONAME] (forwarded to SHUNIMPL.#71)
        713      0023A710 [NONAME]
        714      0010A950 [NONAME]
        715               [NONAME] (forwarded to SHUNIMPL.#191)
        719               [NONAME] (forwarded to SHUNIMPL.#478)
        720               [NONAME] (forwarded to SHUNIMPL.#72)
        721               [NONAME] (forwarded to SHUNIMPL.#73)
        722               [NONAME] (forwarded to SHUNIMPL.#236)
        723      000B4930 [NONAME]
        724               [NONAME] (forwarded to SHUNIMPL.#381)
        725               [NONAME] (forwarded to SHUNIMPL.#74)
        726               [NONAME] (forwarded to SHUNIMPL.#75)
        731               [NONAME] (forwarded to SHUNIMPL.#479)
        732               [NONAME] (forwarded to SHUNIMPL.#480)
        733      000C1370 [NONAME]
        740      002983F0 [NONAME]
        744      0024FF40 [NONAME]
        745               [NONAME] (forwarded to SHUNIMPL.#382)
        748      002B7860 [NONAME]
        749               [NONAME] (forwarded to SHUNIMPL.#76)
        751      0021C450 [NONAME]
        752      00275080 [NONAME]
        753      000C37C0 [NONAME]
        754      002B7B20 [NONAME]
        755      0021A960 [NONAME]
        756               [NONAME] (forwarded to SHUNIMPL.#77)
        757      00105620 [NONAME]
        758      00012F30 [NONAME]
        759      00012E80 [NONAME]
        760      001C26D0 [NONAME]
        761      00280DC0 [NONAME]
        762               [NONAME] (forwarded to SHUNIMPL.#383)
        763      0024FF70 [NONAME]
        764      000773B0 [NONAME]
        765      00286CE0 [NONAME]
        766               [NONAME] (forwarded to SHUNIMPL.#385)
        767      000DAF60 [NONAME]
        777      00015FF0 [NONAME]
        778      000E2830 [NONAME]
        779      0021A080 [NONAME]
        781      002831E0 [NONAME]
        782      0026C500 [NONAME]
        786               [NONAME] (forwarded to SHUNIMPL.#237)
        787      000869F0 [NONAME]
        788      002A53A0 [NONAME]
        789      002A5440 [NONAME]
        790      0022DA60 [NONAME]
        791      002A5350 [NONAME]
        792      00086B10 [NONAME]
        810      002B0470 [NONAME]
        811      002B0270 [NONAME]
        812      0050B860 [NONAME]
        813      0050B900 [NONAME]
        814      001BF7F0 [NONAME]
        815      001BF760 [NONAME]
        816      00202270 [NONAME]
        817      002057E0 [NONAME]
        818      001BF7E0 [NONAME]
        819      001BF950 [NONAME]
        820               [NONAME] (forwarded to SHUNIMPL.#249)
        821               [NONAME] (forwarded to SHUNIMPL.#250)
        822               [NONAME] (forwarded to SHUNIMPL.#251)
        823      000C70E0 [NONAME]
        824      000C4B10 [NONAME]
        825      001EF3B0 [NONAME]
        826               [NONAME] (forwarded to SHUNIMPL.#252)
        827               [NONAME] (forwarded to SHUNIMPL.#253)
        828      00231FB0 [NONAME]
        829      002324C0 [NONAME]
        830      002014B0 [NONAME]
        831      0021B1A0 [NONAME]
        832               [NONAME] (forwarded to SHUNIMPL.#387)
        833      00259E20 [NONAME]
        834               [NONAME] (forwarded to SHUNIMPL.#254)
        835               [NONAME] (forwarded to SHUNIMPL.#255)
        836               [NONAME] (forwarded to SHUNIMPL.#256)
        837               [NONAME] (forwarded to SHUNIMPL.#257)
        838               [NONAME] (forwarded to SHUNIMPL.#258)
        839               [NONAME] (forwarded to SHUNIMPL.#259)
        840      00274E30 [NONAME]
        841               [NONAME] (forwarded to SHUNIMPL.#424)
        842               [NONAME] (forwarded to SHUNIMPL.#425)
        843               [NONAME] (forwarded to SHUNIMPL.#386)
        844      00258D70 [NONAME]
        845      001BDDF0 [NONAME]
        847      001BF640 [NONAME]
        848      00286D30 [NONAME]
        849      001BF7A0 [NONAME]
        850      0008B1E0 [NONAME]
        851      0020E1D0 [NONAME]
        852               [NONAME] (forwarded to SHUNIMPL.#391)
        853      0006F570 [NONAME]
        854               [NONAME] (forwarded to SHUNIMPL.#260)
        856               [NONAME] (forwarded to SHUNIMPL.#423)
        857               [NONAME] (forwarded to SHUNIMPL.#426)
        858               [NONAME] (forwarded to SHUNIMPL.#392)
        859      002CE930 [NONAME]
        860      00013740 [NONAME]
        861               [NONAME] (forwarded to SHUNIMPL.#261)
        862      00274500 [NONAME]
        863               [NONAME] (forwarded to SHUNIMPL.#262)
        864      0026DE10 [NONAME]
        865      0021A130 [NONAME]
        866      0028C220 [NONAME]
        867               [NONAME] (forwarded to SHUNIMPL.#263)
        868               [NONAME] (forwarded to SHUNIMPL.#264)
        869               [NONAME] (forwarded to SHUNIMPL.#384)
        870      000C3A10 [NONAME]
        871      001C3280 [NONAME]
        872               [NONAME] (forwarded to SHUNIMPL.#265)
        873      00086A50 [NONAME]
        874      00101AB0 [NONAME]
        875      00101A30 [NONAME]
        876      00266D50 [NONAME]
        877      00267130 [NONAME]
        878      00266FB0 [NONAME]
        880      002187A0 [NONAME]
        881      002AB280 [NONAME]
        882      002AB3E0 [NONAME]
        883      00509D40 [NONAME]
        884      00254ED0 [NONAME]
        885      00090240 [NONAME]
        886      0021BF60 [NONAME]
        887      0028C260 [NONAME]
        888      002B7BA0 [NONAME]
        889               [NONAME] (forwarded to SHUNIMPL.#474)
        890               [NONAME] (forwarded to SHUNIMPL.#475)
        891      00278380 [NONAME]
        892               [NONAME] (forwarded to SHUNIMPL.#476)
        893      0004BDE0 [NONAME]
        894      001C2690 [NONAME]
        895      00087090 [NONAME]
        896      001C2590 [NONAME]
        897      002BD680 [NONAME]
        898      0022D220 [NONAME]
        899      000C3D00 [NONAME]
        900      000BC970 [NONAME]
        901      004AE8A0 [NONAME]
        902               [NONAME] (forwarded to SHUNIMPL.#473)
        903      0010E060 [NONAME]
        904      00259FD0 [NONAME]
        905      0010E610 [NONAME]
        906      000C3F80 [NONAME]
        907      0026D7D0 [NONAME]
        909               [NONAME] (forwarded to SHUNIMPL.#477)
        910      00244100 [NONAME]
        911      0020CD70 [NONAME]
        912      0024E5A0 [NONAME]
        913      0024EE10 [NONAME]
        914      001C2550 [NONAME]
        915      000D2F10 [NONAME]
        916      0001BDB0 [NONAME]
        922      002BA5F0 [NONAME]
        923      00021530 [NONAME]
        924      000212F0 [NONAME]
        927      00295BE0 [NONAME]
        928      002A9520 [NONAME]
        930      0023A130 [NONAME]
        932      001C27D0 [NONAME]
        933      001C2770 [NONAME]
        938      00280CE0 [NONAME]
        939      000504B0 [NONAME]
        940      001C26B0 [NONAME]
        943      004B6680 [NONAME]
        944      0022DBF0 [NONAME]
        945      0027CAF0 [NONAME]
        946      0022D6F0 [NONAME]
        970      0021AAF0 [NONAME]
        971      0022C910 [NONAME]
        972      00245A40 [NONAME]
       2000      0027CDE0 [NONAME]
       2001      002CAE90 [NONAME]

  Summary

        A000 .data
        3000 .didat
       47000 .pdata
      149000 .rdata
       14000 .reloc
        9000 .rsrc
      589000 .text
