
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        326   87 0028B360 SHBrowseForFolder
        327   88 0028B360 SHBrowseForFolderA
        328   89 0028B590 SHBrowseForFolderW
        147   8A 000D6340 SHCLSIDFromString
        644   8B 000A73F0 SHChangeNotification_Lock
        645   8C 000AC710 SHChangeNotification_Unlock
        329   8D 00064B90 SHChangeNotify
          4   8E 00061C10 SHChangeNotifyDeregister
          2   8F 00063E10 SHChangeNotifyRegister
        330   90 000D4480 SHChangeNotifyRegisterThread
        331   91 00280E00 SHChangeNotifySuspendResume
         89   92 000C1A40 SHCloneSpecialIDList
        102   93 000AD690 SHCoCreateInstance
        332   94 0028C190 SHCoCreateInstanceWorker
        333   95 000A3410 SHCreateAssociationRegistration
        334   96 00293910 SHCreateCategoryEnum
        335   97 0000B4D0 SHCreateDataObject
        336   98 00085250 SHCreateDefaultContextMenu
        337   99 000EC6C0 SHCreateDefaultExtractIcon
        338   9A 00281210 SHCreateDefaultPropertiesOp
        165   9B 0021B180 SHCreateDirectory
        339   9C 0021B160 SHCreateDirectoryExA
        340   9D 00020BB0 SHCreateDirectoryExW
        341   9E 00295EF0 SHCreateDrvExtIcon
        743   9F 0022CFB0 SHCreateFileExtractIconW
        342   A0 0006A970 SHCreateItemFromIDList
        343   A1 0005D140 SHCreateItemFromParsingName
        344   A2 0022D0C0 SHCreateItemFromRelativeName
        345   A3 0006BD70 SHCreateItemInKnownFolder
        346   A4 00069C20 SHCreateItemWithParent
        347   A5 00021750 SHCreateLocalServerRunDll
        348   A6 001E15B0 SHCreateProcessAsUserW
        168   A7 0010BC60 SHCreatePropSheetExtArray
        349   A8 0010E690 SHCreateQueryCancelAutoPlayMoniker
        256   A9 000C66E0 SHCreateShellFolderView
        174   AA 002A5B40 SHCreateShellFolderViewEx
        350   AB 000FFDB0 SHCreateShellItem
        351   AC 001C26F0 SHCreateShellItemArray
        352   AD 00020250 SHCreateShellItemArrayFromDataObject
        353   AE 000C2C60 SHCreateShellItemArrayFromIDLists
        354   AF 00020900 SHCreateShellItemArrayFromShellItem
         74   B0 001B19A0 SHCreateStdEnumFmtEtc
          3   B1 00268010 SHDefExtractIconA
          6   B2 000528C0 SHDefExtractIconW
        169   B3 0010BD40 SHDestroyPropSheetExtArray
         88   B4 00254D10 SHDoDragDrop
        355   B5 0004F160 SHELL32_AddToBackIconTable
        356   B6 000B6F40 SHELL32_AddToFrontIconTable
        357   B7 00061F70 SHELL32_AreAllItemsAvailable
        358   B8 002A95B0 SHELL32_CCommonPlacesFolder_CreateInstance
        359   B9 002A95C0 SHELL32_CDBurn_CloseSession
        360   BA 002A95D0 SHELL32_CDBurn_DriveSupportedForDataBurn
        361   BB 002A95E0 SHELL32_CDBurn_Erase
        362   BC 002A9640 SHELL32_CDBurn_GetCDInfo
        363   BD 002A9650 SHELL32_CDBurn_GetLiveFSDiscInfo
        364   BE 000BDEB0 SHELL32_CDBurn_GetStagingPathOrNormalPath
        365   BF 002A9660 SHELL32_CDBurn_GetTaskInfo
        366   C0 002A9670 SHELL32_CDBurn_IsBlankDisc
        367   C1 002A9680 SHELL32_CDBurn_IsBlankDisc2
        368   C2 002A96E0 SHELL32_CDBurn_IsLiveFS
        369   C3 002A96F0 SHELL32_CDBurn_OnDeviceChange
        370   C4 002A9700 SHELL32_CDBurn_OnEject
        371   C5 002A9780 SHELL32_CDBurn_OnMediaChange
        372   C6 002A9790 SHELL32_CDefFolderMenu_Create2
        373   C7 002A97F0 SHELL32_CDefFolderMenu_Create2Ex
        374   C8 002A9850 SHELL32_CDefFolderMenu_MergeMenu
        375   C9 002A9860 SHELL32_CDrivesContextMenu_Create
        376   CA 002A9870 SHELL32_CDrivesDropTarget_Create
        377   CB 002A9880 SHELL32_CDrives_CreateSFVCB
        378   CC 00084290 SHELL32_CFSDropTarget_CreateInstance
        379   CD 000D9E90 SHELL32_CFSFolderCallback_Create
        380   CE 000DAF60 SHELL32_CFillPropertiesTask_CreateInstance
        381   CF 002A98E0 SHELL32_CLibraryDropTarget_CreateInstance
        382   D0 000DA7B0 SHELL32_CLocationContextMenu_Create
        383   D1 002A98F0 SHELL32_CLocationFolderUI_CreateInstance
        384   D2 002A9900 SHELL32_CMountPoint_DoAutorun
        385   D3 002A9910 SHELL32_CMountPoint_DoAutorunPrompt
        386   D4 002A9940 SHELL32_CMountPoint_IsAutoRunDriveAndEnabledByPolicy
        387   D5 002A9950 SHELL32_CMountPoint_ProcessAutoRunFile
        388   D6 002A9960 SHELL32_CMountPoint_WantAutorunUI
        389   D7 002A9970 SHELL32_CMountPoint_WantAutorunUIGetReady
        390   D8 002A9980 SHELL32_CNetFolderUI_CreateInstance
        391   D9 000EEEB0 SHELL32_CPL_CategoryIdArrayFromVariant
        392   DA 002A9990 SHELL32_CPL_IsLegacyCanonicalNameListedUnderKey
        393   DB 002A99B0 SHELL32_CPL_ModifyWowDisplayName
        394   DC 002A99C0 SHELL32_CRecentDocsContextMenu_CreateInstance
        395   DD 002A99D0 SHELL32_CTransferConfirmation_CreateInstance
        396   DE 002A99E0 SHELL32_CallFileCopyHooks
        397   DF 002A9A40 SHELL32_CanDisplayWin8CopyDialog
        398   E0 002A9A70 SHELL32_CloseAutoplayPrompt
        399   E1 002A9A80 SHELL32_CommandLineFromMsiDescriptor
        400   E2 0010EB40 SHELL32_CopySecondaryTiles
        401   E3 002A9AA0 SHELL32_CreateConfirmationInterrupt
        402   E4 002A9AB0 SHELL32_CreateConflictInterrupt
        403   E5 002A9AC0 SHELL32_CreateDefaultOperationDataProvider
        404   E6 002A9B40 SHELL32_CreateFileFolderContextMenu
        405   E7 000C15B0 SHELL32_CreateLinkInfoW
        406   E8 000DB5B0 SHELL32_CreateQosRecorder
        407   E9 002A9B50 SHELL32_CreateSharePointView
        408   EA 0024FF40 SHELL32_Create_IEnumUICommand
        409   EB 000C1590 SHELL32_DestroyLinkInfo
        410   EC 002A9B60 SHELL32_EncryptDirectory
        411   ED 002A9B70 SHELL32_EncryptedFileKeyInfo
        412   EE 002A9B90 SHELL32_EnumCommonTasks
        413   EF 002A9BA0 SHELL32_FreeEncryptedFileKeyInfo
        414   F0 002A9BC0 SHELL32_GenerateAppID
        415   F1 002A9BD0 SHELL32_GetAppIDRoot
        416   F2 002A9BE0 SHELL32_GetCommandProviderForFolderType
        417   F3 000C1680 SHELL32_GetDPIAdjustedLogicalSize
        418   F4 002A9C00 SHELL32_GetDiskCleanupPath
