
Dump of file C:\Windows\System32\wer.dll

File Type: DLL

  Section contains the following exports for wer.dll

    00000000 characteristics
    93E0183E time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

         82   85 000140F0 WerpStitchedMinidumpVmPreReadCallback
         83   86 00054BD0 WerpStitchedMinidumpVmQueryCallback
         84   87 00010800 WerpSubmitReportFromStore
         85   88 00062490 WerpTraceAuxMemDumpStatistics
         86   89 000625E0 WerpTraceDuration
         87   8A 000627D0 WerpTraceImageCacheStatistics
         88   8B 00062A60 WerpTraceSnapshotStatistics
         89   8C 00054C40 WerpTraceStitchedDumpWriterStatistics
         90   8D 00062E40 WerpTraceUnmappedVaRangesStatistics
         91   8E 00044120 WerpUnmapProcessViews
         92   8F 00062F10 WerpValidateReportKey
         93   90 0004B210 WerpWalkGatherBlocks

  Summary

        4000 .data
        1000 .didat
        6000 .pdata
       2B000 .rdata
        1000 .reloc
        2000 .rsrc
       A4000 .text
