
Dump of file C:\Windows\System32\vmsif.dll

File Type: DLL

  Section contains the following exports for vmsif.dll

    00000000 characteristics
    ADC32DB8 time date stamp
        0.00 version
           1 ordinal base
         133 number of functions
         133 number of names

    ordinal hint RVA      name

        117   74 00004A70 VmsIfSwitchListenIcmpEcho
        118   75 00003DA0 VmsIfSwitchPropertyAdd
        119   76 00004310 VmsIfSwitchPropertyEnumerate
        120   77 00004590 VmsIfSwitchPropertyFree
        121   78 00004590 VmsIfSwitchPropertyListFree
        122   79 00003BE0 VmsIfSwitchPropertyQuery
        123   7A 00004090 VmsIfSwitchPropertyRemove
        124   7B 000038F0 VmsIfSwitchPropertyUpdate
        125   7C 000061A0 VmsIfSwitchRequiredExtensionsFree
        126   7D 0000F9F0 VmsIfSwitchResetExtensionMiniport
        127   7E 000047D0 VmsIfSwitchSendIcmpEcho
        128   7F 000030D0 VmsIfSwitchServicingEnd
        129   80 00003060 VmsIfSwitchServicingStart
        130   81 00004DD0 VmsIfSwitchSetInfo
        131   82 00003290 VmsIfSwitchShutdown
        132   83 000050E0 VmsIfSwitchValidateLearnedMacAddress
        133   84 0001CCC0 VmsIfVmqGroupsEnumerate

  Summary

        5000 .data
        1000 .didat
        2000 .pdata
       15000 .rdata
        1000 .reloc
        1000 .rsrc
       2A000 .text
