
Dump of file C:\Windows\System32\vnetlib64.dll

File Type: DLL

  Section contains the following exports for vnetlib64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         159 number of functions
         159 number of names

    ordinal hint RVA      name

        120   77 0004A1E0 VNL_StartHcmon
        121   78 000449B0 VNL_StartNAT
        122   79 00044F40 VNL_StartUserIf
        123   7A 0004A230 VNL_StartVMCI
        124   7B 0004A2D0 VNL_StartVMX86
        125   7C 0004A320 VNL_StartVmkbd
        126   7D 0004A390 VNL_StartVmparport
        127   7E 0003FC40 VNL_StopBridge
        128   7F 00042110 VNL_StopDHCP
        129   80 0004A430 VNL_StopHcmon
        130   81 00044A60 VNL_StopNAT
        131   82 00044F90 VNL_StopUserIf
        132   83 0004A480 VNL_StopVMCI
        133   84 0004A520 VNL_StopVMX86
        134   85 0004A570 VNL_StopVmkbd
        135   86 0004A5F0 VNL_StopVmparport
        136   87 00042160 VNL_UninstallDHCP
        137   88 0004A780 VNL_UninstallHcmon
        138   89 0004A850 VNL_UninstallHcmonInf
        139   8A 0004A8F0 VNL_UninstallHostDrivers
        140   8B 000315A0 VNL_UninstallLegacyNetwork
        141   8C 00044AB0 VNL_UninstallNAT
        142   8D 000372E0 VNL_UninstallNetworkAdapter
        143   8E 0003CAF0 VNL_UninstallNetworkBridge
        144   8F 000318D0 VNL_UninstallNetworkComponents
        145   90 00031D60 VNL_UninstallNetworkInfFiles
        146   91 0004CB20 VNL_UninstallUSB
        147   92 00044FE0 VNL_UninstallUserIf
        148   93 0004AB10 VNL_UninstallVMCI
        149   94 0004ACB0 VNL_UninstallVMX86
        150   95 0004AD90 VNL_UninstallVMX86Inf
        151   96 0004AE30 VNL_UninstallVmkbd
        152   97 0004AEB0 VNL_UninstallVmkbdInf
        153   98 0004AF30 VNL_UninstallVmparportInf
        154   99 0004CD70 VNL_UninstallVmusb
        155   9A 00037530 VNL_UpdateAdapterFromConfig
        156   9B 000422C0 VNL_UpdateDHCPFromConfig
        157   9C 0004BE40 VNL_UpdateDriverW2K
        158   9D 00044BC0 VNL_UpdateNATFromConfig
        159   9E 00031DD0 VNL_Version

  Summary

       18000 .data
        1000 .didat
        8000 .pdata
       6C000 .rdata
        3000 .reloc
        1000 .rsrc
       B0000 .text
        1000 _RDATA
