
Dump of file C:\Windows\System32\lsasrv.dll

File Type: DLL

  Section contains the following exports for LSASRV.dll

    00000000 characteristics
    87EEBD31 time date stamp
        0.00 version
           1 ordinal base
         286 number of functions
         286 number of names

    ordinal hint RVA      name

        107   69 000FBF00 LsaILookupWellKnownName
        108   6A 0003B210 LsaIModifyPerformanceCounter
        109   6B 000427A0 LsaINoConnectedUserPolicy
        110   6C 00044590 LsaINoMoreWin2KDomain
        111   6D 000FD0E0 LsaINotifyChangeNotification
        112   6E 000FA610 LsaINotifyGCStatusChange
        113   6F 000FBDC0 LsaINotifyNetlogonParametersChangeW
        114   70 000B7E40 LsaINotifyNewPassword
        115   71 000B7E50 LsaINotifyPasswordChanged
        116   72 00060E10 LsaIOpenPolicyTrusted
        117   73 000FA650 LsaIQueryForestTrustInfo
        118   74 000FA6B0 LsaIQueryForestTrustInformation
        119   75 000443A0 LsaIQueryInformationPolicyTrusted
        120   76 00041700 LsaIQueryPackageAttrInLogonSession
        121   77 000FA6E0 LsaIQuerySiteInfo
        122   78 000FA730 LsaIQuerySubnetInfo
        123   79 000FA780 LsaIQueryUpnSuffixes
        124   7A 000C9540 LsaIReferenceCredHandle
        125   7B 000445C0 LsaIRegisterLogonSessionCallback
        126   7C 0004E720 LsaIRegisterNotification
        127   7D 00059610 LsaIRegisterPolicyChangeNotificationCallback
        128   7E 000DDA10 LsaIRenewCertificate
        129   7F 000FA7D0 LsaIReplicateClientObject
        130   80 0003C760 LsaIRetrieveCurrentUserSid
        131   81 000547C0 LsaISafeMode
        132   82 000FA830 LsaISamIndicatedDsStarted
        133   83 000DDA30 LsaISanitizeSAMName
        134   84 000FA880 LsaISetClientDnsHostName
        135   85 000BEAE0 LsaISetLogonGuidInLogonSession
        136   86 00040FF0 LsaISetLogonInfo
        137   87 000F9AE0 LsaISetNewSyskey
        138   88 000BECD0 LsaISetPackageAttrInLogonSession
        139   89 00045C30 LsaISetSupplementalTokenInfo
        140   8A 000DE980 LsaISetTokenDacl
        141   8B 00041210 LsaISetUserFlags
        142   8C 000FEE20 LsaITransformAuthorizationData
        143   8D 000FD190 LsaIUnregisterAllPolicyChangeNotificationCallback
        144   8E 000BED80 LsaIUnregisterLogonSessionCallback
        145   8F 000FD2E0 LsaIUnregisterPolicyChangeNotificationCallback
        146   90 000FA920 LsaIUpdateForestTrustInformation
        147   91 000C6DE0 LsaIUpdateKerbMaxTokenSize
        148   92 00003370 LsaIUpdateLogonSession
        149   93 000CA850 LsaIValidateTargetInfo
        150   94 000FA990 LsaIVerifyCachability
