
Dump of file C:\Windows\System32\samsrv.dll

File Type: DLL

  Section contains the following exports for SAMSRV.dll

    00000000 characteristics
     9354CF9 time date stamp
        0.00 version
           1 ordinal base
         329 number of functions
         329 number of names

    ordinal hint RVA      name

        120   77 0001E1F0 SampBuildDsNameFromSid
        121   78 0002C8B0 SampBuildSamProtection
        122   79 00014DC0 SampCalculateLmAndNtOwfPasswords
        123   7A 00055D80 SampChangeAliasAccountName
        124   7B 00072D30 SampChangeGroupAccountName
        125   7C 00087760 SampChangeUserAccountName
        126   7D 00087B50 SampCheckForAccountLockout
        127   7E 00022120 SampCheckGroupTypeBits
        128   7F 00010790 SampCheckSidType
        129   80 0001FCB0 SampCommitBufferedWrites
        130   81 0001E4E0 SampCompareDisplayStrings
        131   82 00088000 SampComputePasswordExpired
        132   83 000078D0 SampConnect
        133   84 00090470 SampConvertUiListToApiList
        134   85 0001DF00 SampCopyUserSupplementalCredentialsForDCPromo
        135   86 00005C00 SampCreateAccountContext2
        136   87 00013980 SampCreateAliasInDomain
        137   88 00006060 SampCreateContextEx
        138   89 000122C0 SampCreateDefaultUPN
        139   8A 0000D4F0 SampCreateFullSid
        140   8B 000126A0 SampCreateGroupInDomain
        141   8C 00018950 SampCreateUserInDomain
        142   8D 00004210 SampCurrentThreadOwnsLock
        143   8E 0000A530 SampDeReferenceContext
        144   8F 00014A70 SampDecrementActiveThreads
        145   90 00020640 SampDecryptCredentialData
        146   91 000067F0 SampDeleteContext
        147   92 0007A640 SampDeleteDsDirsToDeleteKey
        148   93 0007A700 SampDeleteKeyForPostBootPromote
        149   94 0001F200 SampDeltaChangeNotify
        150   95 00088840 SampDsChangePasswordUser
        151   96 0001C930 SampDsConvertReadAttrBlock
        152   97 0000ED90 SampDsGetPrimaryDomainStart
        153   98 0001DAC0 SampDsInitializeSingleDomain
        154   99 00025F70 SampDsIsRunning
        155   9A 0001C730 SampDsMakeAttrBlock
        156   9B 00010A50 SampDsSetBuiltinDomainPolicy
        157   9C 00010B70 SampDsSetDomainPolicy
        158   9D 00014F30 SampDsSetPasswordUser
        159   9E 0001BDE0 SampDsUpdateContextAttributes
        160   9F 0006B9E0 SampDuplicateGroupInfo
        161   A0 0006B9E0 SampDuplicateMachineInfo
        162   A1 0006BA90 SampDuplicateOemGroupInfo
        163   A2 0006BA90 SampDuplicateOemUserInfo
        164   A3 00015420 SampDuplicateUnicodeString
        165   A4 0006BAF0 SampDuplicateUserInfo
        166   A5 00017FB0 SampEncryptCredentialData
        167   A6 00029AD0 SampExamineSid
        168   A7 00023910 SampExtendDefinedDomains
        169   A8 000159D0 SampFlagsToAccountControl
        170   A9 00038D90 SampFlagsToAccountControlEx
        171   AA 0006BC60 SampFreeGroupInfo
        172   AB 0006BC60 SampFreeMachineInfo
        173   AC 0006BC90 SampFreeOemGroupInfo
        174   AD 0006BC90 SampFreeOemUserInfo
        175   AE 00003C40 SampFreeUnicodeString
        176   AF 0006BCC0 SampFreeUserInfo
        177   B0 0007AF10 SampGenerateRandomPassword
        178   B1 000593B0 SampGetAccessAttribute
        179   B2 0002D680 SampGetAccountDomainInfo
        180   B3 00022020 SampGetBehaviorVersion
        181   B4 00022980 SampGetCurrentOwnerAndPrimaryGroup
        182   B5 00090B40 SampGetDisableOutboundRSO
        183   B6 00090B50 SampGetDisableRSOOnPDCForward
        184   B7 00090B60 SampGetDisableResetBadPwdCountForward
        185   B8 00090B70 SampGetDisableSingleObjectRepl
        186   B9 00020FF0 SampGetDnsDomainNameFromIndex
        187   BA 000208A0 SampGetDomainContextFromIndex
        188   BB 00090B80 SampGetDomainObjectFromAccountContext
        189   BC 00023770 SampGetDomainObjectFromIndex
