
Dump of file C:\Windows\System32\migwiz\csiagent.dll

File Type: DLL

  Section contains the following exports for csiagent.dll

    00000000 characteristics
    9BEEE246 time date stamp
        0.00 version
           1 ordinal base
         197 number of functions
         197 number of names

    ordinal hint RVA      name

         63   3E 000017B0 ??1CReplManifestSourceFactory@Mig@@UEAA@XZ
         64   3F 000017B0 ??1CResourceLocator@Mig@@UEAA@XZ
         65   40 000017B0 ??1IManifestEnumerator@Mig@@UEAA@XZ
         66   41 000017B0 ??1IManifestParser@Mig@@UEAA@XZ
         67   42 000017B0 ??1IManifestSourceFactory@Mig@@UEAA@XZ
         68   43 000017B0 ??1IResourceLocator@Mig@@UEAA@XZ
         69   44 00015100 ??4?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAAAEAV01@AEBV01@@Z
         70   45 00015360 ??4?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAAAEAV01@AEBV01@@Z
         71   46 00003510 ??4CCSIAgent@Mig@@QEAAAEAV01@$$QEAV01@@Z
         72   47 00003510 ??4CCSIAgent@Mig@@QEAAAEAV01@AEBV01@@Z
         73   48 000024E0 ??4CComponentBuilder@Mig@@QEAAAEAV01@AEBV01@@Z
         74   49 00002280 ??4CComponentState@Mig@@QEAAAEAV01@AEBV01@@Z
         75   4A 00001E10 ??4CDirManifestEnumerator@Mig@@QEAAAEAV01@AEBV01@@Z
         76   4B 000019B0 ??4CDllManifestParser@Mig@@QEAAAEAV01@AEBV01@@Z
         77   4C 00001C60 ??4CInstalledManifestEnumerator@Mig@@QEAAAEAV01@AEBV01@@Z
         78   4D 00001F80 ??4CListManifestEnumerator@Mig@@QEAAAEAV01@AEBV01@@Z
         79   4E 00001890 ??4CManifestSource@Mig@@QEAAAEAV01@AEBV01@@Z
         80   4F 00001800 ??4CManifestSourceFactory@Mig@@QEAAAEAV01@$$QEAV01@@Z
         81   50 00001800 ??4CManifestSourceFactory@Mig@@QEAAAEAV01@AEBV01@@Z
         82   51 00002640 ??4CMigUnitListGenerator@Mig@@QEAAAEAV01@AEBV01@@Z
         83   52 000031F0 ??4CReplManData@Mig@@QEAAAEAV01@$$QEAV01@@Z
         84   53 000031F0 ??4CReplManData@Mig@@QEAAAEAV01@AEBV01@@Z
         85   54 00001800 ??4CReplManifestSourceFactory@Mig@@QEAAAEAV01@$$QEAV01@@Z
         86   55 00001800 ??4CReplManifestSourceFactory@Mig@@QEAAAEAV01@AEBV01@@Z
         87   56 00001890 ??4CResourceLocator@Mig@@QEAAAEAV01@$$QEAV01@@Z
         88   57 00001890 ??4CResourceLocator@Mig@@QEAAAEAV01@AEBV01@@Z
         89   58 00001800 ??4IManifestEnumerator@Mig@@QEAAAEAU01@$$QEAU01@@Z
         90   59 00001800 ??4IManifestEnumerator@Mig@@QEAAAEAU01@AEBU01@@Z
