
Dump of file C:\Windows\System32\oobe\diagnostic.dll

File Type: DLL

  Section contains the following exports for diagnostic.dll

    00000000 characteristics
    C5FDCECC time date stamp
        0.00 version
           1 ordinal base
         166 number of functions
         166 number of names

    ordinal hint RVA      name

         89   4F 000021B0 ?GetAvailPhysRAM@CMoboAndProcInfo@@QEAAKXZ
         90   50 00002650 ?GetCompatibleIds@CHardwareID@@QEAAPEAPEBGXZ
         91   51 000042A0 ?GetDeviceDword@CExistingOS@@QEAAKW4eDeviceDword@1@@Z
         92   52 00005890 ?GetDeviceDword@CInstallSource@@QEAAKW4eDeviceDword@1@@Z
         93   53 00004C90 ?GetDeviceDword@CNewOS@@QEAAKW4eDeviceDword@1@@Z
         94   54 00004260 ?GetDeviceString@CExistingOS@@QEAAPEBGW4eDeviceString@1@@Z
         95   55 00004C50 ?GetDeviceString@CNewOS@@QEAAPEBGW4eDeviceString@1@@Z
         96   56 00004590 ?GetEdition@CNewOS@@SAPEBGPEAU_BLACKBOARD@@@Z
         97   57 00004350 ?GetFailedInstallCount@CExistingOS@@QEAAKXZ
         98   58 00002640 ?GetHardwareIds@CHardwareID@@QEAAPEAPEBGXZ
         99   59 00014EE0 ?GetInfo@CCountArray@@QEAAHIAEAK000AEAPEAG@Z
        100   5A 000046D0 ?GetLanguage@CNewOS@@SAPEBGPEAU_BLACKBOARD@@@Z
        101   5B 00004840 ?GetNewOSDetails@CNewOS@@AEAAXXZ
        102   5C 00004A20 ?GetNewOSVersionInformation@CNewOS@@QEAAXPEAG@Z
        103   5D 00002630 ?GetNumberOfCompatableIDs@CHardwareID@@QEAAKXZ
        104   5E 00002620 ?GetNumberOfHardwareIds@CHardwareID@@QEAAKXZ
        105   5F 000021C0 ?GetNumberOfProcessors@CMoboAndProcInfo@@QEAAKXZ
        106   60 000039B0 ?GetOEMInformation@CExistingOS@@AEAAXXZ
        107   61 000021D0 ?GetProcAddressWidth@CMoboAndProcInfo@@QEAAKXZ
        108   62 000021E0 ?GetProcArchitecture@CMoboAndProcInfo@@QEAAKXZ
        109   63 000021F0 ?GetProcFamily@CMoboAndProcInfo@@QEAAKXZ
        110   64 00002210 ?GetProcStepping@CMoboAndProcInfo@@QEAAKXZ
        111   65 000024E0 ?GetProcessorInfo@CMoboAndProcInfo@@AEAAXXZ
        112   66 00002200 ?GetProcessorSpeedInMHz@CMoboAndProcInfo@@QEAAKXZ
        113   67 00002A50 ?GetProperties@CHardwareID@@AEAAXKPEAXPEAU_SP_DEVINFO_DATA@@PEAV?$CAtlArray@PEBGV?$CElementTraits@PEBG@ATL@@@ATL@@@Z
        114   68 00003F00 ?GetSkuInfo@CExistingOS@@AEAAKPEAK@Z
        115   69 00003820 ?GetSystemVersionDetails@CExistingOS@@AEAAXXZ
        116   6A 000021A0 ?GetTotalPhysRAM@CMoboAndProcInfo@@QEAAKXZ
        117   6B 00004810 ?GetWinImageArch@CNewOS@@SAKPEAU_BLACKBOARD@@@Z
        118   6C 00006150 ?InLHPlus@CSqmDiagConsumer@@CAHXZ
        119   6D 00014D20 ?IncrementCount@CCountArray@@QEAAHKKKPEBG@Z
        120   6E 00006CC0 ?Initialize@CSqmDiagConsumer@@QEAAKKPEAU_GUID@@PEAG1HK@Z
        121   6F 000067F0 ?Initialize@CSqmDiagConsumer@@UEAAKKPEAU_GUID@@@Z
        122   70 00009760 ?IsAlreadyProcessed@InstallData@@UEAAHPEAU_BLACKBOARD@@@Z
        123   71 00008A40 ?IsAlreadyProcessed@MachineHardWare@@UEAAHPEAU_BLACKBOARD@@@Z
        124   72 00008EF0 ?IsAlreadyProcessed@NewSystem@@UEAAHPEAU_BLACKBOARD@@@Z
        125   73 00009290 ?IsAlreadyProcessed@OldSystem@@UEAAHPEAU_BLACKBOARD@@@Z
        126   74 00005410 ?IsInternal@CInstallSource@@AEAAHXZ
        127   75 00008440 ?IsSubmitSuccessful@CSqmDiagConsumer@@UEAAHPEAG@Z
        128   76 000012A0 ?LogErrorMessage@CAccessWMI@@IEAAXPEBGKW4tagLOG_SETUPLOG_SEVERITY@@@Z
        129   77 00002BF0 ?LogErrorMessage@CHardwareID@@AEAAXPEBGK@Z
        130   78 00002CB0 ?LogErrorMessageGLE@CHardwareID@@AEAAXPEBGK@Z
        131   79 00001380 ?LogFetchInfoError@CAccessWMI@@AEAAXPEBGI@Z
        132   7A 000097E0 ?LogToBB@InstallData@@UEAAXPEAU_BLACKBOARD@@@Z
        133   7B 00008C50 ?LogToBB@MachineHardWare@@UEAAXPEAU_BLACKBOARD@@@Z
        134   7C 00008F70 ?LogToBB@NewSystem@@UEAAXPEAU_BLACKBOARD@@@Z
        135   7D 00009310 ?LogToBB@OldSystem@@UEAAXPEAU_BLACKBOARD@@@Z
        136   7E 00004580 ?LogToFile@InstallData@@UEAAXXZ
        137   7F 00008AC0 ?LogToFile@MachineHardWare@@UEAAXXZ
        138   80 00004580 ?LogToFile@NewSystem@@UEAAXXZ
        139   81 00004580 ?LogToFile@OldSystem@@UEAAXXZ
        140   82 0001D3B0 ?MAX_CHAR_SIZE@CExistingOS@@0HB
        141   83 0001D3B0 ?MAX_CHAR_SIZE@CNewOS@@0HB
        143   84 00014B00 ?NewElement@CCountArray@@AEAAHKKKPEBG@Z
        144   85 00003200 ?NumElements@CCountArray@@QEAAIXZ
        149   86 000061C0 ?ProcessFailedUpload@CSqmDiagConsumer@@CAKPEAG@Z
        150   87 00001110 ?ResetWmiClassName@CAccessWMI@@IEAAXPEBG@Z
        152   88 000071C0 ?Set@CSqmDiagConsumer@@UEAAKKK@Z
        153   89 00007330 ?Set@CSqmDiagConsumer@@UEAAKKPEAG@Z
        156   8A 000085E0 ?Shutdown@CSqmDiagConsumer@@UEAAKXZ
        157   8B 00006460 ?SqmUploadCallBack@CSqmDiagConsumer@@CAHJPEBGK@Z
        159   8C 00008010 ?Submit@CSqmDiagConsumer@@UEAAKPEAGH@Z
        165   8D 00029990 ?m_szEdition@CNewOS@@0PAGA
        166   8E 00029890 ?m_szLanguage@CNewOS@@0PAGA
         60   8F 0000D040 CallBack_DiagnosticDataGeneration
         61   90 0000DD60 CallBack_DiagnosticDataSend
         62   91 0000C240 CallBack_EditionID
         63   92 0000B980 CallBack_RestartSetup
         64   93 0000B4C0 Callback_Diagnostic_Unattend
         65   94 0000F3E0 CollectAndSendDiagDataToSQM
         66   95 0000FE80 CollectAndSendDiagDataToWatson
         76   96 0000E600 DiagnosticDataSendWorker
         78   97 00011EF0 DoWatsonReporting
        142   98 0000AC30 Module_Init_Diagnostic
        145   99 000115D0 ObtainBucketingParamsFromBlackBoard
        146   9A 00010700 ObtainBucketingParamsFromLogFile
        147   9B 00011C60 ObtainFilesToAttach
        148   9C 0000F250 ProcessDiagnosticDetails
        151   9D 0000BD20 RestoreIniValues
        154   9E 000123A0 SetFromBlackBoard
        155   9F 000134D0 SetFromFile
        158   A0 00013CF0 StartNetworking
        160   A1 00029170 g_DiagERApi
        161   A2 00029030 g_Kernel32
        162   A3 00029160 g_Shell32
        163   A4 00029028 g_Sqm
        164   A5 00029168 g_Wdscore

  Summary

        1000 .data
        1000 .didat
        1000 .pdata
        E000 .rdata
        1000 .reloc
        1000 .rsrc
       1A000 .text
