
Dump of file C:\Windows\System32\spoolss.dll

File Type: DLL

  Section contains the following exports for SPOOLSS.DLL

    00000000 characteristics
    530FABD1 time date stamp
        0.00 version
           1 ordinal base
         207 number of functions
         207 number of names

    ordinal hint RVA      name

        149   8D 000060E0 RouterFreeBidiMem
        150   8E 00006CD0 RouterFreeBidiResponseContainer
        151   8F 00006D30 RouterFreePrinterNotifyInfo
          5   90 00003C40 RouterGetCorePrinterDrivers
          6   91 00003CB0 RouterGetPrintClassObject
          7   92 00003D70 RouterGetPrinterDriverPackagePath
          8   93 00003DF0 RouterInstallPrinterDriverFromPackage
        152   94 00002C20 RouterInstallPrinterDriverPackageFromConnection
        153   95 00006D90 RouterInternalGetPrinterDriver
        154   96 00006E60 RouterRefreshPrinterChangeNotification
          9   97 00003E60 RouterRegisterForPrintAsyncNotifications
        155   98 00006EC0 RouterReplyPrinter
        156   99 00006F30 RouterSpoolerSetPolicy
         10   9A 00003ED0 RouterUnregisterForPrintAsyncNotifications
         11   9B 00003F30 RouterUploadPrinterDriverPackage
        157   9C 00006F90 ScheduleJob
        158   9D 00006FF0 SeekPrinter
        159   9E 00007050 SendRecvBidiData
        160   9F 000070B0 SetFormW
        161   A0 00001670 SetJobW
        162   A1 00007110 SetPortW
        163   A2 00007170 SetPrinterDataExW
        164   A3 000071F0 SetPrinterDataW
        165   A4 00007260 SetPrinterW
        166   A5 000072C0 SplCloseSpoolFileHandle
        167   A6 00007320 SplCommitSpoolData
        168   A7 000073A0 SplDriverUnloadComplete
        169   A8 00007400 SplGetClientUserHandle
        170   A9 00007460 SplGetSpoolFileInfo
        171   AA 000017C0 SplGetUserSidStringFromToken
        172   AB 000074D0 SplInitializeWinSpoolDrv
        173   AC 00007660 SplIsSessionZero
        174   AD 00001130 SplIsUpgrade
        175   AE 000076C0 SplProcessPnPEvent
        176   AF 00007720 SplProcessSessionEvent
        177   B0 00007780 SplPromptUIInUsersSession
        178   B1 000077E0 SplQueryUserInfo
        179   B2 00007840 SplReadPrinter
        180   B3 000078A0 SplRegisterForDeviceEvents
        181   B4 00007900 SplRegisterForSessionEvents
        182   B5 00007960 SplShutDownRouter
        183   B6 000079C0 SplUalCollectData
        184   B7 00007A20 SplUnregisterForDeviceEvents
        185   B8 00007A80 SplUnregisterForSessionEvents
        186   B9 00007AE0 SpoolerFindClosePrinterChangeNotification
        187   BA 00007B40 SpoolerFindFirstPrinterChangeNotification
        188   BB 00007BE0 SpoolerFindNextPrinterChangeNotification
        189   BC 00007C40 SpoolerFreePrinterNotifyInfo
        190   BD 00007CA0 SpoolerHasInitialized
        191   BE 00007D00 SpoolerInit
        192   BF 00007D60 SpoolerRefreshPrinterChangeNotification
        193   C0 00007DC0 StartDocPrinterW
        194   C1 00007E30 StartPagePrinter
        195   C2 00007EA0 UndoAlignKMPtr
        196   C3 00007EE0 UndoAlignRpcPtr
        197   C4 00007F50 UpdateBufferSize
        198   C5 0000B2F0 UpdatePrintDeviceObject
        199   C6 00007FC0 UpdatePrinterRegAll
        200   C7 00008020 UpdatePrinterRegAllEx
        201   C8 00008080 UpdatePrinterRegUser
        202   C9 000080F0 WaitForPrinterChange
        203   CA 00008150 WaitForSpoolerInitialization
        204   CB 000081B0 WritePrinter
        205   CC 00008210 XcvDataW
        206   CD 000082B0 bGetDevModePerUser
        207   CE 000082E0 bSetDevModePerUser

  Summary

        1000 .data
        2000 .pdata
        8000 .rdata
        1000 .reloc
        1000 .rsrc
        F000 .text
