
Dump of file C:\Windows\System32\sechost.dll

File Type: DLL

  Section contains the following exports for SECHOST.dll

    00000000 characteristics
    51664345 time date stamp
        0.00 version
           1 ordinal base
         217 number of functions
         217 number of names

    ordinal hint RVA      name

        133   84 000457C0 LocalRpcBindingSetAuthInfoEx
        134   85 0002A280 LookupAccountNameLocalA
        135   86 00014EA0 LookupAccountNameLocalW
        136   87 0002A400 LookupAccountSidLocalA
        137   88 00015330 LookupAccountSidLocalW
        138   89 0004E510 LsaAddAccountRights
        139   8A 0000FBF0 LsaClose
        140   8B 0004F090 LsaCreateSecret
        141   8C 0004E740 LsaDelete
        142   8D 0001A340 LsaEnumerateAccountRights
        143   8E 0004E5B0 LsaEnumerateAccountsWithUserRight
        144   8F 0000D800 LsaFreeMemory
        145   90 0000F340 LsaICLookupNames
        146   91 0004E7E0 LsaICLookupNamesWithCreds
        147   92 0000F9B0 LsaICLookupSids
        148   93 0004E9F0 LsaICLookupSidsWithCreds
        149   94 00015840 LsaLookupClose
        150   95 0000D800 LsaLookupFreeMemory
        151   96 00014E00 LsaLookupGetDomainInfo
        152   97 0000E0B0 LsaLookupManageSidNameMapping
        153   98 0000F2D0 LsaLookupNames2
        154   99 000158B0 LsaLookupOpenLocalPolicy
        155   9A 0000F800 LsaLookupSids
        156   9B 0004EC40 LsaLookupSids2
        157   9C 0001BF90 LsaLookupTranslateNames
        158   9D 0000D8D0 LsaLookupTranslateSids
        159   9E 0000DA30 LsaLookupUserAccountType
        160   9F 0000E9C0 LsaOpenPolicy
        161   A0 0004F1A0 LsaOpenSecret
        162   A1 0000F6C0 LsaQueryInformationPolicy
        163   A2 0004F2B0 LsaQuerySecret
        164   A3 0004E690 LsaRemoveAccountRights
        165   A4 0001A480 LsaRetrievePrivateData
        166   A5 0004EC50 LsaSetInformationPolicy
        167   A6 0004F750 LsaSetSecret
        168   A7 0004F9A0 LsaStorePrivateData
        169   A8 00006A80 NotifyServiceStatusChange
        170   A9 0001A0C0 NotifyServiceStatusChangeA
        171   AA 00006A80 NotifyServiceStatusChangeW
        172   AB 000081C0 OpenSCManagerA
        173   AC 00008370 OpenSCManagerW
        174   AD 00019FF0 OpenServiceA
        175   AE 000082F0 OpenServiceW
        176   AF 0000B020 OpenTraceW
        177   B0 0000B6F0 ProcessTrace
        178   B1 0004C2D0 QueryAllTracesA
        179   B2 000013F0 QueryAllTracesW
        180   B3 00047680 QueryLocalUserServiceName
        181   B4 00047A00 QueryServiceConfig2A
        182   B5 00007860 QueryServiceConfig2W
        183   B6 00047E70 QueryServiceConfigA
        184   B7 000080A0 QueryServiceConfigW
        185   B8 000484A0 QueryServiceDynamicInformation
        186   B9 00048000 QueryServiceObjectSecurity
        187   BA 00007B40 QueryServiceStatus
        188   BB 00008250 QueryServiceStatusEx
        189   BC 0004AF70 QueryTraceProcessingHandle
        190   BD 00018160 QueryTransientObjectSecurityDescriptor
        191   BE 00007CA0 QueryUserServiceName
        192   BF 000480E0 QueryUserServiceNameForContext
        193   C0 00048540 RegisterServiceCtrlHandlerA
        194   C1 00019EB0 RegisterServiceCtrlHandlerExA
        195   C2 00005500 RegisterServiceCtrlHandlerExW
        196   C3 0000E980 RegisterServiceCtrlHandlerW
        197   C4          RegisterTraceGuidsA (forwarded to NTDLL.EtwRegisterTraceGuidsA)
        198   C5 0000D460 ReleaseIdentityProviderEnumContext
        199   C6 0004B190 RemoveTraceCallback
        200   C7 0000D5C0 RpcClientCapabilityCheck
        201   C8 000458D0 SetLocalRpcServerInterfaceSecurity
        202   C9 000459B0 SetLocalRpcServerProtseqSecurity
        203   CA 0001C690 SetServiceObjectSecurity
        204   CB 00007BA0 SetServiceStatus
        205   CC 0004B280 SetTraceCallback
        206   CD 0001A060 StartServiceA
        207   CE 000485B0 StartServiceCtrlDispatcherA
        208   CF 00005A70 StartServiceCtrlDispatcherW
        209   D0 00005490 StartServiceW
        210   D1 0004C2E0 StartTraceA
        211   D2 0000A3C0 StartTraceW
        212   D3 0001BD40 StopTraceW
        213   D4 0000DFB0 SubscribeServiceChangeNotifications
        214   D5 0004C810 TraceQueryInformation
        215   D6 0004CBC0 TraceSetInformation
        216   D7 0000E940 UnsubscribeServiceChangeNotifications
        217   D8 0000DC40 WaitServiceState

  Summary

        4000 .data
        1000 .didat
        5000 .pdata
       28000 .rdata
        2000 .reloc
        2000 .rsrc
       65000 .text
