
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        116   73 001B5990 cuDeviceSetMemPool
        117   74 001E5F50 cuDeviceTotalMem
        118   75 001B4F80 cuDeviceTotalMem_v2
        119   76 001B4430 cuDriverGetVersion
        120   77 001CD540 cuEventCreate
        121   78 001ED5D0 cuEventDestroy
        122   79 001CE6D0 cuEventDestroy_v2
        123   7A 001CEBE0 cuEventElapsedTime
        124   7B 001CDC10 cuEventQuery
        125   7C 001F3AB0 cuEventRecord
        126   7D 001F3C90 cuEventRecordWithFlags
        127   7E 001CDA10 cuEventRecordWithFlags_ptsz
        128   7F 001CD830 cuEventRecord_ptsz
        129   80 001CE170 cuEventSynchronize
        130   81 001CF740 cuExternalMemoryGetMappedBuffer
        131   82 001CF940 cuExternalMemoryGetMappedMipmappedArray
        132   83 001D0F50 cuFuncGetAttribute
        133   84 001E4F10 cuFuncGetModule
        134   85 001D1370 cuFuncSetAttribute
        135   86 001D23C0 cuFuncSetBlockShape
        136   87 001D1770 cuFuncSetCacheConfig
        137   88 001D1950 cuFuncSetSharedMemConfig
        138   89 001D25C0 cuFuncSetSharedSize
        139   8A 00201BB0 cuGLCtxCreate
        140   8B 002002E0 cuGLCtxCreate_v2
        141   8C 002014B0 cuGLGetDevices
        142   8D 002000D0 cuGLGetDevices_v2
        143   8E 002004E0 cuGLInit
        144   8F 00201DB0 cuGLMapBufferObject
        145   90 00202020 cuGLMapBufferObjectAsync
        146   91 00201930 cuGLMapBufferObjectAsync_v2
        147   92 00201050 cuGLMapBufferObjectAsync_v2_ptsz
        148   93 002016C0 cuGLMapBufferObject_v2
        149   94 00200860 cuGLMapBufferObject_v2_ptds
        150   95 00200690 cuGLRegisterBufferObject
        151   96 00200E70 cuGLSetBufferObjectMapFlags
        152   97 00200AD0 cuGLUnmapBufferObject
        153   98 002012D0 cuGLUnmapBufferObjectAsync
        154   99 00200CA0 cuGLUnregisterBufferObject
        155   9A 001B4050 cuGetErrorName
        156   9B 001B3E50 cuGetErrorString
        157   9C 001E4D30 cuGetExportTable
        158   9D 001D55F0 cuGraphAddChildGraphNode
        159   9E 001D8ED0 cuGraphAddDependencies
        160   9F 001D5A30 cuGraphAddEmptyNode
        161   A0 001D5CF0 cuGraphAddEventRecordNode
        162   A1 001D6440 cuGraphAddEventWaitNode
        163   A2 001D6B90 cuGraphAddExternalSemaphoresSignalNode
        164   A3 001D7260 cuGraphAddExternalSemaphoresWaitNode
        165   A4 001D4E70 cuGraphAddHostNode
        166   A5 001D3990 cuGraphAddKernelNode
        167   A6 001D4190 cuGraphAddMemcpyNode
        168   A7 001D47D0 cuGraphAddMemsetNode
        169   A8 001D57E0 cuGraphChildGraphNodeGetGraph
        170   A9 001D7930 cuGraphClone
        171   AA 001D3730 cuGraphCreate
        172   AB 001DB0E0 cuGraphDestroy
        173   AC 001D92F0 cuGraphDestroyNode
        174   AD 001D5F70 cuGraphEventRecordNodeGetEvent
        175   AE 001D6190 cuGraphEventRecordNodeSetEvent
        176   AF 001D66C0 cuGraphEventWaitNodeGetEvent
        177   B0 001D68E0 cuGraphEventWaitNodeSetEvent
        178   B1 001D9F50 cuGraphExecChildGraphNodeSetParams
        179   B2 001DAF10 cuGraphExecDestroy
        180   B3 001DA150 cuGraphExecEventRecordNodeSetEvent
        181   B4 001DA3D0 cuGraphExecEventWaitNodeSetEvent
        182   B5 001DA650 cuGraphExecExternalSemaphoresSignalNodeSetParams
