
Dump of file C:\Windows\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    E6C108F0 time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

         65   81 00044590 MsiGetProductCodeA
        183   82 0016E360 MsiGetProductCodeFromPackageCodeA
        184   83 00070E10 MsiGetProductCodeFromPackageCodeW
         66   84 00044AD0 MsiGetProductCodeW
         67   85 0016E570 MsiGetProductInfoA
        247   86 00179710 MsiGetProductInfoExA
        248   87 00021BD0 MsiGetProductInfoExW
         68   88 0016E730 MsiGetProductInfoFromScriptA
         69   89 0016EB50 MsiGetProductInfoFromScriptW
         70   8A 00024750 MsiGetProductInfoW
         71   8B 0016EEF0 MsiGetProductPropertyA
         72   8C 00044FA0 MsiGetProductPropertyW
         73   8D 001832B0 MsiGetPropertyA
         74   8E 000465F0 MsiGetPropertyW
        216   8F 0016F450 MsiGetShortcutTargetA
        217   90 0016F760 MsiGetShortcutTargetW
         75   91 001835C0 MsiGetSourcePathA
         76   92 00183820 MsiGetSourcePathW
         77   93 00183A50 MsiGetSummaryInformationA
         78   94 00104890 MsiGetSummaryInformationW
         79   95 00183AF0 MsiGetTargetPathA
         80   96 00183D50 MsiGetTargetPathW
         81   97 0016FA50 MsiGetUserInfoA
         82   98 00067130 MsiGetUserInfoW
         83   99 0016FCE0 MsiInstallMissingComponentA
         84   9A 00170090 MsiInstallMissingComponentW
         85   9B 00170330 MsiInstallMissingFileA
         86   9C 00170650 MsiInstallMissingFileW
         87   9D 001708C0 MsiInstallProductA
         88   9E 00170B40 MsiInstallProductW
        191   9F 0013F610 MsiInvalidateFeatureCache
        214   A0 00170CF0 MsiIsProductElevatedA
        215   A1 00065FD0 MsiIsProductElevatedW
        287   A2 001799C0 MsiJoinTransaction
        196   A3 00170F30 MsiLoadStringA
        197   A4 000DCC20 MsiLoadStringW
         89   A5 001710D0 MsiLocateComponentA
         90   A6 00044E50 MsiLocateComponentW
        198   A7 00171210 MsiMessageBoxA
        279   A8 00171240 MsiMessageBoxExA
        280   A9 00171510 MsiMessageBoxExW
        199   AA 00171700 MsiMessageBoxW
        229   AB 00171730 MsiNotifySidChangeA
        230   AC 00171840 MsiNotifySidChangeW
         91   AD 00183F80 MsiOpenDatabaseA
         92   AE 000209F0 MsiOpenDatabaseW
         93   AF 00171A00 MsiOpenPackageA
        231   B0 00171AD0 MsiOpenPackageExA
        232   B1 00171BB0 MsiOpenPackageExW
         94   B2 00171CA0 MsiOpenPackageW
         95   B3 00171D80 MsiOpenProductA
         96   B4 00120EA0 MsiOpenProductW
         97   B5 001840C0 MsiPreviewBillboardA
         98   B6 001841C0 MsiPreviewBillboardW
         99   B7 001842B0 MsiPreviewDialogA
        100   B8 00184340 MsiPreviewDialogW
        101   B9 00171ED0 MsiProcessAdvertiseScriptA
        102   BA 00172040 MsiProcessAdvertiseScriptW
        103   BB 00048430 MsiProcessMessage
        225   BC 001721D0 MsiProvideAssemblyA
        226   BD 00025000 MsiProvideAssemblyW
        104   BE 00172880 MsiProvideComponentA
        105   BF 00172A70 MsiProvideComponentFromDescriptorA
        106   C0 00172B80 MsiProvideComponentFromDescriptorW
        107   C1 00172CB0 MsiProvideComponentW
        108   C2 00172EC0 MsiProvideQualifiedComponentA
        202   C3 00034590 MsiProvideQualifiedComponentExA
        203   C4 00071520 MsiProvideQualifiedComponentExW
        109   C5 00172F00 MsiProvideQualifiedComponentW
        249   C6 00179FE0 MsiQueryComponentStateA
        250   C7 0017A1E0 MsiQueryComponentStateW
        110   C8 00172F40 MsiQueryFeatureStateA
        251   C9 0017A330 MsiQueryFeatureStateExA
        252   CA 00122940 MsiQueryFeatureStateExW
        187   CB 001730A0 MsiQueryFeatureStateFromDescriptorA
        188   CC 00173240 MsiQueryFeatureStateFromDescriptorW
        111   CD 000F35B0 MsiQueryFeatureStateW
        112   CE 001733F0 MsiQueryProductStateA
        113   CF 0002D8C0 MsiQueryProductStateW
        167   D0 001843B0 MsiRecordClearData
        114   D1 00184420 MsiRecordDataSize
        115   D2 00109500 MsiRecordGetFieldCount
        116   D3 00020650 MsiRecordGetInteger
        117   D4 00184570 MsiRecordGetStringA
        118   D5 00047AF0 MsiRecordGetStringW
        119   D6 00020250 MsiRecordIsNull
        120   D7 00119BB0 MsiRecordReadStream
        121   D8 00046090 MsiRecordSetInteger
        122   D9 00184750 MsiRecordSetStreamA
        123   DA 001847F0 MsiRecordSetStreamW
        124   DB 001849F0 MsiRecordSetStringA
        125   DC 00047E80 MsiRecordSetStringW
        126   DD 000352C0 MsiReinstallFeatureA
        127   DE 00173750 MsiReinstallFeatureFromDescriptorA
        128   DF 00173960 MsiReinstallFeatureFromDescriptorW
        129   E0 00173B30 MsiReinstallFeatureW
        130   E1 00173C90 MsiReinstallProductA
        131   E2 00173E40 MsiReinstallProductW
        237   E3 0017A530 MsiRemovePatchesA
        238   E4 0017A700 MsiRemovePatchesW
        132   E5 00184B80 MsiSequenceA
        133   E6 00184C20 MsiSequenceW
        134   E7 00184D30 MsiSetComponentStateA
        135   E8 00184E90 MsiSetComponentStateW
        136   E9 00173F70 MsiSetExternalUIA
        281   EA 0017A8A0 MsiSetExternalUIRecord
        137   EB 00133D60 MsiSetExternalUIW
        206   EC 00184FB0 MsiSetFeatureAttributesA
        207   ED 00185110 MsiSetFeatureAttributesW
        138   EE 00185280 MsiSetFeatureStateA
        139   EF 001853E0 MsiSetFeatureStateW
        140   F0 00185550 MsiSetInstallLevel
        141   F1 00129590 MsiSetInternalUI
        143   F2 00185630 MsiSetMode
        288   F3 001877A0 MsiSetOfflineContextW
        144   F4 00185780 MsiSetPropertyA
        145   F5 00185A50 MsiSetPropertyW
        146   F6 00185CA0 MsiSetTargetPathA
        147   F7 00185F20 MsiSetTargetPathW
        273   F8 0017A930 MsiSourceListAddMediaDiskA
        274   F9 0017ABE0 MsiSourceListAddMediaDiskW
        210   FA 00173F90 MsiSourceListAddSourceA
