
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

        173   AC 0016C950 ?GetSurfaceStateL1CachePolicy@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
        174   AD 00002DC0 ?GetSystemMemPointer@GmmResourceInfoCommon@GmmLib@@UEAAPEAXE@Z
        175   AE 00002DF0 ?GetSystemMemSize@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        176   AF 00166640 ?GetTRL3TableAddr@GmmPageTableMgr@GmmLib@@UEAA_KXZ
        177   B0 00002E00 ?GetTallBufferHeight@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        178   B1 00002E20 ?GetTextureLayout@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_TEXTURE_LAYOUT_REC@@XZ
        179   B2 00002E30 ?GetTileAddressMappingModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        180   B3 0016FE40 ?GetTileGfxAddress@GmmClientContext@GmmLib@@UEAA_KPEAVGmmResourceInfoWin@2@IIII@Z
        181   B4 00002E40 ?GetTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@IEAAIPEBUGMM_TEXTURE_INFO_REC@@@Z
        182   B5 00002EC0 ?GetTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        183   B6 00002ED0 ?GetTilePoolArray@GmmResourceInfoWin@GmmLib@@UEAAPEAXXZ
        184   B7 0016FE20 ?GetTileShape@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAVGmmResourceInfoWin@2@PEAI11@Z
        185   B8 00002EE0 ?GetTileType@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_TILE_TYPE_ENUM@@XZ
        186   B9 00002F20 ?GetTiledModeDepthStencilState@GmmResourceInfoCommon@GmmLib@@UEAAIW4GMM_UNIFIED_AUX_TYPE@@@Z
        187   BA 00002FD0 ?GetTiledResourceGfxAddress@GmmResourceInfoWin@GmmLib@@UEAA_KXZ
        188   BB 00147600 ?GetTiledResourceMipPacking@GmmResourceInfoCommon@GmmLib@@UEAAXPEAI0@Z
        189   BC 00002FE0 ?GetTiledResourceModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        190   BD 0016F1C0 ?GetTrashPageGfxAddress@GmmClientContext@GmmLib@@UEAA_KTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        191   BE 00003030 ?GetUnifiedAuxBitsPerPixel@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        192   BF 00003040 ?GetUnifiedAuxPitch@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        193   C0 00003050 ?GetUnifiedAuxSurfaceOffset@GmmResourceInfoCommon@GmmLib@@UEAA_KW4GMM_UNIFIED_AUX_TYPE@@@Z
        194   C1 0016CA30 ?GetUseGlobalGtt@GmmClientContext@GmmLib@@UEAAEW4GMM_HW_COMMAND_STREAMER_ENUM@@W4GMM_HW_COMMAND_ENUM@@PEAT__D3DDDI_PATCHLOCATIONLIST_DRIVERID@@@Z
        195   C2 00003230 ?GetVAlign@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        196   C3 000032D0 ?GetVAlignSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        197   C4 000033B0 ?GetVidSourceId@GmmResourceInfoWin@GmmLib@@UEAAIXZ
        198   C5 000033C0 ?GmmGetTileMode@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_TILE_MODE_ENUM@@XZ
        199   C6 001678D0 ?GmmSetCsrHandle@GmmPageTableMgr@GmmLib@@UEAAXPEAX@Z
        200   C7 0016DAD0 ?GmmSetDeviceInfo@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAU_GMM_DEVICE_INFO_REC@@@Z
        201   C8 00166680 ?InitContextAuxTableRegister@GmmPageTableMgr@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAXW4_GMM_ENGINE_TYPE@@@Z
        202   C9 00166730 ?InitContextTRTableRegister@GmmPageTableMgr@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAXW4_GMM_ENGINE_TYPE@@@Z
        203   CA 001665D0 ?InitGpuBBQueueCallbacks@GmmPageTableMgr@GmmLib@@UEAAXPEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@@Z
        204   CB 00147460 ?Is64KBPageSuitable@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        205   CC 00147920 ?IsASTC@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        206   CD 00147910 ?IsArraySpacingSingleLod@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        207   CE 000033D0 ?IsColorSeparation@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        208   CF 0016CB80 ?IsCompressed@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        209   D0 000033E0 ?IsLockDiscardCompatible@GmmResourceInfoWin@GmmLib@@UEAAEXZ
        210   D1 00003400 ?IsMediaMemoryCompressed@GmmResourceInfoCommon@GmmLib@@UEAAEI@Z
        211   D2 00147790 ?IsMipRCCAligned@GmmResourceInfoCommon@GmmLib@@UEAA_NAEAE@Z
        212   D3 00003420 ?IsMsaaFormatDepthStencil@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        213   D4 0016CB60 ?IsP0xx@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        214   D5 0016CB50 ?IsPlanar@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        215   D6 0014A340 ?IsPredictedGlobalAliasingParticipant@GmmResourceInfoWin@GmmLib@@UEAAEXZ
        216   D7 0014A060 ?IsPresentableformat@GmmResourceInfoCommon@GmmLib@@MEAA_NXZ
        217   D8 00003440 ?IsSurfaceFaultable@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        218   D9 0014A3B0 ?IsSurfaceFaultable@GmmResourceInfoWin@GmmLib@@UEAAEXZ
        219   DA 00003450 ?IsSvm@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        220   DB 0016CB70 ?IsUVPacked@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        221   DC 0016CBC0 ?IsYUVPacked@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        222   DD 0014A7E0 ?KmdGetSetCpSurfTag@GmmResourceInfoWin@GmmLib@@UEAAITGMM_ESCAPE_HANDLE_REC@@0IEITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        223   DE 0014A5A0 ?KmdGetSetHardwareProtection@GmmResourceInfoWin@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0IEPEAETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        224   DF 0014A6F0 ?KmdSetPavpStoutOrIsolatedEncryptionForDisplay@GmmResourceInfoWin@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0IEITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        225   E0 00166980 ?MapTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UEAAJPEAU_GMM_MAP_TR_GPUVIRTUALADDRESS@@E@Z
        226   E1 0016D3F0 ?MapTileInstancedGpuVirtualAddress@GmmClientContext@GmmLib@@UEAAJPEAU_GMM_MAP_GPUVA_TILE_INSTANCED_RESOURCE@@@Z
        227   E2 00003460 ?OverrideAllocationFlags@GmmResourceInfoCommon@GmmLib@@UEAAXAEAUGMM_RESOURCE_FLAG_REC@@@Z
        228   E3 00003470 ?OverrideArraySize@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        229   E4 00003480 ?OverrideAuxTilePoolArray@GmmResourceInfoWin@GmmLib@@UEAAXPEAX@Z
        230   E5 00003490 ?OverrideAuxTilePoolArraySize@GmmResourceInfoWin@GmmLib@@UEAAXI@Z
        231   E6 000034A0 ?OverrideBaseAlignment@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        232   E7 000034B0 ?OverrideBaseHeight@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        233   E8 000034C0 ?OverrideBaseWidth@GmmResourceInfoCommon@GmmLib@@UEAAX_K@Z
        234   E9 000034D0 ?OverrideCachePolicyUsage@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
        235   EA 000034E0 ?OverrideDepth@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        236   EB 0016EF30 ?OverrideGfxPartition@GmmClientContext@GmmLib@@UEAA?AU__GMM_GFX_PARTITIONING@@PEAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        237   EC 0016EED0 ?OverrideGfxPartition@GmmClientContext@GmmLib@@UEAA?AU__GMM_GFX_PARTITIONING@@XZ
        238   ED 000034F0 ?OverrideGmmLibContext@GmmResourceInfoCommon@GmmLib@@UEAAXPEBVContext@2@@Z
        239   EE 00003500 ?OverrideHAlign@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        240   EF 00003510 ?OverrideMaxLod@GmmResourceInfoCommon@GmmLib@@UEAAXI@Z
        241   F0 00003520 ?OverridePitch@GmmResourceInfoCommon@GmmLib@@UEAAX_K@Z
        242   F1 00003530 ?OverridePlanarXOffset@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_YUV_PLANE_ENUM@@_K@Z
        243   F2 00003540 ?OverridePlanarYOffset@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_YUV_PLANE_ENUM@@_K@Z
        244   F3 00003550 ?OverrideSize@GmmResourceInfoCommon@GmmLib@@UEAAX_K@Z
        245   F4 00003560 ?OverrideSurfaceFormat@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        246   F5 00003570 ?OverrideSurfaceType@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_RESOURCE_TYPE_ENUM@@@Z
        247   F6 00003580 ?OverrideSvmGfxAddress@GmmResourceInfoCommon@GmmLib@@UEAAX_K@Z
        248   F7 00003590 ?OverrideTextureInfo@GmmResourceInfoWin@GmmLib@@UEAAXW4GMM_CLIENT_ENUM@@AEBUGMM_TEXTURE_INFO_REC@@@Z
        249   F8 00003610 ?OverrideTileMode@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_TILE_MODE_ENUM@@@Z
        250   F9 00003620 ?OverrideTiledResourceGfxAddress@GmmResourceInfoWin@GmmLib@@UEAAX_K@Z
        251   FA 00003630 ?OverrideUnifiedAuxPitch@GmmResourceInfoCommon@GmmLib@@UEAAX_K@Z
        252   FB 00003640 ?OverrideUnifiedAuxTileMode@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_TILE_MODE_ENUM@@@Z
        253   FC 0016FB30 ?PigmsFreeGpuVa@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0_K1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        254   FD 0016FB20 ?PigmsMapGpuVA@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0_KIPEAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        255   FE 0016FB10 ?PigmsReserveGpuVA@GmmClientContext@GmmLib@@UEAA_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        256   FF 00145120 ?ReAdjustPlaneProperties@GmmResourceInfoCommon@GmmLib@@MEAA_N_N@Z
        257  100 00144DD0 ?RedescribePlanes@GmmResourceInfoCommon@GmmLib@@MEAA_NXZ
        258  101 0016F610 ?ResDestroySvmAllocation@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        259  102 0016CE70 ?ResMemcpy@GmmClientContext@GmmLib@@UEAAXPEAX0@Z
        260  103 0016FB40 ?ResUpdateAfterSharedOpen@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAX0IPEAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        261  104 0016E350 ?ReserveSVMGPUVA@GmmClientContext@GmmLib@@AEAA?AW4GMM_STATUS_ENUM@@PEAU_GMM_DEVICE_CALLBACKS_INT@@PEAU__GMM_GFX_PARTITIONING@@@Z
        262  105 001668E0 ?ReserveTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UEAAJPEAUGMM_UMD_SYNCCONTEXT_REC@@PEAUD3DDDI_RESERVEGPUVIRTUALADDRESS@@E@Z
        263  106 00003650 ?SetClientType@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_CLIENT_ENUM@@@Z
        264  107 00003660 ?SetGmmClientContext@GmmResourceInfoCommon@GmmLib@@UEAAXPEAVGmmClientContext@2@@Z
        265  108 000034F0 ?SetGmmLibContext@GmmResourceInfoCommon@GmmLib@@UEAAXPEAX@Z
        266  109 000036A0 ?SetMmcHint@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_RESOURCE_MMC_HINT_REC@@I@Z
        267  10A 000036B0 ?SetMmcMode@GmmResourceInfoCommon@GmmLib@@UEAAXW4GMM_RESOURCE_MMC_INFO_REC@@I@Z
        268  10B 000036D0 ?SetPrivateData@GmmResourceInfoCommon@GmmLib@@UEAAXPEAX@Z
        269  10C 000036E0 ?TranslateColorSeparationX@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        270  10D 0016F460 ?UmDestroypHeap@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PEAPEAUGMM_HEAP_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        271  10E 0016F2B0 ?UmSetupHeap@GmmClientContext@GmmLib@@UEAAPEAUGMM_HEAP_REC@@TGMM_ESCAPE_HANDLE_REC@@0_K1ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        272  10F 00166B50 ?UpdateAuxTable@GmmPageTableMgr@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEBU__GMM_DDI_UPDATEAUXTABLE@@@Z
        273  110 0014A450 ?UpdateCacheability@GmmResourceInfoWin@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0IAEAUGMM_GPU_CACHE_SETTINGS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        274  111 0016FCC0 ?UpdateSparseResourceOpaqueMapping@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PEAUGMM_UMD_SYNCCONTEXT_REC@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@EIPEAUGMM_UPDATE_SPARSE_RESOURCE_OPAQUE_MAPPINGS_REC@@@Z
        275  112 00166A10 ?UpdateTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UEAAJPEAPEAUGMM_UMD_SYNCCONTEXT_REC@@PEBU_GMM_UPADTE_TR_GPUVIRTUALADDRESS_INT@@E@Z
        276  113 0016FBF0 ?UpdateTiledResourceMapping@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0UGMM_UPDATE_TILE_MAPPINGS_REC_INT@@EPEAUGMM_UMD_SYNCCONTEXT_REC@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@PEAU_GMM_DEVICE_CALLBACKS_INT@@IE@Z
        277  114 00148650 ?ValidateParams@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
        278  115 00167C50 ?__AllocateNodePool@GmmPageTableMgr@GmmLib@@AEAAPEAVGmmPageTablePool@2@IW4POOL_TYPE_REC@2@@Z
        279  116 00167680 ?__GetFreePoolNode@GmmPageTableMgr@GmmLib@@UEAAPEAVGmmPageTablePool@2@PEAIW4POOL_TYPE_REC@2@@Z
        280  117 0016E0E0 ?__GetSetSharedHeapObjectProcessSingleton@GmmClientContext@GmmLib@@AEAAPEAXTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        281  118 0016DCB0 ?__GetSharedHeapObject@GmmClientContext@GmmLib@@AEAAPEAXTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        282  119 00167EF0 ?__NotifyAuxTChange@GmmPageTableMgr@GmmLib@@AEAAX_KAEA_K1AEAE@Z
        283  11A 00167340 ?__ReleaseUnusedPool@GmmPageTableMgr@GmmLib@@UEAAXPEAUGMM_UMD_SYNCCONTEXT_REC@@@Z
        284  11B 0016DDB0 ?__SetSharedHeapObject@GmmClientContext@GmmLib@@AEAAITGMM_ESCAPE_HANDLE_REC@@0PEAPEAXTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        285  11C 001700F0 GmmDestroy
        286  11D 00170050 InitializeGmm
        287  11E 00170010 OpenGmm

  Summary

        5000 .data
        3000 .pdata
       17000 .rdata
        1000 .reloc
        1000 .rsrc
      17D000 .text
        1000 _RDATA
