
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

         46   2D 0016D140 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UEAAPEAVGmmPageTableMgr@2@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z
         47   2E 0016DA10 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UEAAPEAVGmmPageTableMgr@2@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPEAU_GmmClientAllocationCallbacks_@@@Z
         48   2F 0016D0B0 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UEAAPEAVGmmPageTableMgr@2@PEAU_GMM_DEVICE_CALLBACKS_INT@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z
         49   30 0016D940 ?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UEAAPEAVGmmPageTableMgr@2@PEAU_GMM_DEVICE_CALLBACKS_INT@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPEAU_GmmClientAllocationCallbacks_@@@Z
         50   31 0016CCB0 ?CreateResInfoObject@GmmClientContext@GmmLib@@UEAAPEAVGmmResourceInfoWin@2@PEAUGMM_RESCREATE_PARAMS_REC@@@Z
         51   32 0016D1B0 ?CreateResInfoObject@GmmClientContext@GmmLib@@UEAAPEAVGmmResourceInfoWin@2@PEAUGMM_RESCREATE_PARAMS_REC@@PEAU_GmmClientAllocationCallbacks_@@@Z
         52   33 0016FB50 ?CreateTiledResource@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0PEAUGMM_UMD_SYNCCONTEXT_REC@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PEAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z
         53   34 0016D180 ?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UEAAXPEAVGmmPageTableMgr@2@@Z
         54   35 0016DA60 ?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UEAAXPEAVGmmPageTableMgr@2@PEAU_GmmClientAllocationCallbacks_@@@Z
         55   36 0016CF00 ?DestroyResInfoObject@GmmClientContext@GmmLib@@UEAAXPEAVGmmResourceInfoWin@2@@Z
