
Dump of file C:\Windows\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    F0713FCD time date stamp
        0.00 version
           1 ordinal base
         237 number of functions
         237 number of names

    ordinal hint RVA      name

        136   86 00003840 GetStateSettingsFolder
        137   87 00003850 GetStateVersion
        138   88 00003860 GetSystemAppDataFolder
        139   89 00003870 GetSystemAppDataKey
        140   8A 00003880 GetSystemMetadataPath
        141   8B 00003890 GetSystemMetadataPathForPackage
        142   8C 000038A0 GetSystemMetadataPathForPackageFamily
        143   8D 000038B0 GetSystemStateRootFolder
        144   8E 000038C0 GetTargetPlatformContext
        145   8F 000038D0 IncrementPackageStatusVersion
        146   90 000038E0 InvalidateAppModelVersionCache
        147   91 000038F0 IsDeveloperModeEnabled
        148   92 00003900 IsDeveloperModePolicyApplied
        149   93 00003910 IsMrtResourceRedirectionEnabled
        150   94 00003920 IsOnDemandRegistrationSupportedForExtensionCategory
        151   95 00003930 IsSideloadingEnabled
        152   96 00003940 IsSideloadingPolicyApplied
        153   97 00003950 OpenPackageInfoByFullName
        154   98 00003960 OpenPackageInfoByFullNameForMachine
        155   99 00003970 OpenPackageInfoByFullNameForUser
        156   9A 00003980 OpenState
        157   9B 00003990 OpenStateAtom
        158   9C 000039A0 OpenStateExplicit
        159   9D 000039B0 OpenStateExplicitForUserSid
        160   9E 000039C0 OpenStateExplicitForUserSidString
        161   9F 000039D0 OverrideRoamingDataModificationTimesInRange
        162   A0 000039E0 PackageFamilyNameFromFullName
        163   A1 000039F0 PackageFamilyNameFromFullNameA
        164   A2 00003A00 PackageFamilyNameFromId
        165   A3 00003A10 PackageFamilyNameFromIdA
        166   A4 00003A20 PackageFamilyNameFromProductId
        167   A5 00003A30 PackageFullNameFromId
        168   A6 00003A40 PackageFullNameFromIdA
        169   A7 00003A50 PackageFullNameFromProductId
        170   A8 00003A60 PackageIdFromFullName
        171   A9 00003A70 PackageIdFromFullNameA
        172   AA 00003A80 PackageIdFromProductId
        173   AB 00003A90 PackageNameAndPublisherIdFromFamilyName
        174   AC 00003AA0 PackageNameAndPublisherIdFromFamilyNameA
        175   AD 00003AB0 PackageRelativeApplicationIdFromProductId
        176   AE 00003AC0 PackageSidFromFamilyName
          1   AF 00002FF0 PackageSidFromProductId
        177   B0 00003AD0 ParseApplicationUserModelId
        178   B1 00003AE0 ParseApplicationUserModelIdA
        179   B2 00003AF0 ProductIdFromPackageFamilyName
        180   B3 00004790 PsmActivateApplicationByToken
        181   B4 00004910 PsmAdjustActivationToken
        182   B5 00001130 PsmAdjustActivationTokenEx
        183   B6 00004960 PsmAdjustActivationTokenPkgClaim
        184   B7 00004AA0 PsmAdjustActivationTokenWithDynamicId
        185   B8 00001140 PsmCreateBrokerToken
        186   B9 00004AF0 PsmCreateMatchToken
        187   BA 00001010 PsmQueryBackgroundActivationType
        188   BB 00002570 PsmRegisterApplicationProcess
        189   BC 00004D80 PsmRegisterDesktopProcess
        190   BD 00002580 PsmRegisterDesktopProcessWithAppContainerToken
        191   BE 00002470 PsmRegisterServiceProcess
        192   BF 00003B00 PublishStateChangeNotification
        193   C0 00003B10 PublisherFromPackageFullName
        194   C1 00003B20 QueryStateAtomValueInfo
        195   C2 00003B30 QueryStateContainerCreatedNew
        196   C3 00003B40 QueryStateContainerItemInfo
        197   C4 00003B50 ReadStateAtomValue
        198   C5 00003B60 ReadStateContainerValue
        199   C6 00003B70 RefreshPackageInfo
        200   C7 00003B80 RegisterStateChangeNotification
        201   C8 00003B90 RegisterStateLock
        202   C9 00003BA0 ReleaseStateLock
        203   CA 00003BB0 RemoveExtensionProgIds
        204   CB 00003BC0 RemovePackageFromFamilyXref
        205   CC 00003BD0 RemovePackageStatus
        206   CD 00003BE0 RemovePackageStatusForUser
        207   CE 00003BF0 ResetState
        208   CF 00003C00 SaveAlternatePackageRootPath
        209   D0 00003C10 SaveStateRootFolderPath
        210   D1 00003C20 SetExtensionProperty
        211   D2 00003C30 SetIsDeveloperModeEnabled
        212   D3 00003C40 SetIsSideloadingEnabled
        213   D4 00003C50 SetProtocolProperty
        214   D5 00003C60 SetRoamingLastObservedChangeTime
        215   D6 00003C70 SetStateVersion
        216   D7 00003C80 SharedLocalIsEnabled
        217   D8 00003C90 SubscribeStateChangeNotification
        218   D9 00003CA0 UnregisterStateChangeNotification
        219   DA 00003CB0 UnregisterStateLock
        220   DB 00003CC0 UnsubscribeStateChangeNotification
        221   DC 00003CD0 UpdatePackageStatus
        222   DD 00003CE0 UpdatePackageStatusForUser
        223   DE 00003CF0 UpdatePackageStatusForUserSid
        224   DF 00003D00 VerifyApplicationUserModelId
        225   E0 00003D10 VerifyApplicationUserModelIdA
        226   E1 00003D20 VerifyPackageFamilyName
        227   E2 00003D30 VerifyPackageFamilyNameA
        228   E3 00003D40 VerifyPackageFullName
        229   E4 00003D50 VerifyPackageFullNameA
        230   E5 00003D60 VerifyPackageId
        231   E6 00003D70 VerifyPackageIdA
        232   E7 00003D80 VerifyPackagePublisher
        233   E8 00003D90 VerifyPackagePublisherA
        234   E9 00003DA0 VerifyPackageRelativeApplicationId
        235   EA 00003DB0 VerifyPackageRelativeApplicationIdA
        236   EB 00003DC0 WriteStateAtomValue
        237   EC 00003DD0 WriteStateContainerValue

  Summary

        1000 .data
        1000 .didat
        1000 .pdata
        8000 .rdata
        1000 .reloc
        1000 .rsrc
        4000 .text
