
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1494  1E9 000A58C0 RpcServerUseAllProtseqsIf
       1495  1EA 000A5910 RpcServerUseAllProtseqsIfEx
       1496  1EB 0006CA80 RpcServerUseProtseqA
       1497  1EC 000B5590 RpcServerUseProtseqEpA
       1498  1ED 000B55F0 RpcServerUseProtseqEpExA
       1499  1EE 00071ED0 RpcServerUseProtseqEpExW
       1500  1EF 00007B40 RpcServerUseProtseqEpW
       1501  1F0 000B5620 RpcServerUseProtseqExA
       1502  1F1 00072090 RpcServerUseProtseqExW
       1503  1F2 000B5650 RpcServerUseProtseqIfA
       1504  1F3 000B56A0 RpcServerUseProtseqIfExA
       1505  1F4 00071660 RpcServerUseProtseqIfExW
       1506  1F5 00071610 RpcServerUseProtseqIfW
       1507  1F6 000079E0 RpcServerUseProtseqW
       1508  1F7 000B15E0 RpcServerYield
       1509  1F8 000CEE80 RpcSmAllocate
       1510  1F9 000CEED0 RpcSmClientFree
       1511  1FA 000674F0 RpcSmDestroyClientContext
       1512  1FB 000CEEF0 RpcSmDisableAllocate
       1513  1FC 000CEF20 RpcSmEnableAllocate
       1514  1FD 000CEF50 RpcSmFree
       1515  1FE 000CEF70 RpcSmGetThreadHandle
       1516  1FF 000CEFB0 RpcSmSetClientAllocFree
       1517  200 000CEFD0 RpcSmSetThreadHandle
       1518  201 000CEFF0 RpcSmSwapClientAllocFree
       1519  202 000CF010 RpcSsAllocate
       1520  203 00063960 RpcSsContextLockExclusive
       1521  204 000C42D0 RpcSsContextLockShared
       1522  205 00067510 RpcSsDestroyClientContext
       1523  206 000CF0A0 RpcSsDisableAllocate
       1524  207          RpcSsDontSerializeContext (forwarded to RPCRT4.I_RpcSsDontSerializeContext)
       1525  208 000CF0B0 RpcSsEnableAllocate
       1526  209 000CF0C0 RpcSsFree
       1527  20A 00066410 RpcSsGetContextBinding
       1528  20B 000CF0D0 RpcSsGetThreadHandle
       1529  20C 000CF130 RpcSsSetClientAllocFree
       1530  20D 000CF1A0 RpcSsSetThreadHandle
       1531  20E 000CF270 RpcSsSwapClientAllocFree
       1532  20F 00007490 RpcStringBindingComposeA
       1533  210 0000C3D0 RpcStringBindingComposeW
       1534  211 00009BC0 RpcStringBindingParseA
       1535  212 0003CE10 RpcStringBindingParseW
       1536  213 000683D0 RpcStringFreeA
       1537  214 0000CD50 RpcStringFreeW
       1538  215 000B1630 RpcTestCancel
       1539  216 000CA5E0 RpcUserFree
       1540  217 000F33F0 SimpleTypeAlignment
       1541  218 000F3330 SimpleTypeBufferSize
       1542  219 000F19E0 SimpleTypeMemorySize
       1543  21A 0000F0D0 TowerConstruct
       1544  21B 0000EB50 TowerExplode
       1545  21C 00060ED0 UuidCompare
       1546  21D 00057720 UuidCreate
       1547  21E 0006CD10 UuidCreateNil
       1548  21F 00062A50 UuidCreateSequential
       1549  220 0005C190 UuidEqual
       1550  221 0006C8B0 UuidFromStringA
       1551  222 00009010 UuidFromStringW
       1552  223 00003B70 UuidHash
       1553  224 00061080 UuidIsNil
       1554  225 00068710 UuidToStringA
       1555  226 000095F0 UuidToStringW
       1018  227 000ED428 pfnFreeRoutines
       1019  228 000ED430 pfnMarshallRoutines
       1020  229 000ED438 pfnSizeRoutines
       1021  22A 000ED440 pfnUnmarshallRoutines
       1000      00065210 [NONAME]

  Summary

        2000 .data
        1000 .didat
        7000 .ndr64
        D000 .pdata
       2C000 .rdata
        2000 .reloc
        5000 .rsrc
       DA000 .text
