
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1120   6C 00007A80 I_RpcServerUseProtseq2W
       1121   6D 000717A0 I_RpcServerUseProtseqEp2A
       1122   6E 00007BA0 I_RpcServerUseProtseqEp2W
       1123   6F 000A4C80 I_RpcSessionStrictContextHandle
       1124   70 000683E0 I_RpcSetDCOMAppId
       1125   71 0002F1C0 I_RpcSetSystemHandle
       1126   72 000C41B0 I_RpcSsDontSerializeContext
       1127   73 000720C0 I_RpcSystemFunction001
       1128   74 0005D570 I_RpcSystemHandleTypeSpecificWork
       1129   75 000ADBD0 I_RpcTransConnectionAllocatePacket
       1130   76 000ADBE0 I_RpcTransConnectionFreePacket
       1131   77 000680A0 I_RpcTransConnectionReallocPacket
       1132   78 0006B6E0 I_RpcTransDatagramAllocate
       1133   79 0006B6E0 I_RpcTransDatagramAllocate2
       1134   7A 0006B6E0 I_RpcTransDatagramFree
       1135   7B 000B14F0 I_RpcTransGetThreadEvent
       1136   7C 000B1510 I_RpcTransGetThreadEventThreadOptional
       1137   7D 000ADC60 I_RpcTransIoCancelled
       1138   7E 000B0EC0 I_RpcTransServerNewConnection
       1139   7F 000A6780 I_RpcTurnOnEEInfoPropagation
       1011   80 000A59E0 I_RpcVerifierCorruptionExpected
       1140   81 000B5830 I_UuidCreate
       1141   82 00054C60 MesBufferHandleReset
       1142   83 00054E40 MesDecodeBufferHandleCreate
       1143   84 00054A10 MesDecodeIncrementalHandleCreate
       1144   85 00054BD0 MesEncodeDynBufferHandleCreate
       1145   86 00055010 MesEncodeFixedBufferHandleCreate
       1146   87 00054970 MesEncodeIncrementalHandleCreate
       1147   88 00057140 MesHandleFree
       1148   89 00054AB0 MesIncrementalHandleReset
       1149   8A 000C9070 MesInqProcEncodingId
       1150   8B 0002AC60 NDRCContextBinding
       1151   8C 0002A900 NDRCContextMarshall
       1152   8D 000C3CD0 NDRCContextUnmarshall
       1153   8E 000C41D0 NDRSContextMarshall
       1154   8F 0002A9A0 NDRSContextMarshall2
       1155   90 000C4240 NDRSContextMarshallEx
       1156   91 000C4260 NDRSContextUnmarshall
       1157   92 000139A0 NDRSContextUnmarshall2
       1158   93 000C42B0 NDRSContextUnmarshallEx
       1159   94 000DF770 Ndr64AsyncClientCall
       1160   95 000E1B70 Ndr64AsyncServerCall64
       1161   96 000DB240 Ndr64AsyncServerCallAll
       1162   97 000C83A0 Ndr64DcomAsyncClientCall
       1163   98 000C8420 Ndr64DcomAsyncStubCall
       1164   99 000CA420 NdrAllocate
       1165   9A 00001C60 NdrAsyncClientCall
       1166   9B 000024C0 NdrAsyncServerCall
       1167   9C 00061560 NdrByteCountPointerBufferSize
       1168   9D 000625E0 NdrByteCountPointerFree
       1169   9E 00061450 NdrByteCountPointerMarshall
