
Dump of file C:\Windows\System32\MSFlacDecoder.dll

File Type: DLL

  Section contains the following exports for MSFLACDecoder.dll

    00000000 characteristics
    E070C79A time date stamp
        0.00 version
           1 ordinal base
         169 number of functions
         169 number of names

    ordinal hint RVA      name

         31   1E 00002AE0 ??0Unknown@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         32   1F 00002AA0 ??0Unknown@Metadata@FLAC@@QEAA@AEBV012@@Z
         33   20 00002B20 ??0Unknown@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
         34   21 00002AE0 ??0Unknown@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         35   22 00002AE0 ??0VorbisComment@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         36   23 00002AA0 ??0VorbisComment@Metadata@FLAC@@QEAA@AEBV012@@Z
         37   24 00002B20 ??0VorbisComment@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
         38   25 00002AE0 ??0VorbisComment@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         39   26 00002BC0 ??4Application@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         40   27 00002B70 ??4Application@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         41   28 00002BC0 ??4Application@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         42   29 00002E40 ??4Chain@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         43   2A 00002BC0 ??4CueSheet@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         44   2B 00002B70 ??4CueSheet@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         45   2C 00002BC0 ??4CueSheet@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         46   2D 00002E40 ??4Iterator@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         47   2E 00002BC0 ??4Padding@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         48   2F 00002B70 ??4Padding@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         49   30 00002BC0 ??4Padding@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         50   31 00002BC0 ??4Picture@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         51   32 00002B70 ??4Picture@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         52   33 00002BC0 ??4Picture@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         53   34 00002BC0 ??4SeekTable@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         54   35 00002B70 ??4SeekTable@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         55   36 00002BC0 ??4SeekTable@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
