
Dump of file C:\Windows\System32\wintrust.dll

File Type: DLL

  Section contains the following exports for WINTRUST.dll

    00000000 characteristics
    7103DA53 time date stamp
        0.00 version
           1 ordinal base
         159 number of functions
         159 number of names

    ordinal hint RVA      name

        120   77 00025CA0 WVTAsn1IntentToSealAttributeDecode
        121   78 00025D50 WVTAsn1IntentToSealAttributeEncode
        122   79 00025D90 WVTAsn1SealingSignatureAttributeDecode
        123   7A 00025E70 WVTAsn1SealingSignatureAttributeEncode
        124   7B 00025F30 WVTAsn1SealingTimestampAttributeDecode
        125   7C 00026010 WVTAsn1SealingTimestampAttributeEncode
        126   7D 00026070 WVTAsn1SpcFinancialCriteriaInfoDecode
        127   7E 00026130 WVTAsn1SpcFinancialCriteriaInfoEncode
        128   7F 00026170 WVTAsn1SpcIndirectDataContentDecode
        129   80 00026320 WVTAsn1SpcIndirectDataContentEncode
        130   81 00026410 WVTAsn1SpcLinkDecode
        131   82 0000EDC0 WVTAsn1SpcLinkEncode
        132   83 000264F0 WVTAsn1SpcMinimalCriteriaInfoDecode
        133   84 000265B0 WVTAsn1SpcMinimalCriteriaInfoEncode
        134   85 000265F0 WVTAsn1SpcPeImageDataDecode
        135   86 00011580 WVTAsn1SpcPeImageDataEncode
        136   87 00026730 WVTAsn1SpcSigInfoDecode
        137   88 000267F0 WVTAsn1SpcSigInfoEncode
        138   89 00026860 WVTAsn1SpcSpAgencyInfoDecode
        139   8A 00026BF0 WVTAsn1SpcSpAgencyInfoEncode
        140   8B 00026DA0 WVTAsn1SpcSpOpusInfoDecode
        141   8C 00026EF0 WVTAsn1SpcSpOpusInfoEncode
        142   8D 00026FD0 WVTAsn1SpcStatementTypeDecode
        143   8E 00027100 WVTAsn1SpcStatementTypeEncode
        144   8F 00002B80 WinVerifyTrust
        145   90 000298F0 WinVerifyTrustEx
        146   91 000271C0 WintrustAddActionID
        147   92 00028FE0 WintrustAddDefaultForUsage
        148   93 0000BA50 WintrustCertificateTrust
        149   94 00029330 WintrustGetDefaultForUsage
        150   95 00027F20 WintrustGetRegPolicyFlags
        151   96 00002980 WintrustLoadFunctionPointers
        152   97 000273E0 WintrustRemoveActionID
        153   98 000343E0 WintrustSetDefaultIncludePEPageHashes
        154   99 00027FE0 WintrustSetRegPolicyFlags
        155   9A 0003AAD0 WintrustUserWriteabilityCheck
        156   9B 000100A0 mscat32DllRegisterServer
        157   9C 000100A0 mscat32DllUnregisterServer
        158   9D 00032FA0 mssip32DllRegisterServer
        159   9E 000331F0 mssip32DllUnregisterServer

  Summary

        2000 .data
        1000 .didat
        4000 .pdata
       14000 .rdata
        1000 .reloc
        2000 .rsrc
       4A000 .text
