
Dump of file C:\Windows\System32\crypt32.dll

File Type: DLL

  Section contains the following exports for CRYPT32.dll

    00000000 characteristics
    6D85013F time date stamp
        0.00 version
        1001 ordinal base
        1000 number of functions
         295 number of names

    ordinal hint RVA      name

       1143   7B 0004D4C0 CryptAcquireCertificatePrivateKey
       1144   7C 00009F50 CryptBinaryToStringA
       1145   7D 00009E10 CryptBinaryToStringW
       1146   7E 0008C410 CryptCloseAsyncHandle
       1147   7F 0008C440 CryptCreateAsyncHandle
       1148   80 00089B90 CryptCreateKeyIdentifierFromCSP
       1149   81 0008DE40 CryptDecodeMessage
       1150   82 00031310 CryptDecodeObject
       1151   83 00031350 CryptDecodeObjectEx
       1152   84 0008DEE0 CryptDecryptAndVerifyMessageSignature
       1153   85 0008E110 CryptDecryptMessage
       1154   86 0001BA00 CryptEncodeObject
       1155   87 00033830 CryptEncodeObjectEx
       1156   88 0008E180 CryptEncryptMessage
       1157   89 0007E410 CryptEnumKeyIdentifierProperties
       1158   8A 000251D0 CryptEnumOIDFunction
       1159   8B 0009D190 CryptEnumOIDInfo
       1160   8C 000D2FA0 CryptExportPKCS8
       1161   8D 00089C20 CryptExportPublicKeyInfo
       1162   8E 0004D860 CryptExportPublicKeyInfoEx
       1163   8F 00089C60 CryptExportPublicKeyInfoFromBCryptKeyHandle
       1164   90 00081660 CryptFindCertificateKeyProvInfo
       1165   91 0009D290 CryptFindLocalizedName
       1166   92 00032430 CryptFindOIDInfo
       1167   93 000A8A70 CryptFormatObject
       1168   94 00028130 CryptFreeOIDFunctionAddress
       1169   95 0008C470 CryptGetAsyncParam
       1170   96 00027DE0 CryptGetDefaultOIDDllList
       1171   97 000278A0 CryptGetDefaultOIDFunctionAddress
       1172   98 0007E510 CryptGetKeyIdentifierProperty
       1173   99 0008E260 CryptGetMessageCertificates
       1174   9A 0008E2A0 CryptGetMessageSignerCount
       1175   9B 00033AF0 CryptGetOIDFunctionAddress
       1176   9C 0009B530 CryptGetOIDFunctionValue
       1177   9D 000133D0 CryptHashCertificate
       1178   9E 0002A900 CryptHashCertificate2
       1179   9F 0008E350 CryptHashMessage
       1180   A0 000042D0 CryptHashPublicKeyInfo
       1181   A1 00031D90 CryptHashToBeSigned
       1182   A2 000D33A0 CryptImportPKCS8
       1183   A3 00006A00 CryptImportPublicKeyInfo
       1184   A4 00027FA0 CryptImportPublicKeyInfoEx
       1185   A5 000329A0 CryptImportPublicKeyInfoEx2
       1186   A6 000108D0 CryptInitOIDFunctionSet
       1187   A7 000AE380 CryptInstallDefaultContext
       1188   A8 00010860 CryptInstallOIDFunctionAddress
       1189   A9 000E78C0 CryptLoadSip
       1190   AA 00016540 CryptMemAlloc
       1191   AB 00015760 CryptMemFree
       1192   AC 000AE810 CryptMemRealloc
       1193   AD 000E9880 CryptMsgCalculateEncodedLength
       1194   AE 00031680 CryptMsgClose
       1195   AF 00047240 CryptMsgControl
       1196   B0 000F4610 CryptMsgCountersign
       1197   B1 000F47B0 CryptMsgCountersignEncoded
       1198   B2 0001CD00 CryptMsgDuplicate
       1199   B3 000F4F90 CryptMsgEncodeAndSignCTL
       1200   B4 00008450 CryptMsgGetAndVerifySigner
       1201   B5 00043ED0 CryptMsgGetParam
       1202   B6 000282A0 CryptMsgOpenToDecode
       1203   B7 000F4B50 CryptMsgOpenToEncode
       1204   B8 000F5090 CryptMsgSignCTL
       1205   B9 0003BE90 CryptMsgUpdate
       1206   BA 000F4C60 CryptMsgVerifyCountersignatureEncoded
       1207   BB 000F4CC0 CryptMsgVerifyCountersignatureEncodedEx
       1012   BC 000CF740 CryptObjectLocatorFree
       1013   BD 000CF790 CryptObjectLocatorGet
       1014   BE 000CF7D0 CryptObjectLocatorGetContent
       1015   BF 000CF890 CryptObjectLocatorGetUpdated
       1016   C0 000CF8E0 CryptObjectLocatorInitialize
