
Dump of file C:\Windows\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    BAF10630 time date stamp
        0.00 version
           1 ordinal base
         591 number of functions
         457 number of names

    ordinal hint RVA      name

        334   7F 001A4790 CoSetCancelObject
        335   80 00086B10 CoSetErrorInfo
        336   81 000AFF80 CoSetProxyBlanket
        337   82 000C2E00 CoSuspendClassObjects
        338   83 000C3590 CoSwitchCallContext
        339   84 000B8BD0 CoTaskMemAlloc
        340   85 000B7060 CoTaskMemFree
        341   86 000CCBC0 CoTaskMemRealloc
        342   87 001A4830 CoTestCancel
        343   88 0005C0E0 CoUninitialize
        344   89 000EBF30 CoUnloadingWOW
        345   8A 001984B0 CoUnmarshalHresult
        346   8B 000367A0 CoUnmarshalInterface
        347   8C 001D2100 CoVrfCheckThreadState
        348   8D 001D2710 CoVrfGetThreadState
        349   8E 001D2820 CoVrfReleaseThreadState
        350   8F 00045AD0 CoWaitForMultipleHandles
        351   90 000D3B50 CoWaitForMultipleObjects
        352   91 000E3770 CreateErrorInfo
        353   92 000C1690 CreateStreamOnHGlobal
        354   93 000A6180 DcomChannelSetHResult
        355   94 001B8B00 DllDebugObjectRPCHook
        356   95 000DF780 DllGetActivationFactory
        357   96 0008FF90 DllGetClassObject
        358   97 00199DE0 EnableHookObject
        359   98 000B47B0 FreePropVariantArray
        360   99 000B47C0 FreePropVariantArrayWorker
        361   9A 000E0C40 GetCatalogHelper
        362   9B 000D1E60 GetErrorInfo
        363   9C 00091240 GetFuncDescs
        364   9D 000D49A0 GetHGlobalFromStream
        365   9E 00199E40 GetHookInterface
        366   9F 00089680 GetRestrictedErrorInfo
        367   A0 000137F0 HACCEL_UserFree
        368   A1 000137F0 HACCEL_UserFree64
        369   A2 001DABC0 HACCEL_UserMarshal
        370   A3 001DABC0 HACCEL_UserMarshal64
        371   A4 001DABD0 HACCEL_UserSize
        372   A5 001DABD0 HACCEL_UserSize64
        373   A6 001DABE0 HACCEL_UserUnmarshal
        374   A7 001DABE0 HACCEL_UserUnmarshal64
        375   A8 00012BF0 HBITMAP_UserFree
        376   A9 00012260 HBITMAP_UserFree64
        377   AA 000122B0 HBITMAP_UserMarshal
        378   AB 00011540 HBITMAP_UserMarshal64
        379   AC 000125F0 HBITMAP_UserSize
        380   AD 00011CC0 HBITMAP_UserSize64
        381   AE 000116F0 HBITMAP_UserUnmarshal
        382   AF 000103E0 HBITMAP_UserUnmarshal64
        383   B0 000137F0 HBRUSH_UserFree
        384   B1 000137F0 HBRUSH_UserFree64
        385   B2 001DABC0 HBRUSH_UserMarshal
        386   B3 001DABC0 HBRUSH_UserMarshal64
        387   B4 001DABD0 HBRUSH_UserSize
        388   B5 001DABD0 HBRUSH_UserSize64
        389   B6 001DABE0 HBRUSH_UserUnmarshal
        390   B7 001DABE0 HBRUSH_UserUnmarshal64
        391   B8 001DAB90 HDC_UserFree
        392   B9 000137F0 HDC_UserFree64
        393   BA 001DABC0 HDC_UserMarshal
        394   BB 001DABC0 HDC_UserMarshal64
        395   BC 001DABD0 HDC_UserSize
        396   BD 001DABD0 HDC_UserSize64
        397   BE 001DABE0 HDC_UserUnmarshal
        398   BF 001DABE0 HDC_UserUnmarshal64
        399   C0 0000F640 HGLOBAL_UserFree
        400   C1 0000F640 HGLOBAL_UserFree64
        401   C2 00010310 HGLOBAL_UserMarshal
        402   C3 0000E3F0 HGLOBAL_UserMarshal64
        403   C4 00010720 HGLOBAL_UserSize
        404   C5 0000E200 HGLOBAL_UserSize64
        405   C6 0000F9C0 HGLOBAL_UserUnmarshal
        406   C7 0000E680 HGLOBAL_UserUnmarshal64
        407   C8 000137F0 HICON_UserFree
        408   C9 000137F0 HICON_UserFree64
        409   CA 000124A0 HICON_UserMarshal
        410   CB 000124A0 HICON_UserMarshal64
        411   CC 000124B0 HICON_UserSize
        412   CD 000124B0 HICON_UserSize64
        413   CE 00012490 HICON_UserUnmarshal
        414   CF 00012490 HICON_UserUnmarshal64
        415   D0 000137F0 HMENU_UserFree
        416   D1 000137F0 HMENU_UserFree64
        417   D2 001DABC0 HMENU_UserMarshal
        418   D3 001DABC0 HMENU_UserMarshal64
        419   D4 001DABD0 HMENU_UserSize
        420   D5 001DABD0 HMENU_UserSize64
        421   D6 001DABE0 HMENU_UserUnmarshal
        422   D7 001DABE0 HMENU_UserUnmarshal64
