
Dump of file C:\Windows\System32\resutils.dll

File Type: DLL

  Section contains the following exports for RESUTILS.dll

    00000000 characteristics
    7A7EBA57 time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

        121   78 00004FC0 ResUtilSetBinaryValue
        122   79 000054B0 ResUtilSetDwordValue
        123   7A 000052A0 ResUtilSetExpandSzValue
        124   7B 000053C0 ResUtilSetMultiSzValue
        125   7C 00001F10 ResUtilSetPrivatePropertyList
        126   7D 00001CB0 ResUtilSetPropertyParameterBlock
        127   7E 00001D70 ResUtilSetPropertyParameterBlockEx
        128   7F 00001AF0 ResUtilSetPropertyTable
        129   80 00001BD0 ResUtilSetPropertyTableEx
        130   81 00005500 ResUtilSetQwordValue
        131   82 00009480 ResUtilSetResourceServiceEnvironment
        132   83 00009A80 ResUtilSetResourceServiceStartParameters
        133   84 000097C0 ResUtilSetResourceServiceStartParametersEx
        134   85 00005160 ResUtilSetSzValue
        135   86 00001E40 ResUtilSetUnknownProperties
        136   87 000050B0 ResUtilSetValueEx
        137   88 000044D0 ResUtilStartResourceService
        138   89 00004620 ResUtilStopResourceService
        139   8A 00004830 ResUtilStopService
        140   8B 00004980 ResUtilTerminateServiceProcessFromResDll
        141   8C 00001EE0 ResUtilVerifyPrivatePropertyList
        142   8D 00001AA0 ResUtilVerifyPropertyTable
        143   8E 00004760 ResUtilVerifyResourceService
        144   8F 00004910 ResUtilVerifyService
        145   90 0000AC20 ResUtilsDeleteKeyTree

  Summary

        6000 .data
        1000 .didat
        5000 .pdata
       26000 .rdata
        1000 .reloc
        1000 .rsrc
       67000 .text
