
Dump of file C:\Windows\System32\vdsutil.dll

File Type: DLL

  Section contains the following exports for vdsutil.dll

    00000000 characteristics
    5B6C884E time date stamp
        0.00 version
           1 ordinal base
         238 number of functions
         238 number of names

    ordinal hint RVA      name

         73   48 00009BE0 ?NotificationThread@CVdsPnPNotificationBase@@AEAAKPEAX@Z
         74   49 00009B80 ?NotificationThreadEntry@CVdsPnPNotificationBase@@CAKPEAX@Z
         75   4A 00011310 ?Prev@CRtlListIter@@QEAAAEAV1@XZ
         76   4B 00002AE0 ?QueryStatus@CVdsAsyncObjectBase@@UEAAJPEAJPEAK@Z
         77   4C 000097D0 ?Register@CVdsPnPNotificationBase@@QEAAKPEAU_NotificationListeningRequest@@K@Z
         78   4D 00009A10 ?RegisterHandle@CVdsPnPNotificationBase@@QEAAKPEAXPEAPEAX@Z
         79   4E 000010F0 ?Release@CRtlSharedLock@@AEAAXXZ
         80   4F 00011560 ?Remove@CRtlList@@QEAAXAEAVCRtlListIter@@@Z
         81   50 00010F40 ?Remove@CRtlMap@@QEAAHAEAVCRtlEntry@@@Z
         82   51 00011600 ?RemoveAll@CRtlList@@QEAAXXZ
         83   52 00010FB0 ?RemoveAll@CRtlMap@@QEAAXH@Z
         84   53 00002370 ?Reset@CPrvEnumObject@@UEAAJXZ
         85   54 00010A90 ?Reset@CVdsWmiVariantObjectArrayEnum@@QEAAJXZ
         86   55 00002920 ?SetCompletionStatus@CVdsAsyncObjectBase@@QEAAXJK@Z
         87   56 000013C0 ?SetOutput@CVdsAsyncObjectBase@@QEAAXU_VDS_ASYNC_OUTPUT@@@Z
         88   57 000013B0 ?SetOutputType@CVdsAsyncObjectBase@@QEAAXW4_VDS_ASYNC_OUTPUT_TYPE@@@Z
         89   58 00001370 ?SetPositionToLast@CPrvEnumObject@@QEAAXXZ
         90   59 000027E0 ?Signal@CVdsAsyncObjectBase@@QEAAXXZ
         91   5A 000022D0 ?Skip@CPrvEnumObject@@UEAAJK@Z
         92   5B 00002760 ?Uninitialize@CVdsAsyncObjectBase@@SAXXZ
         93   5C 00009490 ?Uninitialize@CVdsPnPNotificationBase@@QEAAXXZ
         94   5D 000098E0 ?Unregister@CVdsPnPNotificationBase@@QEAAXPEAU_NotificationListeningRequest@@@Z
         95   5E 00009AF0 ?UnregisterHandle@CVdsPnPNotificationBase@@QEAAXPEAX@Z
         96   5F 00001150 ?Upgrade@CRtlSharedLock@@AEAAXXZ
         97   60 00002A10 ?WaitImpl@CVdsAsyncObjectBase@@QEAAJPEAJ@Z
         98   61 00009E50 ?WindowProcEntry@CVdsPnPNotificationBase@@CA_JPEAUHWND__@@I_K_J@Z
         99   62 00001420 ?ZeroAsyncOut@CVdsAsyncObjectBase@@QEAAXXZ
        100   63 00001040 ?m_ExtraLogging@CVdsTraceSettings@@QEAAHXZ
        101   64 00001030 ?m_NoDebuggerLogging@CVdsTraceSettings@@QEAAHXZ
        102   65 00001520 AcquireRundownProtection
        103   66 00003950 AddEventSource
        104   67 00007B80 AllocateAndGetVolumePathName
        105   68 00007D00 AssignTempVolumeName
        106   69 0000D920 BacksBootVolume
        107   6A 0000D970 BootBackedByWim
        108   6B 00008E50 CoFreeStringArray
        109   6C 00007690 CreateDeviceInfoSet
        110   6D 0000B8E0 DeleteBcdObjects
        111   6E 00007FB0 DeleteNetworkShare
        112   6F 00003460 DllMain
        113   70 00008150 GarbageCollectDriveLetters
        114   71 0000A9D0 GetBootDiskNumber
        115   72 0000ABD0 GetBootFromDiskNumber
        116   73 0000A740 GetBootVolumeHandle
        117   74 0000A2D0 GetDefaultAlignment
        118   75 000057E0 GetDeviceAndMediaType
        119   76 00004FA0 GetDeviceId
        120   77 000065B0 GetDeviceLocation
        121   78 000068E0 GetDeviceLocationEx
        122   79 000062D0 GetDeviceLocationPath
        123   7A 00006ED0 GetDeviceManufacturerInfo
        124   7B 00004E40 GetDeviceName
        125   7C 00004B30 GetDeviceNumber
        126   7D 000071D0 GetDeviceRegistryPropertyByInfo
        127   7E 00007420 GetDeviceRegistryPropertyByInst
        128   7F 000085D0 GetDiskFlags
        129   80 00002FD0 GetDiskIdentifiers
        130   81 00005290 GetDiskLayout
        131   82 00008770 GetDiskOfflineReason
        132   83 0000D720 GetDiskRedundancyCount
        133   84 00011CE0 GetFMIFSEnableCompressionRoutine
        134   85 00011CC0 GetFMIFSFormatEx2Routine
        135   86 00011D00 GetFMIFSGetDefaultFilesystemRoutine
        136   87 00011D40 GetFMIFSQueryDeviceInfo
        137   88 00011D20 GetFMIFSQueryDeviceInfoByHandle
        138   89 0000D4E0 GetFileSystemRecognitionName
        139   8A 00005100 GetInterfaceDetailData
        140   8B 00005670 GetIsRemovable
        141   8C 00005C30 GetMediaGeometry
        142   8D 00005D00 GetMediaGeometryEx
        143   8E 00007820 GetPartitionInformation
        144   8F 0000A0D0 GetRegistryValue
        145   90 00006CD0 GetStorageAccessAlignmentProperty
        146   91 0000A500 GetSystemVolumeHandle
        147   92 00005430 GetVolumeDiskExtentInfo
        148   93 0000CF90 GetVolumeGuidPathnames
        149   94 000078D0 GetVolumeName
        150   95 0000CA70 GetVolumePath
        151   96 00004710 GetVolumeSize
        152   97 0000C860 GetVolumeUniqueId
        153   98 000091B0 GuidToString
        154   99 000014F0 InitializeRundownProtection
        155   9A 00004380 InitializeSecurityDescriptorHelper
        156   9B 0000D400 InvalidateDiskCache
        157   9C 0000CBF0 IoctlMountmgrQueryPointsDevicePath
        158   9D 0000D850 IsClientSKU
        159   9E 00007590 IsDeviceFullyInstalled
        160   9F 00008340 IsDiskClustered
        161   A0 00004BF0 IsDiskCurrentStateReadOnly
        162   A1 00004D00 IsDiskReadOnly
        163   A2 0000A080 IsDriveLetter
        164   A3 00008DF0 IsEfiFirmware
        165   A4 000040C0 IsLocalComputer
        166   A5 00005750 IsMediaPresent
        167   A6 00008CD0 IsNoAutoMount
        168   A7 000049A0 IsRamDrive
        169   A8 0000D8E0 IsRunningOnAMD64
        170   A9 000040A0 IsVdsLoggingEnabled
        171   AA 00008C30 IsWinPE
        172   AB 00008FE0 LockDismountVolume
        173   AC 00008EF0 LockVolume
        174   AD 00003D80 LogError
        175   AE 00003C70 LogEvent
        176   AF 00003FA0 LogInfo
        177   B0 00003E90 LogWarning
