
Dump of file C:\Windows\System32\spool\drivers\x64\3\Old\1\FXSAPI.DLL

File Type: DLL

  Section contains the following exports for FXSAPI.dll

    00000000 characteristics
    259CAF98 time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

        130   81 00007CA0 FaxSetActivityLoggingConfigurationW
        131   82 00007240 FaxSetArchiveConfigurationA
        132   83 00007420 FaxSetArchiveConfigurationW
        133   84 0000ABA0 FaxSetConfigWizardUsed
        134   85 00003510 FaxSetConfigurationA
        135   86 00003290 FaxSetConfigurationW
        136   87 00009160 FaxSetDeviceOrderInGroupA
        137   88 00009260 FaxSetDeviceOrderInGroupW
        138   89 0001CB90 FaxSetExtensionDataA
        139   8A 0001CC60 FaxSetExtensionDataW
        140   8B 0000C0A0 FaxSetGeneralConfiguration
        141   8C 00004FD0 FaxSetGlobalRoutingInfoA
        142   8D 00004DD0 FaxSetGlobalRoutingInfoW
        143   8E 00011D60 FaxSetJobA
        144   8F 00011B70 FaxSetJobW
        145   90 00003CE0 FaxSetLoggingCategoriesA
        146   91 00003F90 FaxSetLoggingCategoriesW
        147   92 00018410 FaxSetMessage
        148   93 000083D0 FaxSetOutboundGroupA
        149   94 000086B0 FaxSetOutboundGroupW
        150   95 00009FB0 FaxSetOutboundRuleA
        151   96 0000A200 FaxSetOutboundRuleW
        152   97 00006BB0 FaxSetOutboxConfiguration
        153   98 0001A260 FaxSetPortA
        154   99 0001BE80 FaxSetPortExA
        155   9A 0001C0A0 FaxSetPortExW
        156   9B 0001A050 FaxSetPortW
        157   9C 00005A10 FaxSetQueue
        158   9D 00006240 FaxSetReceiptsConfigurationA
        159   9E 00006550 FaxSetReceiptsConfigurationW
        160   9F 0001B240 FaxSetRoutingInfoA
        161   A0 0001B080 FaxSetRoutingInfoW
        162   A1 0000DE90 FaxSetSecurity
        163   A2 0000DEB0 FaxSetSecurityEx2
        164   A3 000225B0 FaxSetSenderInformation
        165   A4 00017710 FaxStartMessagesEnum
        166   A5 00017BB0 FaxStartMessagesEnumEx
        167   A6 0001D910 FaxStartPrintJob2W
        168   A7 0001CE90 FaxStartPrintJobA
        169   A8 0001CE60 FaxStartPrintJobW
        170   A9 00001960 FaxUnregisterForServerEvents
        171   AA 00021B20 FaxUnregisterRoutingExtensionA
        172   AB 00021C00 FaxUnregisterRoutingExtensionW
        173   AC 00022250 FaxUnregisterServiceProviderExA
        174   AD 00022330 FaxUnregisterServiceProviderExW
        175   AE 00019A90 IsDeviceVirtual

  Summary

        4000 .data
        1000 .didat
        2000 .pdata
        E000 .rdata
        1000 .reloc
        1000 .rsrc
       35000 .text
