
Dump of file C:\Windows\System32\Wldap32.dll

File Type: DLL

  Section contains the following exports for WLDAP32.dll

    00000000 characteristics
     5A1CCFB time date stamp
        0.00 version
          10 ordinal base
         324 number of functions
         245 number of names

    ordinal hint RVA      name

        158   97 0002C4F0 ldap_modrdn2A
        159   98 0002C690 ldap_modrdn2W
         68   99 0002C870 ldap_modrdn2_s
        160   9A 0002C870 ldap_modrdn2_sA
        161   9B 0002C9D0 ldap_modrdn2_sW
        162   9C 0002C4D0 ldap_modrdnA
        163   9D 0002CB30 ldap_modrdnW
         49   9E 0002CB50 ldap_modrdn_s
        164   9F 0002CB50 ldap_modrdn_sA
        165   A0 0002CB70 ldap_modrdn_sW
         41   A1 0003B170 ldap_msgfree
         33   A2 00007310 ldap_next_attribute
        166   A3 00007310 ldap_next_attributeA
        167   A4 000073F0 ldap_next_attributeW
         27   A5 000304D0 ldap_next_entry
        168   A6 00038480 ldap_next_reference
         25   A7 0001F350 ldap_open
        169   A8 0001F350 ldap_openA
        170   A9 0001F3C0 ldap_openW
        318   AA 00022970 ldap_parse_extended_resultA
        317   AB 00022A70 ldap_parse_extended_resultW
        171   AC 000214B0 ldap_parse_page_control
        172   AD 000214B0 ldap_parse_page_controlA
        173   AE 000215A0 ldap_parse_page_controlW
        174   AF 00038560 ldap_parse_reference
        175   B0 00038560 ldap_parse_referenceA
        176   B1 00038640 ldap_parse_referenceW
        177   B2 00022B70 ldap_parse_result
        178   B3 00022B70 ldap_parse_resultA
        179   B4 00022C90 ldap_parse_resultW
        180   B5 00035B10 ldap_parse_sort_control
        181   B6 00035B10 ldap_parse_sort_controlA
        182   B7 00035C00 ldap_parse_sort_controlW
        322   B8 00021690 ldap_parse_vlv_controlA
        321   B9 00021790 ldap_parse_vlv_controlW
         82   BA 0003B370 ldap_perror
        183   BB 0002CB90 ldap_rename_ext
        184   BC 0002CB90 ldap_rename_extA
        185   BD 0002CDF0 ldap_rename_extW
        186   BE 0002CF20 ldap_rename_ext_s
        187   BF 0002CF20 ldap_rename_ext_sA
        188   C0 0002D1B0 ldap_rename_ext_sW
         40   C1 00027990 ldap_result
         21   C2 0000FCC0 ldap_result2error
        315   C3 000345F0 ldap_sasl_bindA
        313   C4 00034830 ldap_sasl_bindW
        316   C5 00034990 ldap_sasl_bind_sA
        314   C6 00034BB0 ldap_sasl_bind_sW
         43   C7 000305B0 ldap_search
        189   C8 000305B0 ldap_searchA
        190   C9 00030790 ldap_searchW
        191   CA 00021890 ldap_search_abandon_page
        192   CB 000308D0 ldap_search_ext
        193   CC 000308D0 ldap_search_extA
        194   CD 00030AD0 ldap_search_extW
        195   CE 00030C20 ldap_search_ext_s
        196   CF 00030C20 ldap_search_ext_sA
        203   D0 00030F20 ldap_search_ext_sW
        204   D1 00021C00 ldap_search_init_page
        205   D2 00021C00 ldap_search_init_pageA
        206   D3 00021DE0 ldap_search_init_pageW
         50   D4 00031160 ldap_search_s
        207   D5 00031160 ldap_search_sA
        208   D6 000311A0 ldap_search_sW
         51   D7 000311E0 ldap_search_st
        209   D8 000311E0 ldap_search_stA
        210   D9 00031340 ldap_search_stW
        198   DA 0003B380 ldap_set_dbg_flags
        199   DB 0003B370 ldap_set_dbg_routine
        211   DC 00013600 ldap_set_option
        212   DD 00013600 ldap_set_optionA
         14   DE 000136E0 ldap_set_optionW
