
Dump of file C:\Windows\System32\mprapi.dll

File Type: DLL

  Section contains the following exports for MPRAPI.dll

    00000000 characteristics
    ED6512C4 time date stamp
        0.00 version
           1 ordinal base
         160 number of functions
         160 number of names

    ordinal hint RVA      name

        120   77 00027400 MprConfigInterfaceTransportAdd
        121   78 00027AF0 MprConfigInterfaceTransportEnum
        122   79 000277D0 MprConfigInterfaceTransportGetHandle
        123   7A 000278E0 MprConfigInterfaceTransportGetInfo
        124   7B 00027700 MprConfigInterfaceTransportRemove
        125   7C 00027A10 MprConfigInterfaceTransportSetInfo
        126   7D 00016390 MprConfigIsMultiTenancyEnabled
        127   7E 00016530 MprConfigRoutingDomainEnumEx
        128   7F 000166C0 MprConfigRoutingDomainGetConfigEx
        129   80 00016850 MprConfigRoutingDomainSetConfigEx
        130   81 00018440 MprConfigServerBackup
        131   82 000179E0 MprConfigServerConnect
        132   83 00017C30 MprConfigServerDisconnect
        133   84 00023B50 MprConfigServerGetInfo
        134   85 00023A00 MprConfigServerGetInfoEx
        135   86 00017030 MprConfigServerInstall
        136   87 00018D10 MprConfigServerRefresh
        137   88 00017EA0 MprConfigServerRestore
        138   89 00023CE0 MprConfigServerSetInfo
        139   8A 00023A70 MprConfigServerSetInfoEx
        140   8B 00023E10 MprConfigTransportCreate
        141   8C 000241A0 MprConfigTransportDelete
        142   8D 00024A80 MprConfigTransportEnum
        143   8E 00024280 MprConfigTransportGetHandle
        144   8F 00024840 MprConfigTransportGetInfo
        145   90 00024360 MprConfigTransportSetInfo
        146   91 00007B00 MprDomainQueryRasServer
        147   92 00007A40 MprDomainRegisterRasServer
        148   93 00001350 MprFreeInterfaceInfoEx
        149   94 0002BC80 MprGetUsrParams
        150   95 000321B0 MprInfoBlockAdd
        151   96 00032860 MprInfoBlockFind
        152   97 000328F0 MprInfoBlockQuerySize
        153   98 000323C0 MprInfoBlockRemove
        154   99 000325C0 MprInfoBlockSet
        155   9A 00032030 MprInfoCreate
        156   9B 000320B0 MprInfoDelete
        157   9C 00032120 MprInfoDuplicate
        158   9D 00032100 MprInfoRemoveAll
        159   9E 00016310 MprPortSetUsage
        160   9F 0002A8C0 RasPrivilegeAndCallBackNumber

  Summary

        1000 .data
        1000 .didat
        2000 .pdata
       27000 .rdata
        1000 .reloc
        1000 .rsrc
       56000 .text
