
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda64.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

          1    0 00206570 cuArray3DCreate
          2    1 001DDB20 cuArray3DCreate_v2
          3    2 002067F0 cuArray3DGetDescriptor
          4    3 001DDDA0 cuArray3DGetDescriptor_v2
          5    4 00206040 cuArrayCreate
          6    5 001DC9C0 cuArrayCreate_v2
          7    6 001DD7D0 cuArrayDestroy
          8    7 002062C0 cuArrayGetDescriptor
          9    8 001DCC40 cuArrayGetDescriptor_v2
         10    9 001DD520 cuArrayGetPlane
         11    A 001DCEF0 cuArrayGetSparseProperties
         12    B 001D0E90 cuCtxAttach
         13    C 00200F60 cuCtxCreate
         14    D 001CE600 cuCtxCreate_v2
         15    E 00207600 cuCtxDestroy
         16    F 001CE870 cuCtxDestroy_v2
         17   10 001D10B0 cuCtxDetach
         18   11 001FDB40 cuCtxDisablePeerAccess
         19   12 001FD920 cuCtxEnablePeerAccess
         20   13 001D0730 cuCtxGetApiVersion
         21   14 001CFEF0 cuCtxGetCacheConfig
         22   15 001CF270 cuCtxGetCurrent
         23   16 001CF480 cuCtxGetDevice
         24   17 001CF690 cuCtxGetFlags
         25   18 001CFCD0 cuCtxGetLimit
         26   19 001D0310 cuCtxGetSharedMemConfig
         27   1A 001D0A70 cuCtxGetStreamPriorityRange
         28   1B 00207940 cuCtxPopCurrent
         29   1C 001CEDF0 cuCtxPopCurrent_v2
         30   1D 00207B80 cuCtxPushCurrent
         31   1E 001CEBB0 cuCtxPushCurrent_v2
         32   1F 001D0C90 cuCtxResetPersistingL2Cache
         33   20 001D0100 cuCtxSetCacheConfig
         34   21 001CF030 cuCtxSetCurrent
         35   22 001CFA90 cuCtxSetLimit
         36   23 001D0520 cuCtxSetSharedMemConfig
         37   24 001CF8A0 cuCtxSynchronize
         38   25 00217660 cuD3D10CtxCreate
         39   26 002158E0 cuD3D10CtxCreateOnDevice
         40   27 00215660 cuD3D10CtxCreate_v2
         41   28 00214E60 cuD3D10GetDevice
         42   29 002150D0 cuD3D10GetDevices
         43   2A 00215B70 cuD3D10GetDirect3DDevice
         44   2B 002161E0 cuD3D10MapResources
         45   2C 00215D80 cuD3D10RegisterResource
         46   2D 00216840 cuD3D10ResourceGetMappedArray
         47   2E 002178E0 cuD3D10ResourceGetMappedPitch
         48   2F 00217020 cuD3D10ResourceGetMappedPitch_v2
         49   30 00217BD0 cuD3D10ResourceGetMappedPointer
         50   31 00216AC0 cuD3D10ResourceGetMappedPointer_v2
         51   32 00217E70 cuD3D10ResourceGetMappedSize
         52   33 00216D70 cuD3D10ResourceGetMappedSize_v2
         53   34 00218110 cuD3D10ResourceGetSurfaceDimensions
         54   35 00217320 cuD3D10ResourceGetSurfaceDimensions_v2
         55   36 00216620 cuD3D10ResourceSetMapFlags
         56   37 00216400 cuD3D10UnmapResources
         57   38 00215FD0 cuD3D10UnregisterResource
         58   39 00219390 cuD3D11CtxCreate
         59   3A 00218EF0 cuD3D11CtxCreateOnDevice
         60   3B 00218C70 cuD3D11CtxCreate_v2
         61   3C 00218470 cuD3D11GetDevice
         62   3D 002186E0 cuD3D11GetDevices
         63   3E 00219180 cuD3D11GetDirect3DDevice
         64   3F 0021BE90 cuD3D9Begin
